"bank_name","product_type","product_name","product_description","insurance_type"
"-","Critical Illness","EasyWell Critical Illness Protector","Affordable and customisable lump-sum cover for 56 disease conditions","Life Insurance"
"-","Savings, Legacy","Evergreen Growth Saver Plus II","A whole life insurance plan designed for long-term savings, passing down wealth or retirement planning.","Life Insurance"
"-","Savings, Legacy","Evergreen Wealth Advance","A legacy of wealth across generations begins with a single premium","Life Insurance"
"-","Legacy","Evergreen Wealth Income Plus","With just 3 or 5 years of premiums, get a monthly income for you or your family today, then pass it on with a legacy to future generations tomorrow","Life Insurance"
"-","Savings, Legacy","Evergreen Wealth Multi-Currency Plan","Build your wealth and perpetuate it across the generations with our flexible multi-currency plan","Life Insurance"
"-","Savings, Legacy","Evergreen Wealth Protector","Build wealth for you and your family's future with cancer protection","Life Insurance"
"-","Life, Legacy","LiveFree Protector","Go full speed ahead in life","Life Insurance"
"-","Critical Illness","PRUCancer 360","The simple and cost effective way to protect your family's finances when cancer strikes","Life Insurance"
"-","H&P","PRUCare Accident Cover Series","3 supplementary accident plans with different protection levels that enhance your existing cover.","Life Insurance"
"-","Misc.","PRUChoice Card Protection Plus","Comprehensive credit card protection allows you to enjoy carefree shopping experiences.","General Insurance"
"-","Medical","PRUChoice Clinic","Provides comprehensive clinical coverage at over 500 networks doctors in Hong Kong","Life Insurance"
"-","Misc.","PRUChoice Furkid Care Insurance - Upgraded","Comprehensive protection from veterinary fees and third-party liability expenses associated with ""PAWtecting"" your furry kid","General Insurance"
"-","Misc.","PRUChoice Golfers","Protects you against financial loss and bodily injury, involved whilst playing golf","General Insurance"
"-","Critical Illness, Medical","PRUChoice HealthCare","A flexible medical protection, provides two major options: Hospital Cash Protection Plan and Crisis Protection Plan.","Life Insurance"
"-","Medical","PRUChoice HealthCheck","Provides a variety of health checkup combinations & covers follow-up tests for abnormal findings","Life Insurance"
"-","Home","PRUChoice Home Décor","Comprehensive protection against unexpected incidents for your residential renovation","General Insurance"
"-","Home","PRUChoice Home Landlord Insurance Plan","This plan helps you better protect your leased premises. Secure your property investments today","General Insurance"
"-","Home","PRUChoice Home Series
 
","Protect your home, its contents and safeguard all who live in it.
 
","General Insurance"
"-","Misc.","PRUChoice Hong Kong Study Care Insurance","A comprehensive annual protection which is tailor-made for university students from Mainland China or overseas","General Insurance"
"-","Misc.","PRUChoice Maid Series
 
","An insurance plan that takes care of you and the wellbeing of your domestic helper. ","General Insurance"
"-","Motor","PRUChoice Motor","PRUChoice Motor protects your ride and provides immediate assistance when needed.","General Insurance"
"-","H&P","PRUChoice Personal Accident Series","A comprehensive personal accident plan to help you handle the unpredicted costs of accidents","Life Insurance"
"-","H&P","PRUChoice Relocation Care","Assist you to adapt to the new environment and enjoy a hassle-free second life when moving to a whole new destination with your beloved ones","Life Insurance"
"-","Travel","PRUChoice Travel Overseas Study","Our study abroad insurance is designed for students who study abroad by protecting them against unexpected accidents, with option of Semi-Annual and Annual Cover","General Insurance"
"-","Travel","PRUChoice Travel Series
 
","Excess free coverage with up to HKD 1,500,000 medical expenses and personal accident protection.","General Insurance"
"-","Travel","PRUChoice Travel Working Holiday","Work hard and play hard. We protect for you when the unexpected accidents occur during working holiday.","General Insurance"
"-","Medical","PRUHealth CoreChoice Medical Plan","Offer the core private healthcare cover up to HK$420,000 every year with no lifetime benefit limit, tax deductible premiums and guaranteed renewal up to the age of 100","Life Insurance"
"-","Critical Illness","PRUHealth Critical Illness Extended Care III","Continuous cover for ongoing critical illness – with lump-sum financial support for cancer every year, up to a total of 660% cover while it persists","Life Insurance"
