"insurer","bank_name","product_type","product_name","insurance_type","discovered_place","status","date_discovered","date_retired"
"AIA","-","Life","A-LifeLink 2","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Medical","A-Plus Health 2","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Life","A-Life Idaman","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Medical","A-Plus Health Flex-i","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Medical","A-Life MediFlex","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Medical","A-Life Mediflex-i","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Life","A-Life Joy Xtra","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Life","A-Life Kasih Famili","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Critical Illness","A-Life Essential Critical Care","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Critical Illness","A-Life Kritikal Protector","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Critical Illness","A-Life Beyond Critical Care","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Life","A-Life Lady","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Life","A-Life Lady-i","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Critical Illness","A-Life Cancer360","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Critical Illness","A-Life Cancer360-i","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Critical Illness","AIA Critical Illness Cover","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Critical Illness","AIA i-Critical Illness Cover","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Medical","AIA Med Basic","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Medical","AIA i-Med Basic","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Life","AIA One Plan","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Life","AIA i-One Plan","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Life","AIA Starter Plan","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Life","AIA i-Starter Plan","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Critical Illness","Insure360 (Critical Illness)","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Medical","Insure360 (Medical)","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Critical Illness","A-Plus Beyond Critical Shield & A-Plus Beyond Early Critical Shield","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Critical Illness","A-Plus Beyond Critical Shield-i & A-Plus Beyond Early Critical Shield-i","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Critical Illness","A-Plus CriticalCare","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Critical Illness","A-Plus CriticalCare-i","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Medical","A-Plus Recover","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Critical Illness","A-Plus Multi CriticalCare","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Medical","A-Plus Recover-i","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Life","A-Plus ParentCare Xtra","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Life","A-Plus ParentCare Xtra-i","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Medical","A-Plus BabyCare Xtra","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Medical","A-Plus BabyCare Xtra-i","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Critical Illness","A-Plus Critical Shield-i","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Medical","A-Plus MedCare","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Critical Illness","A-Plus Beyond Advance Care","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Investment","A-Life Wealth Builder","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Investment","A-Life Legasi Beyond","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Life","A-Life Wealth Venture","Life Insurance","Insurer","Retired","29-May-24","26-Jul-24"
"AIA","-","Savings","A-Life Wealth Treasure","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Life","A-Life Sejuta Makna","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Investment","A-Life Wealth Premier","Life Insurance","Insurer","Existing","29-May-24","-"
"AIA","-","Savings","A-Enrich Rezeki","Family Takaful","Insurer","Existing","29-May-24","-"
"AIA","-","Savings","A-EnrichGold","Life Insurance","Insurer","Existing","29-May-24","-"
