"company","product_type","product_name","status","date_discovered","date_retired"
"AIA","LIFE PROTECTION","A-LifeLink 2","New","29-May-2024","-"
"AIA","MEDICAL PROTECTION","A-Plus Health 2","New","29-May-2024","-"
"AIA","LIFE PROTECTION","A-Life Idaman","New","29-May-2024","-"
"AIA","MEDICAL PROTECTION","A-Plus Health Flex-i","New","29-May-2024","-"
"AIA","MEDICAL PROTECTION","A-Life MediFlex","New","29-May-2024","-"
"AIA","MEDICAL PROTECTION","A-Life Mediflex-i","New","29-May-2024","-"
"AIA","LIFE PROTECTION","A-Life Joy Xtra","New","29-May-2024","-"
"AIA","LIFE PROTECTION","A-Life Kasih Famili","New","29-May-2024","-"
"AIA","CRITICAL ILLNESS PROTECTION","A-Life Essential Critical Care","New","29-May-2024","-"
"AIA","CRITICAL ILLNESS PROTECTION","A-Life Kritikal Protector","New","29-May-2024","-"
"AIA","CRITICAL ILLNESS PROTECTION","A-Life Beyond Critical Care","New","29-May-2024","-"
"AIA","LADY PROTECTION","A-Life Lady","New","29-May-2024","-"
"AIA","LADY PROTECTION","A-Life Lady-i","New","29-May-2024","-"
"AIA","CRITICAL ILLNESS PROTECTION","A-Life Cancer360","New","29-May-2024","-"
"AIA","CRITICAL ILLNESS PROTECTION","A-Life Cancer360-i","New","29-May-2024","-"
"AIA","CRITICAL ILLNESS PROTECTION","AIA Critical Illness Cover","New","29-May-2024","-"
"AIA","CRITICAL ILLNESS PROTECTION","AIA i-Critical Illness Cover","New","29-May-2024","-"
"AIA","MEDICAL PROTECTION","AIA Med Basic","New","29-May-2024","-"
"AIA","MEDICAL PROTECTION","AIA i-Med Basic","New","29-May-2024","-"
"AIA","LIFE PROTECTION","AIA One Plan","New","29-May-2024","-"
"AIA","LIFE PROTECTION","AIA i-One Plan","New","29-May-2024","-"
"AIA","LIFE PROTECTION","AIA Starter Plan","New","29-May-2024","-"
"AIA","LIFE PROTECTION","AIA i-Starter Plan","New","29-May-2024","-"
