Comparison between Results_May_2024_Week_5 and Results_June_2024_Week_1,,,
Date Produced:,7-Jun-24,,
Number of New Products:,27,,
Number of Retired Products:,64,,
,,,
New Products:,,,
company,product_type,product_name,product_description
AIA,COMPREHENSIVE PERSONAL ACCIDENT,Senior Care,Provide medical and recovery support to you during your recovery journey after an accident.
AIA,COMPREHENSIVE PERSONAL ACCIDENT,Medi Guard,"Medi Guard boosts your medical coverage.
It provides an array of medical coverage.
Better treatments for faster recovery."
AIA,COMPREHENSIVE PERSONAL ACCIDENT,Living Care,"Living Care provides financial support after an accident.
It provides 25% of the weekly benefit for up to a year.
You will receive an annual allowance for up to 10 years."
Etiqa,Savings,MaxiW3alth,"It’s never too early to start thinking about how you want to share your wealth with your loved ones and safeguard their future.

Guaranteed Approval

Guaranteed Annual Cash Payouts

Retirement Celebration Benefit

Maturity Payout

Flexible Premium Payment Terms & Maturity Age

Death and TPD Coverage

"
Great Eastern,Life Insurance,GREAT Early VantageCare 2,"The early advantage in critical care

Key Benefits

Broad critical illness coverage
Death or TPD Benefit
Unique BuyBack option"
Great Eastern,Life Insurance,GREAT Generation Care,"The first-ever 3-generation critical illness plan

Key Benefits

Comprehensive coverage against critical illnesses
Child Protect Benefit for your children
Optional Parent Protect Rider to safeguard your parents’ golden years"
Great Eastern,Life Insurance,GREAT MaxiProtector,"Enjoy long-term protection that's easy on premium

Key Benefits

Affordable protection for life
Financial security for your family
Be protected against TPD"
Great Eastern,Life Insurance,GREAT VantageCare 2,"The protection advantage in critical care

Key Benefits

Critical Illness coverage
Death or TPD benefit
Unique BuyBack option"
Great Eastern,Life Insurance,SMARTPROTECT Junior,"Chart a secure future for your child

Key Benefits

Protection with investment allocation
Additional 1% sum assured each year
Protection against death or TPD"
Great Eastern,Life Insurance,SMARTPROTECT Sure,"Wealth protection to safeguard your future

Key Benefits

High protection against life's unexpected events
Extra safety net of 1% additional sum assured each year
Guaranteed insurance charge rates"
Great Eastern,Life Insurance,SMARTPROTECT Wealth Max,"Financial assurance with optimal protection

Key Benefits

Various coverage term options with flexible premium payment terms
Multiple booster rewards to celebrate policy milestones
Double maturity booster to enhance your savings"
Great Eastern,Life Insurance,SMARTPROTECT Wealth Plus,"Embrace your future confidently with strong wealth protection

Key Benefits

Long-term protection up to 100 years next birthday
Extra safety net of additional 1% sum assured each year
High protection against death or TPD"
Great Eastern,Life Insurance,SMARTPROTECT You,"Comprehensive protection that’s always got your back

Key Benefits

Protection starting from just RM100 a month
Two coverage term options to suit your life goals
Additional 1% sum assured each year"
Great Eastern,Health Insurance,SMART Baby Shield Plus,"Reach for Great protection for your little bundle of joy

Key Benefits

Greater assurance during pregnancy
Critical care for your newborn
Extended protection for congenital conditions"
Great Eastern,Health Insurance,SMART Critical Relief ,"Free yourself from financial worry upon hospitalisation

Key Benefits

Coverage on hospital and Intensive Care Unit (ICU) admission up to 210% of sum assured
Up to two claims for category 1 admission event
Coverage for hospital and ICU admission of any unknown diseases that may emerge in the future"
Great Eastern,Health Insurance,SMART Early Payout CriticalCare,"The first plan in Malaysia that pays at the early stages of critical illness

Key Benefits

Early payout, finances saved
Multiple claims across illnesses
Added coverage with 'Buy Back' option"
Great Eastern,Health Insurance,SMARTMedic Shield + SMARTMedic Shield Plus,"Extensive medical coverage for your healthcare needs

Key Benefits

Comprehensive medical benefits with minimal deductible per disability
Post-hospitalisation support for your full recovery
High Overall Annual Limit, no Overall Lifetime Limit"
Great Eastern,Health Insurance,SMART Multi Critical Care,"The life-protecting critical illness solution against 188 conditions

Key Benefits

Critical illness coverage up to 800% the rider sum assured
Double protection against cancer, heart attack and stroke
Additional special benefit of up to 60% the rider sum assured"
Great Eastern,Wealth Accumulation,GREAT Flexi Plus,"Grow your savings towards a better future

Key Benefits

Limited premium payment term
Yearly Guaranteed Cash Payment (GCP)
Maturity benefit at the end of your policy term"
Great Eastern,Wealth Accumulation,GREAT Flexi Wealth,"A solution that takes your savings further

Key Benefits

Short financial commitment, limited premium payment terms
Hassle-free enrolment with no medical underwriting
Yearly Guaranteed Cash Payment (GCP)"
Great Eastern,Wealth Accumulation,SMARTINVEST Growth,"Enhance your financial safety net with investment opportunities

Key Benefits

Enhance your protection
Helps your money go further
Top up anytime to tap opportunities"
Great Eastern,Wealth Accumulation,SMARTINVEST Premier,"Investments geared towards realising your dreams

Key Benefits

High premium allocation of 95%
Loyalty Incentive that provides additional premium allocation
Hassle-free enrolment with no medical underwriting"
MCIS,Group Insurance,"MediGap Care
","The MediGap Care advantage
Multiple choice of plan
Affordable premium
Continuous coverage
Peace of Mind upon age 60
Extra coverage
MediGap Care Medical Plan Benefits
Enhanced Medical Coverage
Comprehensive Protection
Seamless Continuity
Post-Retirement Security
Dependents Coverage
Hospitalisation and Surgical Benefits

 Pre-Hospitalisation Benefits

 Post-Hospitalisation Benefits

 Outpatient Treatment Benefits

 Other Benefits

 Limits

 Deductible Option
"
Tokio Marine,Life,TokioMarine-iLifeGuard²,The unconditional love to guard what matters most for life
Tokio Marine,Health,iCareGuard³ and iCareGuard Plus³,Get Rewarded for Guarding Your Health
Tokio Marine,Health,Rider - MediCare³ / iMediCare 2³,Embracing freedom with a healthy life.
Tokio Marine,General Savings,TokioMarine-iRich Premier² / TokioMarine-iRich²,Wealth Gain for a Rewarding Future
,,,
Retired Products:,,,
company,product_type,product_name,product_description
AIA,COMPREHENSIVE PERSONAL ACCIDENT,Medical Enhancer,"Medical Enhancer boosts your medical coverage.
It provides an array of medical coverage.
Better treatments for faster recovery."
AIA,COMPREHENSIVE PERSONAL ACCIDENT,Living Protector,"Living Protector provides financial support after an accident.
It provides 25% of the weekly benefit for up to a year.
You will receive an annual allowance for up to 10 years."
FWD,Critical Illness,Cancer Cover+,Cancer Cover+ is a financial protection plan for your journey to recovery with maturity benefit.
Great Eastern,Life Insurance,Great Early VantageCare 2,"The early advantage in critical care

Key Benefits

Broad critical illness coverage
Death or TPD Benefit
Unique BuyBack option"
