Comparison between Results_May_2024_Week_4 and Results_May_2024_Week_5,,,,,,
Date Produced:,29-May-24,,,,,
Number of New Products:,535,,,,,
Number of Retired Products:,0,,,,,
,,,,,,
New Products:,,,,,,
company,product_type,product_name,product_description,,,
AIA,LIFE PROTECTION,A-LifeLink 2,"Offers protection and investment coverage from RM150 per month.
Enjoy the flexibility of adjusting your protection and savings level.",,,
AIA,MEDICAL PROTECTION,A-Plus Health 2,"Comprehensive health protection coverage.
Coverage for recovery treatments and medical related equipment.",,,
AIA,LIFE PROTECTION,A-Life Idaman,"A comprehensive takaful solution all in one product.
Attach our variety of riders to enhance your coverage.",,,
AIA,MEDICAL PROTECTION,A-Plus Health Flex-i,"A-Plus Health Flex-i is designed to provide comprehensive medical coverage that safeguards you against escalating medical costs.
No lifetime limit and rewards you for making healthy choices.",,,
AIA,MEDICAL PROTECTION,A-Life MediFlex,Flexible medical protection to start your health journey.,,,
AIA,MEDICAL PROTECTION,A-Life Mediflex-i,Flexible medical protection to start your health journey.,,,
AIA,LIFE PROTECTION,A-Life Joy Xtra,"Offers coverage and savings opportunities for your child from RM150 per month.
Flexible to be adjusted to your preferred protection and savings level.",,,
AIA,LIFE PROTECTION,A-Life Kasih Famili,A family takaful plan that caters to all the protection needs of your family.,,,
AIA,CRITICAL ILLNESS PROTECTION,A-Life Essential Critical Care,"Offers a simple and affordable plan that protects you against advanced stage critical illnesses.
Join AIA Vitality to enjoy Health Screening Benefit and Yearly Cash Bonus as a reward for your healthy choices.",,,
AIA,CRITICAL ILLNESS PROTECTION,A-Life Kritikal Protector,"Provides a lump sum payment if you are diagnosed with a critical illness, so you can focus on your recovery.
Get additional coverage through Vitality Booster as an AIA Vitality member.",,,
AIA,CRITICAL ILLNESS PROTECTION,A-Life Beyond Critical Care,"Comprehensive critical illness coverage until the age of 80.
Covers from early detection to prevention, and from treatment to recovery.",,,
AIA,LADY PROTECTION,A-Life Lady,"Comprehensive protection plan for women.
Provides life insurance benefits specially designed for women.",,,
AIA,LADY PROTECTION,A-Life Lady-i,A comprehensive takaful protection plan tailored for women's health needs.,,,
AIA,CRITICAL ILLNESS PROTECTION,A-Life Cancer360,A-Life Cancer360 provides coverage for early to advanced stages of cancer.,,,
AIA,CRITICAL ILLNESS PROTECTION,A-Life Cancer360-i,"Provides coverage for early to advanced stages of cancer.
Make healthy choices with AIA Vitality and enjoy Yearly Cash Bonuses.",,,
AIA,CRITICAL ILLNESS PROTECTION,AIA Critical Illness Cover,Covers you for 39 critical illnesses at an affordable price.,,,
AIA,CRITICAL ILLNESS PROTECTION,AIA i-Critical Illness Cover,"An affordable takaful Critical Illness plan that covers you for 39 critical illnesses.
Coverage from as low as RM0.08 per day.",,,
AIA,MEDICAL PROTECTION,AIA Med Basic,An affordable medical plan that covers the cost of your medical treatment and hospitalisation.,,,
AIA,MEDICAL PROTECTION,AIA i-Med Basic,An affordable takaful medical plan that covers the cost of your medical treatment and hospitalisation.,,,
