"Comparison between Results_05_2024_Week_4 and Results_05_2024_Week_5",""
"Date Produced:","29-May-2024"
"Number of New Products:","535"
"Number of Retired Products:","0"

New Products:
"company","product_type","product_name"
"AIA","LIFE PROTECTION","A-LifeLink 2"
"AIA","MEDICAL PROTECTION","A-Plus Health 2"
"AIA","LIFE PROTECTION","A-Life Idaman"
"AIA","MEDICAL PROTECTION","A-Plus Health Flex-i"
"AIA","MEDICAL PROTECTION","A-Life MediFlex"
"AIA","MEDICAL PROTECTION","A-Life Mediflex-i"
"AIA","LIFE PROTECTION","A-Life Joy Xtra"
"AIA","LIFE PROTECTION","A-Life Kasih Famili"
"AIA","CRITICAL ILLNESS PROTECTION","A-Life Essential Critical Care"
"AIA","CRITICAL ILLNESS PROTECTION","A-Life Kritikal Protector"
"AIA","CRITICAL ILLNESS PROTECTION","A-Life Beyond Critical Care"
"AIA","LADY PROTECTION","A-Life Lady"
"AIA","LADY PROTECTION","A-Life Lady-i"
"AIA","CRITICAL ILLNESS PROTECTION","A-Life Cancer360"
"AIA","CRITICAL ILLNESS PROTECTION","A-Life Cancer360-i"
"AIA","CRITICAL ILLNESS PROTECTION","AIA Critical Illness Cover"
"AIA","CRITICAL ILLNESS PROTECTION","AIA i-Critical Illness Cover"
"AIA","MEDICAL PROTECTION","AIA Med Basic"
"AIA","MEDICAL PROTECTION","AIA i-Med Basic"
"AIA","LIFE PROTECTION","AIA One Plan"
"AIA","LIFE PROTECTION","AIA i-One Plan"
"AIA","LIFE PROTECTION","AIA Starter Plan"
"AIA","LIFE PROTECTION","AIA i-Starter Plan"
"AIA","CRITICAL ILLNESS PROTECTION","Insure360 (Critical Illness)"
"AIA","MEDICAL PROTECTION","Insure360 (Medical)"
"AIA","CRITICAL ILLNESS PROTECTION","A-Plus Beyond Critical Shield & A-Plus Beyond Early Critical Shield"
"AIA","CRITICAL ILLNESS PROTECTION","A-Plus Beyond Critical Shield-i & A-Plus Beyond Early Critical Shield-i"
"AIA","CRITICAL ILLNESS PROTECTION","A-Plus CriticalCare"
"AIA","CRITICAL ILLNESS PROTECTION","A-Plus CriticalCare-i"
"AIA","MEDICAL PROTECTION","A-Plus Recover"
"AIA","CRITICAL ILLNESS PROTECTION","A-Plus Multi CriticalCare"
"AIA","MEDICAL PROTECTION","A-Plus Recover-i"
"AIA","LIFE PROTECTION","A-Plus ParentCare Xtra"
"AIA","LIFE PROTECTION","A-Plus ParentCare Xtra-i"
"AIA","MEDICAL PROTECTION","A-Plus BabyCare Xtra"
"AIA","MEDICAL PROTECTION","A-Plus BabyCare Xtra-i"
"AIA","CRITICAL ILLNESS PROTECTION","A-Plus Critical Shield-i"
"AIA","MEDICAL PROTECTION","A-Plus MedCare"
"AIA","CRITICAL ILLNESS PROTECTION","A-Plus Beyond Advance Care"
"AIA","WEALTH & LEGACY PLANNING","A-Life Wealth Builder"
"AIA","WEALTH & LEGACY PLANNING","A-Life Legasi Beyond"
"AIA","WEALTH & LEGACY PLANNING","A-Life Wealth Venture"
"AIA","CHILD'S SAVINGS PLANNING","A-Life Wealth Treasure"
"AIA","WEALTH & LEGACY PLANNING","A-Life Sejuta Makna"
"AIA","WEALTH & LEGACY PLANNING","A-Life Wealth Premier"
"AIA","INVESTMENT & SAVINGS","A-Enrich Rezeki"
"AIA","INVESTMENT & SAVINGS","A-EnrichGold"
"AIA","INVESTMENT & SAVINGS","A-EnrichGold-i"
"AIA","INVESTMENT & SAVINGS","A-Enrich Wealth"
"AIA","INVESTMENT & SAVINGS","A-InvestLink"
"AIA","WEALTH & LEGACY PLANNING","A-Life Infinite"
"AIA","INVESTMENT & SAVINGS","A-Enrich20"
"AIA","CHILD'S SAVINGS PLANNING","A-EduAchieve 2"
"AIA","WEALTH & LEGACY PLANNING","A-Plus Infaq"
"AIA","COMPREHENSIVE PERSONAL ACCIDENT","AIA Travel PA Plus"
"AIA","COMPREHENSIVE PERSONAL ACCIDENT","Xtra Guard PA"
"AIA","COMPREHENSIVE PERSONAL ACCIDENT","Xtra Guard Booster"
"AIA","COMPREHENSIVE PERSONAL ACCIDENT","Flex PA"
"AIA","COMPREHENSIVE PERSONAL ACCIDENT","Medical Enhancer"
"AIA","COMPREHENSIVE PERSONAL ACCIDENT","Living Protector"
"AIA","COMPREHENSIVE PERSONAL ACCIDENT","Crime Guard"
"AIA","COMPREHENSIVE PERSONAL ACCIDENT","Family Shield"
"AIA","COMPREHENSIVE PERSONAL ACCIDENT","Child Plus"
"AIA","COMPREHENSIVE PERSONAL ACCIDENT","Easy Cover PA"
"AIA","GROUP PERSONAL ACCIDENT","AIA Student Accident Shield"
"AIA","GROUP PERSONAL ACCIDENT","Group Flexible Personal Accident"
"AIA","ACCIDENT PROTECTION","SafeTrip"
"AIA","ACCIDENT PROTECTION","WalletSafe"
"AIA","ACCIDENT PROTECTION","A-Plus Total AccidentShield"
"AIA","ACCIDENT PROTECTION","A-Life Pelindung"
"AIA","ACCIDENT PROTECTION","A-Plus Accident ShieldExtra-i"
"AIA","HOME PROTECTION","SafeHome"
"AIA","HOME PROTECTION","A-Essential Home"
"AIA","HOME PROTECTION","AIA Fixed Rate Mortgage"
"AIA","MOTOR INSURANCE","Family Drive"
"AIA","MOTOR INSURANCE","Comprehensive Private Car Insurance"
"AIA","MOTOR INSURANCE","Comprehensive Commercial Vehicle Insurance"
"Allianz","Life Protection","Allianz UltimateLink"
"Allianz","Life Protection","Allianz EverLink Signature"
"Allianz","Life Protection","Allianz EverLink Plus"
"Allianz","Life Protection","Power Shield"
"Allianz","Life Protection","Allianz Ability Life"
"Allianz","Life Protection","Allianz Kasih4All"
"Allianz","Life Protection","Allianz Legacy Plus"
"Allianz","Life Protection","Allianz i-EssentialCover"
"Allianz","Medical & Hospitalisation","Allianz Diabetic Essential"
"Allianz","Medical & Hospitalisation","HealthInsured"
"Allianz","Medical & Hospitalisation","MediAdvantage"
"Allianz","Medical & Hospitalisation","Allianz i-HospitalCash"
"Allianz","Medical & Hospitalisation","Allianz MediCure"
"Allianz","Critical Illness","HealthCover"
"Allianz","Critical Illness","HealthCover Plus"
"Allianz","Critical Illness","HealthCover Enhancer"
"Allianz","Critical Illness","Allianz i-Cancer Care"
"Allianz","Critical Illness","Prime Care+
"
"Allianz","Critical Illness","PreciousCover and BabyCover"
"Allianz","Critical Illness","Lady Guard"
"Allianz","Personal Accident","Allianz Lifestyle Protect"
"Allianz","Personal Accident","ATM Shield"
"Allianz","Personal Accident","Premier PA Plus"
"Allianz","Personal Accident","Allianz Shield Plus
 "
"Allianz","Personal Accident","Allianz Motorcyclist Personal Accident"
"Allianz","Personal Accident","Allianz Student Personal Accident"
"Allianz","Personal Accident","Personal Accident
 "
"Allianz","Personal Accident","Special Occupation Personal Accident"
"Allianz","Personal Accident","Drive Smart Shield
 "
"Allianz","Personal Accident","PerlindunganKu Allianz4All"
"Allianz","Savings, Investments & Waivers","Allianz PayorCover"
"Allianz","Savings, Investments & Waivers","WealthCover
 "
"Allianz","Savings, Investments & Waivers","Allianz SecureCover / SecureCover Plus"
"Allianz","Savings, Investments & Waivers","Prime Income
 "
"Allianz","Home","Smart Home Cover
 "
"Allianz","Home","HouseOwner & HouseHolder Insurance"
"Allianz","Home","Allianz KampungKu
 "
"Allianz","Home","Homeguard"
"Allianz","Car & Motorcycle","Car & Motor Comprehensive Cover"
"Allianz","Car & Motorcycle","Car & Motor Third Party
Cover
"
"Allianz","Car & Motorcycle","Car & Motor Third Party, Fire & Theft Cover"
"Allianz","Car & Motorcycle","Allianz Motorcycle Plus"
"Allianz","Car & Motorcycle","e-Hailing Add On"
"Allianz","Roadside Assistance","Road Warrior "
"Allianz","Roadside Assistance","Bike Warrior "
"Allianz","Travel Insurance","Allianz Travel Insurance"
"Allianz","Living","Domestic Servant Insurance Scheme"
"Allianz","Living","Golf Master
 "
"Allianz","Living","Allianz Lifestyle Protect
 "
"Allianz","Living","Device Protection"
"AmMetLife","Family, Protection","ProtectEase"
"AmMetLife","Family, Protection","ProtectElite II"
"AmMetLife","Family, Protection","ProtectSecure"
"AmMetLife","Family, Protection","ProtectLink"
"AmMetLife","Family, Protection","ProtectPlus"
"AmMetLife","Family, Protection","Protect20"
"AmMetLife","Family, Protection","ProtectSecure Prime"
"AmMetLife","Family, Credit-related","Level Term Assurance"
"AmMetLife","Family, Credit-related","Reducing Term Assurance"
"AmMetLife","Family, Credit-related","Reducing Term Assurance Plus"
"AmMetLife","Family, Credit-related","Mortgage Level Term Assurance"
"AmMetLife","Family, Credit-related","AmMetLife AutoLife"
"AmMetLife","Family, Credit-related","Mortgage Reducing Term Assurance"
"AmMetLife","Health, Hospitalisation (Agency)","Health Smart Rider"
"AmMetLife","Health, Hospitalisation (Agency)","HCC BoostUp + HealthCare Choice (Stand-Alone Medical Plan)"
"AmMetLife","Health, Hospitalisation (Agency)","ProtectIncome"
"AmMetLife","Health, Hospitalisation (Agency)","HCC BoostUp Rider + HealthCare Choice Rider"
"AmMetLife","Health, Hospitalisation (Banca)","HealthCare Choice + HCC BoostUp"
"AmMetLife","Health, Hospitalisation (Banca)","HealthCare Choice II Rider + HCC BoostUp II Rider"
"AmMetLife","Health, Hospitalisation (Banca)","HealthCare Daily Cash"
"AmMetLife","Health, Critical Illness","CriticalEase"
"AmMetLife","Health, Critical Illness","ProtectPrime39"
"AmMetLife","Health, Critical Illness","HealthCare Secure"
"AmMetLife","Future, Wealth","i.Am Wealth Achiever"
"AmMetLife","Future, Wealth","i.Am Wealth Builder"
"AmMetLife","Future, Wealth","WealthInspire"
"AmMetLife","Future, Wealth","WealthEnrich"
"AmMetLife","Future, Wealth","AmCapital"
"AmMetLife","Future, Wealth","WealthSecure Smart"
"AmMetLife","Future, Wealth","WealthSecure Max"
"AmMetLife","Future, Others","Flexi TermLife"
"Etiqa","Car","Motor Insurance"
"Etiqa","Motorcycle","Motorcycle Insurance"
"Etiqa","Car EV","FREE EV Home Charger Coverage Campaign"
"Etiqa","Car EV","EV Home Charger Coverage"
"Etiqa","Travel","TripCare 360 Insurance"
"Etiqa","Travel","Travel Ezy Insurance"
"Etiqa","Home","Houseowner and Householder Insurance"
"Etiqa","Home","MyRumah Insurance"
"Etiqa","Home","Etiqa Home Secure Insurance"
"Etiqa","Pets","PAWer Insurance"
"Etiqa","Life and Family","Etiqa Term Plus"
"Etiqa","Life and Family","i-Care OKU"
"Etiqa","Life and Family","Etiqa Term Secure Insurance"
"Etiqa","Life and Family","Ezy-Life Secure Insurance"
"Etiqa","Life and Family","Ezy-Secure Insurance"
"Etiqa","Life and Family","Etiqa Life Secure Insurance"
"Etiqa","Life and Family","Enrich Life Plan Insurance"
"Etiqa","Savings","Aatifa"
"Etiqa","Savings","Triple Growth Insurance"
"Etiqa","Savings","Aspire Insurance"
"Etiqa","Investment","SecureLink Insurance"
"Etiqa","Investment","MaxiPro Insurance"
"Etiqa","Investment","MegaPlus Insurance"
"Etiqa","Personal Accident","RAHMAH PA Insurance"
"Etiqa","Personal Accident","OTO 360 Insurance"
"Etiqa","Personal Accident","Buddy PA Insurance"
"Etiqa","Personal Accident","RiderCare PA Insurance"
"Etiqa","Personal Accident","Car Accident Protection Special Insurance"
"Etiqa","Personal Accident","Flexi PA Insurance"
"Etiqa","Personal Accident","Mega PA Insurance"
"Etiqa","Personal Accident","Cash Care PA Insurance"
"Etiqa","Education","Aspire Insurance"
"Etiqa","Education","Madani"
"Etiqa","Health","Etiqa Critical Care Plus"
"Etiqa","Health","OneMedical"
"Etiqa","Health","EasyMedic"
"Etiqa","Health","Etiqa Critical Care Insurance"
"Etiqa","Health","e-CancerCare Insurance"
"Etiqa","Health","Medical Plus Insurance"
"Etiqa","Health","IL Medical Plus Insurance"
"Etiqa","Health","IL CI Plus Insurance"
"Etiqa","Health","IL Cancer Shield Insurance"
"Etiqa","Health","IL Female Essential Insurance"
"Etiqa","Public Servants","Mortgage Reducing Term Assurance (MRTA)"
"Etiqa","Public Servants","Long Term Fire Insurance (LTFI)"
"FWD","Distribution Partners","BSN Home Assure"
"FWD","Distribution Partners","BSN RTA"
"FWD","Critical Illness","Cancer Cover+"
"FWD","Savings & Investment","Cash Booster"
"FWD","Distribution Partners","Commute Cover+"
"FWD","Distribution Partners","Dengue Cover+"
"FWD","Critical Illness","FWD CI Intense Shield"
"FWD","Critical Illness","FWD IL CI (Accelerated)"
"FWD","Medical Insurance","FWD IL Hospitalisation Income Benefit"
"FWD","Critical Illness","FWD IL Living Extra (WOP)"
"FWD","Life Insurance","FWD IL PA"
"FWD","Life Insurance","FWD IL WOP"
"FWD","Critical Illness","FWD Living Extra (Premium Waiver)"
"FWD","Savings & Investment","FWD Max Wealth Campaign"
"FWD","Medical Insurance","FWD Medi First"
"FWD","Life Insurance","FWD Payor Enhanced (Premium Waiver)"
"FWD","Life Insurance, Savings & Investment","FWD WealthLink"
"FWD","Life Insurance, Savings & Investment","FWD WealthLink Pro"
"FWD","Life Insurance","GoSecure & GoSecure+"
"FWD","Life Insurance","PA Cover+"
"FWD","Distribution Partners","Qaseh"
"FWD","Distribution Partners","Qaseh Bakti Plus"
"FWD","Distribution Partners","QasehLink Pintar"
"FWD","Life Insurance","i-Care"
"FWD","Life Insurance","i-FlexCover"
"FWD","Medical Insurance","i-Med"
