Comparison between Results_05_2024_Week_5 and Results_06_2024_Week_1,,,
Date Produced:,7-Jun-24,,
Number of New Products:,9,,
Number of Retired Products:,9,,
,,,
New Products:,,,
company,product_type,product_name,Remarks
AIA,COMPREHENSIVE PERSONAL ACCIDENT,Senior Care,
Etiqa,Savings,MaxiW3alth,
MCIS,Group Insurance,"MediGap Care
",
Tokio Marine,Life,TokioMarine-iLifeGuard²,
,,,
Retired Products:,,,
company,product_type,product_name,
FWD,Critical Illness,Cancer Cover+,
Generali,Motor & home,SmartHome Optimum (Enhanced),
MCIS,Buy Online,MyLifeStyle Protect,
Tokio Marine,Health,iHealth Advance³,
