Comparison between Results_06_2024_Week_5 and Results_07_2024_Week_1,,,
Date Produced:,6-Jul-24,,
Number of New Products:,198,Note: This week introduced new code to scrape takaful products,
Number of Retired Products:,2,(0 if don't count renamed),
,,,
New Products:,,,
company,product_type,product_name,insurance_type
AmMetLife,Life,Protect-i Budi,Family Takaful
AmMetLife,Life,i-Am Shield,Family Takaful
AmMetLife,Life,ProtectSecure-i Murni,Family Takaful
AmMetLife,Life,i-Am Protect,Family Takaful
AmMetLife,Life,FlexiCare-i Plus,Family Takaful
AmMetLife,Life,FlexiSecure-i Link,Family Takaful
AmMetLife,Life,LegacySecure-i Link,Family Takaful
AmMetLife,Savings/Investment,Protect-i Budi,Family Takaful
AmMetLife,Savings/Investment,ProtectSecure-i Murni,Family Takaful
AmMetLife,Savings/Investment,GoldenCare-i Style,Family Takaful
AmMetLife,Savings/Investment,GoldenSecure-i Style,Family Takaful
AmMetLife,Savings/Investment,FlexiCare-i Plus,Family Takaful
AmMetLife,Savings/Investment,FlexiSecure-i Link,Family Takaful
AmMetLife,Savings/Investment,LegacySecure-i Link,Family Takaful
AmMetLife,H&P,FlexiCare-i Plus,Family Takaful
AmMetLife,H&P,FlexiSecure-i Link,Family Takaful
AmMetLife,H&P,i-Am Care,Family Takaful
AmMetLife,Savings/Investment,EduCare-i Link,Family Takaful
AmMetLife,Savings/Investment,GoldenCare-i Style,Family Takaful
AmMetLife,Savings/Investment,GoldenSecure-i Style,Family Takaful
AmMetLife,Savings/Investment,FlexiCare-i Plus,Family Takaful
AmMetLife,Savings/Investment,FlexiSecure-i Link,Family Takaful
AmMetLife,TBD,AutoSecure-i,Family Takaful
AmMetLife,TBD,HomeSecure-i,Family Takaful
AmMetLife,TBD,FinanceSecure-i,Family Takaful
AmMetLife,TBD,Group Secure-i,Family Takaful
AmMetLife,TBD,AutoSecure-i,Family Takaful
Etiqa,Motor,Motor Takaful,General Takaful
Etiqa,Motor,Motorcycle Takaful,General Takaful
Etiqa,Motor,Tesla Ensure Insurance & Takaful,General Takaful
Etiqa,Motor,FREE EV Home Charger Takaful Coverage Campaign,General Takaful
Etiqa,Motor,EV Home Charger Takaful Coverage,General Takaful
Etiqa,Travel,TripCare 360 Takaful,Takaful
Etiqa,Travel,i-Travel Ezy Takaful,Takaful
Etiqa,Home,Houseowner and Householder Takaful,Takaful
Etiqa,Home,MyRumah Takaful,Takaful
Etiqa,Home,Etiqa Takaful Home Secure,Takaful
Etiqa,Life,Etiqa Term Takaful Plus,Family Takaful
Etiqa,Life,Etiqa Term Secure Takaful,Family Takaful
Etiqa,Life,i-Secure Takaful,Family Takaful
Etiqa,Life,i-DoubleSecure Takaful,Family Takaful
Etiqa,Life,Mawaddah II Takaful,Family Takaful
Etiqa,Life,AafiahCare Takaful,Family Takaful
Etiqa,Life,Prisma Takaful,Family Takaful
