"Comparison between Results_07_2024_Week_2 and Results_07_2024_Week_3",""
"Date Produced:","19-Jul-2024"
"Number of New Products:","33"
"Number of Retired Products:","119"

New Products:
"company","product_type","product_name","insurance_type","discovered_place"
"Liberty","H&P","AmDrive Plus","General Insurance","Bank"
"Liberty","H&P","AmPro PA Plus","General Insurance","Bank"
"Liberty","H&P","AmStyle Guard","General Insurance","Bank"
"Liberty","H&P","CASA Snatch Theft PA","General Insurance","Bank"
"Liberty","Fire","Fire365 ","General Insurance","Bank"
"Liberty","Misc.","Flexi SME 365","General Insurance","Bank"
"Liberty","Home","Household Guard","General Insurance","Bank"
"Liberty","Home","Householder Plus","General Insurance","Bank"
"Liberty","Home","Houseowner & Householder","General Insurance","Bank"
"Liberty","Travel","Kurnia Travel Supreme","General Insurance","Bank"
"Liberty","H&P","Right Cover Plus PA","General Insurance","Bank"
"Liberty","Motor","auto365 Comprehensive Plus","General Insurance","Bank"
"Liberty","Motor","auto365 Comprehensive Premier","General Insurance","Bank"
"Manulife","Savings","Elite Income 88","Life Insurance","Insurer"
"Manulife","Life, Investment","Elite Life Guard 2","Life Insurance","Insurer"
"Manulife","Life, Investment","EliteLife Signature Legacy","Life Insurance","Insurer"
"Manulife","Savings","EliteLife Signature Saver","Life Insurance","Insurer"
"Manulife","Investment","Signature Heirloom (VII)","Life Insurance","Insurer"
"Prudential","Medical","PRUMillion Med Active","Life Insurance","Insurer"
"Prudential","Life","PruBSN AnugerahMax","Family Takaful","Insurer"
"RHB Insurance","Misc.","Burglary Insurance","General Insurance","Bank"
"RHB Insurance","Motor","Commercial Vehicle Insurance","General Insurance","Bank"
"RHB Insurance","Workmen","Employer's Liability Insurance","General Insurance","Bank"
"RHB Insurance","Misc.","Fidelity Guarantee Insurance","General Insurance","Bank"
"RHB Insurance","Misc.","Glass Insurance","General Insurance","Bank"
"RHB Insurance","Liability","Liability Insurance","General Insurance","Bank"
"RHB Insurance","Medical","Medical Protection","General Insurance","Bank"
"RHB Insurance","Misc.","Money Insurance","General Insurance","Bank"
"RHB Insurance","Motor","Motor Trade Insurance","General Insurance","Bank"
"RHB Insurance","Motor","Motorist Commercial Vehicle PA Insurance","General Insurance","Bank"
"RHB Insurance","Misc.","SMI Supreme Insurance","General Insurance","Bank"
"RHB Insurance","Workmen","Workmen's Compensation Insurance","General Insurance","Bank"
"Sun Life","Life","Sun Apex-i","Family Takaful","Insurer, Bank"

Retired Products:
"company","product_type","product_name","insurance_type","discovered_place"
"AIA","TBD (Telemarketing), Life (credit-related)","","Life Insurance","Bank"
"AmMetLife","Savings/Investment","AmCapital","Life Insurance","Insurer"
"AmMetLife","Life (credit-related)","AmMetLife AutoLife","Life Insurance","Insurer"
"AmMetLife","TBD","AutoSecure-i","Family Takaful","Insurer"
"AmMetLife","Critical Illness","CriticalEase","Life Insurance","Insurer"
"AmMetLife","Savings/Investment","EduCare-i Link","Family Takaful","Insurer"
"AmMetLife","TBD","FinanceSecure-i","Family Takaful","Insurer"
"AmMetLife","TBD","Flexi TermLife","Life Insurance","Insurer"
"AmMetLife","Life, Savings/Investment, H&P/Medical","FlexiCare-i Plus","Family Takaful","Insurer"
"AmMetLife","Life, Savings/Investment, H&P/Medical","FlexiSecure-i Link","Family Takaful","Insurer"
"AmMetLife","Savings/Investment","GoldenCare-i Style","Family Takaful","Insurer"
"AmMetLife","Savings/Investment","GoldenSecure-i Style","Family Takaful","Insurer"
"AmMetLife","TBD","Group Secure-i","Family Takaful","Insurer"
"AmMetLife","H&P","HCC BoostUp + HealthCare Choice (Stand-Alone Medical Plan)","Life Insurance","Insurer"
"AmMetLife","H&P","Health Smart Rider","Life Insurance","Insurer"
"AmMetLife","H&P","HealthCare Choice II Rider + HCC BoostUp II Rider","Life Insurance","Insurer"
"AmMetLife","H&P","HealthCare Daily Cash","Life Insurance","Insurer"
"AmMetLife","Critical Illness","HealthCare Secure","Life Insurance","Insurer"
"AmMetLife","TBD","HomeSecure-i","Family Takaful","Insurer"
"AmMetLife","Life, Savings/Investment","LegacySecure-i Link","Family Takaful","Insurer"
"AmMetLife","Life (credit-related)","Level Term Assurance","Life Insurance","Insurer"
"AmMetLife","Life, Savings/Investment","Protect-i Budi","Family Takaful","Insurer"
"AmMetLife","Life","Protect20","Life Insurance","Insurer"
"AmMetLife","Life","ProtectEase","Life Insurance","Insurer"
"AmMetLife","Life","ProtectElite II","Life Insurance","Insurer"
"AmMetLife","H&P","ProtectIncome","Life Insurance","Insurer"
"AmMetLife","Life","ProtectLink","Life Insurance","Insurer"
"AmMetLife","Life","ProtectPlus","Life Insurance","Insurer"
"AmMetLife","Critical Illness","ProtectPrime39","Life Insurance","Insurer"
"AmMetLife","Life, Savings/Investment","ProtectSecure-i Murni","Family Takaful","Insurer"
"AmMetLife","Life (credit-related)","Reducing Term Assurance","Life Insurance","Insurer"
"AmMetLife","H&P/Medical","i-Am Care","Family Takaful","Insurer"
"AmMetLife","Life","i-Am Protect","Family Takaful","Insurer"
"AmMetLife","Life","i-Am Shield","Family Takaful","Insurer"
"AmMetLife","Savings/Investment","i.Am Wealth Builder","Life Insurance","Insurer"
"FWD","Medical","FWD Big 3","Family Takaful","Insurer"
"MCIS","Savings","EduSecure","Life Insurance","Insurer"
"MCIS","Life Insurance","EzyProtect","Life Insurance","Insurer"
"MCIS","Savings","EzySaver","Life Insurance","Insurer"
"MCIS","TBD","Group Term Life (GTL)","Life Insurance","Insurer"
"MCIS","Savings","Growth Saver","Life Insurance","Insurer"
"MCIS","H&P","LadyCare","Life Insurance","Insurer"
"MCIS","Investment","M-Fortune Link","Life Insurance","Insurer"
"MCIS","H&P","MYEarly Critical Aid","Life Insurance","Insurer"
"MCIS","H&P","MaxHealth Plan","Life Insurance","Insurer"
"MCIS","Savings","MaxSaver","Life Insurance","Insurer"
"MCIS","TBD","MediGap Care","Life Insurance","Insurer"
"MCIS","TBD","MyCritical Cover","Life Insurance","Insurer"
"MCIS","TBD","MyHospital Benefit","Life Insurance","Insurer"
"MCIS","TBD","MyLife Protect","Life Insurance","Insurer"
"MCIS","Investment","PeopleLink","Life Insurance","Insurer"
"MCIS","Investment","PrimeLink","Life Insurance","Insurer"
"MCIS","TBD","SME Care+","Life Insurance","Insurer"
"MCIS","Investment","SecureInvest","Life Insurance","Insurer"
"MCIS","Life Insurance","SuperSeries","Life Insurance","Insurer"
"MCIS","Savings","Wealth Multiplier","Life Insurance","Insurer"
"Zurich","TBD (H&P/CI/Medical)","CancerCare","Family Takaful","Insurer"
"Zurich","TBD (H&P/CI/Medical)","Critical Care","Life Insurance","Insurer"
"Zurich","TBD (H&P/CI/Medical)","Critical Care Essential","Life Insurance","Insurer"
"Zurich","Life","Critical Care Premium Waiver","Life Insurance","Insurer"
"Zurich","TBD","Domestic Maid Insurance Scheme","TBD (Conventional)","Insurer"
"Zurich","TBD (H&P/CI/Medical)","Early Care Critical Illness","Life Insurance","Insurer"
"Zurich","Savings","Executive20","Family Takaful","Insurer"
"Zurich","TBD","Fire Takaful","General Takaful","Insurer"
"Zurich","TBD (H&P/CI/Medical)","Flex Junior Critical Illness","Life Insurance","Insurer"
"Zurich","TBD (H&P/CI/Medical)","Flex Lady Critical Illness","Life Insurance","Insurer"
"Zurich","TBD (H&P/CI/Medical)","Flex Maternity Care","Life Insurance","Insurer"
"Zurich","Misc.","Golfer’s Insurance","General Insurance","Insurer"
"Zurich","TBD (H&P/CI/Medical)","Hospital & Surgical Benefit","Life Insurance","Insurer"
"Zurich","TBD (H&P/CI/Medical)","Hospital Income Plus","Life Insurance","Insurer"
"Zurich","H&P","Individual Personal Accident","General Insurance","Insurer"
"Zurich","Life","Max Golden Wanita Protection","Life Insurance","Insurer"
"Zurich","TBD (H&P/CI/Medical)","MaxMedic","Life Insurance","Insurer"
"Zurich","TBD (H&P/CI/Medical)","MediAfya","Family Takaful","Insurer"
"Zurich","TBD (H&P/CI/Medical)","MediPro","Family Takaful","Insurer"
"Zurich","Life","PA Protector and PA Medicare","Life Insurance","Insurer"
"Zurich","H&P","Patina2016","General Takaful","Insurer"
"Zurich","H&P","Personal Sentinel V3 Plus","General Insurance","Insurer"
