Comparison between Results_07_2024_Week_3 and Results_07_2024_Week_4,,,,,
Date Produced:,26-Jul-24,,,,
Number of New Products:,256,,,,
Number of Retired Products:,7,,,,
,,,,,
New Products:,,,,,
company,product_type,product_name,insurance_type,discovered_place,Remarks
AIA,Savings/Investment,A-Life Wealth Treasure,Life Insurance,Insurer,Product Relaunch
Allianz,Home,Allianz Smart Home Insurance,General Insurance,Bank,Standard Chartered
Allianz,Motor,Enhanced Road Warrior,General Insurance,Bank,Standard Chartered
Allianz,Investment,HSBC's EliteCare Plus,Life Insurance,Bank,HSBC
Allianz,Investment,HSBC's EliteSaver SP GIO,Life Insurance,Bank,HSBC
Allianz,Investment,HSBC's EliteWealth,Life Insurance,Bank,HSBC
Allianz,Life,HSBC's FamilyCare Plan,Life Insurance,Bank,HSBC
Allianz,"Life, H&P",HSBC's ProtectCare Plan,Life Insurance,Bank,HSBC
Allianz,Liability,HSBC's Reducing Term Assurance,Life Insurance,Bank,HSBC
Allianz,NA,HSBC's Universal AssuredTreasure,Life Insurance,Bank,HSBC
Allianz,Savings,HSBC's UniversalIncome Plan,Life Insurance,Bank,HSBC
Allianz,Investment,HSBC's UniversalLegacy Plan,Life Insurance,Bank,HSBC
Allianz,"Savings, Life",HSBC's UniversalTreasure Plus,Life Insurance,Bank,HSBC
Allianz,Motor,Motor Comprehensive Cover,General Insurance,Bank,Standard Chartered
Allianz,Travel,Travel,General Insurance,Bank,Standard Chartered
Allianz,Travel,Travel Care,General Insurance,Bank,HSBC
AmMetLife,Savings/Investment,AmCapital,Life Insurance,Insurer,Due to last week's page down
AmMetLife,Life (credit-related),AmMetLife AutoLife,Life Insurance,Insurer,Due to last week's page down
AmMetLife,TBD,AutoSecure-i,Family Takaful,Insurer,Due to last week's page down
AmMetLife,Life,Cahaya-i Care,Family Takaful,Insurer,
AmMetLife,Critical Illness,CriticalEase,Life Insurance,Insurer,Due to last week's page down
AmMetLife,Savings/Investment,EduCare-i Link,Family Takaful,Insurer,Due to last week's page down
AmMetLife,TBD,FinanceSecure-i,Family Takaful,Insurer,Due to last week's page down
AmMetLife,TBD,Flexi TermLife,Life Insurance,Insurer,Due to last week's page down
AmMetLife,"Life, Savings/Investment, H&P/Medical",FlexiCare-i Plus,Family Takaful,Insurer,Due to last week's page down
AmMetLife,"Life, Savings/Investment, H&P/Medical",FlexiSecure-i Link,Family Takaful,Insurer,Due to last week's page down
AmMetLife,Savings/Investment,GoldenCare-i Style,Family Takaful,Insurer,Due to last week's page down
AmMetLife,Savings/Investment,GoldenSecure-i Style,Family Takaful,Insurer,Due to last week's page down
AmMetLife,TBD,Group Secure-i,Family Takaful,Insurer,Due to last week's page down
AmMetLife,H&P,HCC BoostUp + HealthCare Choice (Stand-Alone Medical Plan),Life Insurance,Insurer,Due to last week's page down
AmMetLife,H&P,Health Smart Rider,Life Insurance,Insurer,Due to last week's page down
AmMetLife,H&P,HealthCare Choice II Rider + HCC BoostUp II Rider,Life Insurance,Insurer,Due to last week's page down
AmMetLife,H&P,HealthCare Daily Cash,Life Insurance,Insurer,Due to last week's page down
