"product_type","product_name","product_description","insurance_type"
"TBD (H&P/CI/Medical)","CancerCare","CancerCare

Protect yourself against the rising cost of cancer treatment.","Family Takaful"
"TBD (H&P/CI/Medical)","Critical Care","Affordable 50 Critical Illnesses protection plan for peace of mind.","Life Insurance"
"TBD (H&P/CI/Medical)","Critical Care Essential","Protects you against 50 Critical Illnesses with additional payout.","Life Insurance"
"Life","Critical Care Premium Waiver","Premium waiver benefit that relieves your financial burden should a critical illness occur.
","Life Insurance"
"TBD","Domestic Maid Insurance Scheme","24-7 coverage for the indispensable helper in your home.","TBD (Conventional)"
"TBD (H&P/CI/Medical)","Early Care Critical Illness","Provides you the financial support right from the early to advanced stages of a critical illness.","Life Insurance"
"TBD (H&P/CI/Medical), Life","Enhance Your Coverage With Our Riders","Give your family the confidence to handle life's uncertainties with ease.","Family Takaful"
"Savings","Executive20","Enjoy life to the fullest with guaranteed benefits.","Family Takaful"
"TBD","Fire Insurance","Protect your property and inventory from fire-related incidents.
","General Insurance"
"TBD","Fire Takaful","Protect your property and inventory in the event of a fire outbreak.","General Takaful"
"TBD (H&P/CI/Medical)","Flex Junior Critical Illness","Protects your child against juvenile critical illnesses.","Life Insurance"
"TBD (H&P/CI/Medical)","Flex Lady Critical Illness","Comprehensive coverage against major female critical illnesses.","Life Insurance"
"TBD (H&P/CI/Medical)","Flex Maternity Care","Protects you and your child during pre-natal and infancy period.","Life Insurance"
"Misc.","Golfer’s Insurance","The perfect coverage for avid golfers.","General Insurance"
"TBD (H&P/CI/Medical)","Hospital & Surgical Benefit","Daily hospitalisation income and surgical benefit plan.","Life Insurance"
"TBD (H&P/CI/Medical)","Hospital Income Plus","Receive daily cash income upon hospitalisation.","Life Insurance"
"H&P","Individual Personal Accident","Live confidently by protecting yourself against the unexpected.","General Insurance"
"Life","Max Golden Wanita Protection","Customised protection for women in their golden years and beyond. 
","Life Insurance"
"TBD (H&P/CI/Medical)","MaxMedic","Comprehensive medical plan that is easy on your pocket.","Life Insurance"
"TBD (H&P/CI/Medical)","MediAfya","MediAfya

Health and wellbeing hand in hand.","Family Takaful"
"TBD (H&P/CI/Medical)","MediPro","MediPro

Enjoy life with our comprehensive medical coverage.","Family Takaful"
"Life","PA Protector and PA Medicare","Comprehensive personal accident coverage with flexible add-on benefits.
","Life Insurance"
"H&P","Patina2016","Patina2016

Standalone personal accident family takaful plan.","General Takaful"
"H&P","Personal Sentinel V3 Plus","Essential protection for your loved ones.","General Insurance"
"H&P","Personal Sentinel V3 Plus Takaful","Personal Sentinel V3 Plus Takaful

Personal Sentinel Version 3 Plus Takaful is a yearly renewable personal accident coverage plan that adheres to Islamic Shariah laws. This plan provides financial security in the event of bodily injuries, disablement or death caused solely and directly by an unforeseen event. From individual protection to group coverage this plan ensures financial stability and protection of your loved ones, whether they are your partners, family members or employees with their families.","General Takaful"
"Life","Protect All 110 EVO","All in one complete personal accident protection plan.
","Life Insurance"
"TBD","School Personal Accident","Comprehensive protection for your little ones.","TBD (Conventional)"
"Savings","Super Wealth Plan","Guaranteed long term cash payment with maturity benefit to secure your financial goals.
","Life Insurance"
"Life","Takaful Al-Shams","Takaful Al-Shams

Protect your family for your peace of mind.","Family Takaful"
"Life","Takaful Family Hero","Takaful Family Hero

For the wellbeing of your family’s future.","Family Takaful"
"Savings","Takaful Mumtaz","A limited contribution protection and savings plan.","Family Takaful"
"Life","Takaful ProEssential","Takaful ProEssential

Secure the future of you and your loved ones.","Family Takaful"
"Investment","Takaful ProInvest","Building valuable assets.","Family Takaful"
"Life","Takaful ProSecure","Takaful ProSecure

For the continuity of lifestyle.","Family Takaful"
"Life","Takaful SureCover","Takaful SureCover

Easy and guaranteed acceptance plan with no medical check-ups.","Family Takaful"
"Life","Takaful Term 80","Takaful Term 80

Affordable term takaful to protect the future of you and your loved ones.","Family Takaful"
"Investment","Takafulink Single Invest","All about making your money work harder and smarter.","Family Takaful"
"Savings, Life","Teras Perdana","5-in-1 protection plan with Guaranteed Cash Back at maturity!","Life Insurance"
"Motor","Z-Drive Assist","Drive with confidence on the road with Z-Drive Assist","General Insurance"
"Motor","Z-Drive Assist Takaful","Z-Drive Assist Takaful

Drive with confidence on the road with Z-Driver Assist Takaful. This renewable motor takaful plan provides 24/7 Roadside Assistance for your vehicle and even Flood Protection & Personal Accident Benefits for the driver and passengers of the Vehicle.","General Takaful"
"Motor","Z-Driver","Protects you and your loved ones on the road.","General Insurance"
"Motor","Z-Driver Takaful – Car Takaful Plan","Z-Driver Takaful – Car Takaful Plan

The Z-Driver takaful is Shariah-compliant comprehensive motor takaful, that provides coverage for your vehicle, your family, and you in the event of a car accident. It comes with SUPER VALUE add-ons that you can add to get more benefits and discounts.","General Takaful"
"TBD","Z-HomeProtect","Safeguarding the place you call home
","General Insurance"
"TBD","Z-HomeProtect Takaful","Safeguarding the place you call home","General Takaful"
"TBD (H&P/CI/Medical)","Z-MedProtect","Just focus on getting well, we will take care of the rest!","Life Insurance"
"Motor","Z-Rider","Protects your motorcycle and those that you truly love while on the road","General Insurance"
"Motor","Z-Rider Takaful – Motorcycle Takaful Plan","Z-Rider Takaful – Motorcycle Takaful Plan

Z-Rider Takaful is a basic motor takaful plan designed for motorcycle riders. This Plan offers lower contribution rates to safer riders, provides coverage for motorcycle riders and pillion passengers.","General Takaful"
"Travel","Z-Travel Insurance (Domestic)","Covers you and your family while travelling within Malaysia","General Insurance"
"Travel","Z-Travel Insurance (International)","Covers you and your family while travelling overseas","General Insurance"
"Life","Zurich Essential Cover","Protecting your future with ease.","Life Insurance"
"Life","Zurich Everlasting Cover","Always with you through good and bad times.","Life Insurance"
"Savings","Zurich Favour8","Shape your future with rewards along the way.","Life Insurance"
"Savings","Zurich Favour8 Guaranteed Acceptance","Shape your future with rewards along the way","Life Insurance"
"TBD (H&P/CI/Medical)","Zurich Infinite Care","Comprehensive health benefits that truly fit you.","Life Insurance"
"Investment","Zurich Max1nvest","Optimising investment opportunities.","Life Insurance"
"Life, TBD","Zurich Multi Shield","A better tomorrow for your loved ones.","Life Insurance, TBD (Conventional)"
"Savings, Life, TBD","Zurich Prestige Cover","The plan that grows with you, for you.","Life Insurance, TBD (Conventional)"
"Life","Zurich SureCover","The ultimate convenience.","Life Insurance"
"Life","Zurich TermLife","Customised protection to secure your family and business' financial wellbeing.
","Life Insurance"
"Investment, Life","Zurich ValueLife","Safeguarding Life's Precious Moments.","Life Insurance"
"Investment, Life, TBD","Zurich ValueLife Junior","Big Protection For Your Little One.","Life Insurance, TBD (Conventional)"
"Investment, Life","Zurich ValueLife Pluz","Plan For A Debt-Free Future.","Life Insurance"
