"product_description","product_type","product_name","insurance_type"
"Boost your protection and build wealth with FWD WealthLink Pro","Life","FWD WealthLink Pro","Life Insurance"
"Build a safety net with increasing coverage for you & your loved ones.","Life","FWD WealthLink","Life Insurance"
"Secure the legacy of your life & business & have the flexibility to choose policy & payment terms","Life","GoSecure & GoSecure+","Life Insurance"
"Adjust your life insurance coverage in Malaysia anytime, at no extra charge.","Life","i-FlexCover","Life Insurance"
"From only RM10.50 a month, i-Care offers you affordable life insurance for you & your family","Life","i-Care","Life Insurance"
"An essential accident protection & life insurance plan which offers benefits such as No Claim Bonus.","Life","PA Cover+","Life Insurance"
"Get more from your investment-linked plan with personal accident coverage.","Life","FWD IL PA","Life Insurance"
"Provides waiver of premium on diagnosis of any of the 44 critical illnesses","Life","FWD IL WOP","Life Insurance"
"Provides waiver of premium upon death, TPD or on diagnosis of any of the 44 critical illness","Life","FWD Payor Enhanced (Premium Waiver)","Life Insurance"
"Relieve financial worries with daily hospital income during your hospital stay, allowing you to concentrate on your recovery.","Medical","FWD IL Hospitalisation Income Benefit","Life Insurance"
"A comprehensive medical plan that ensures your healthcare needs with no Lifetime Limit.","Medical","FWD Medi First","Life Insurance"
"From only RM44.70 month, i-Med offers you affordable medical insurance in Malaysia.","Medical","i-Med","Life Insurance"
"Get covered against 45 critical illnesses ensuring peace of mind for you and your loved ones.","Critical Illness","FWD IL CI (Accelerated)","Life Insurance"
"From only RM8.10/month, i-Protect & i-Protect Plus offers you affordable critical illness insurance in Malaysia.","Critical Illness","i-Protect & i-Protect Plus","Life Insurance"
"A rider which provides coverage for early and advanced stages of critical illness.","Critical Illness","FWD CI Intense Shield","Life Insurance"
"With FWD IL Living Extra (WOP), you can focus on recovering as we waive your premium payment upon diagnosis of any of the 44 critical illnesses. Find out more.","Critical Illness","FWD IL Living Extra (WOP)","Life Insurance"
"Provides waiver on diagnosis of any of the 44 critical illness","Critical Illness","FWD Living Extra (Premium Waiver)","Life Insurance"
"Maximise your wealth with up to 154% Maturity Payout when you sign up for FWD Max Wealth","Savings/Investment","FWD Max Wealth","Life Insurance"
"Boost your protection and build wealth with FWD WealthLink Pro","Savings/Investment","FWD WealthLink Pro","Life Insurance"
"Build a safety net with increasing coverage for you & your loved ones.","Savings/Investment","FWD WealthLink","Life Insurance"
"Boost your cash savings with guaranteed payout at maturity with Cash Booster today.","Savings/Investment","Cash Booster","Life Insurance"
"A health insurance plan that eases your financial burden for worry-free recovery.","TBD","Qaseh Bakti Plus","Life Insurance"
"Helps you accumulate wealth while providing valuable insurance protection.","TBD","QasehLink Pintar","Life Insurance"
"4 simple plans to meet your needs, ranging from insurance coverage to savings, and other great benefits.","TBD","Qaseh","Life Insurance"
"Term Reducing Assurance Protection Plan that covers your personal loans.","TBD","BSN RTA","Life Insurance"
"Term Reducing Assurance Protection Plan that covers your home loans.","TBD","BSN Home Assure","Life Insurance"
"Auto-renewable plans exclusive for EPF members. Cover yourself or along with family.","Life","FWD i-Lindung Term Takaful & Critical Illness Plan","Family Takaful"
"A protection takaful that covers death for you and your family without the involvement of intermediaries.","Life","FWD Protect Direct","Family Takaful"
"A solo-employment starter pack that provides support on your medical expenses and financial as well as mental health support when you’re accidentallyinjured, at a contribution rate you can afford","Life","FWD ADD Rider","Family Takaful"
"Keep all wealth plans for your family going even after you have a critical illness, die, or have a permanent disability.","Life","FWD Payor Rider","Family Takaful"
"With this add-on, keep all wealth plans for your family going even after you pass on or have a total and permanent disability.","Life","FWD Payor Lite Rider","Family Takaful"
"A takaful plan that provides more than just financial help, but also emotional and practical support to heal after loss of life.","Life","FWD Future First","Family Takaful"
"Family means no one gets left behind — a takaful plan to shield your family against critical illnesses even as life changes.","Life","FWD Family First","Family Takaful"
"We designed FWD Life First for people like you. A protection plan designed to look into the needs of your whole family – from your parents to your children – should you not be able to carry out your responsibilities.","Life","FWD Life First","Family Takaful"
"A plan for children and parents that covers autism, Tourette’s and ADHD. We’ll pay up to RM100,000 from RM28.95/month.","Life","FWD SpecialCare Direct","Family Takaful"
"A micro-takaful protection plan made possible with affordable contributions. Renewable yearly.","Life","FWD Kasih","Family Takaful"
"Accidental Death Benefit Rider helps to enhance your takaful plan to increase your coverage against transportation accidents.","Life","FWD Accidental Death Benefit Rider","Family Takaful"
"Online medical plan tailored for people with learning, visual, and hearing disabilities.","Medical","FWD SpecialMed 2","Family Takaful"
"Comprehensive takaful medical card covering takaful benefits, including hospitalisation, inpatient and outpatient treatment. Get up to 45% savings when you choose a deductible option.","Medical","FWD Medical Care+","Family Takaful"
"Provides additional coverage in the event of hospitalisation, surgery and outpatient treatment.","Medical","FWD Itqan Medik Rider","Family Takaful"
"Getting quality treatment here can be time consuming. With this takaful add-on, we can fast-track your medical care with ease","Medical","FWD Medical Plus Rider","Family Takaful"
"We recognise the importance of good health and will go to great lengths to look after your wellbeing.","Medical","FWD Critical Illness Lite Rider","Family Takaful"
"Be free from making future takaful payments with this add-on so you can focus on getting treatment for your critical illness.","Medical","FWD Critical Illness Waiver of Contribution Rider","Family Takaful"
"A takaful add-on that provides benefits in full diagnosis of a critical illness to help you tackle it immediately.","Medical","FWD Critical Illness Rider","Family Takaful"
"Getting quality treatment here can be time consuming. With this takaful add-on, we can fast-track your medical care with ease.","Medical","FWD Medical Rider","Family Takaful"
"A plan that reduces complexities and constraints for critical illnesses when you need it most—now and in the future.","Medical","FWD CI First","Family Takaful"
"An online takaful product with easy and affordable coverage for the 3 most common critical illnesses.","Medical","FWD Big 3","Family Takaful"
"A regular step-up contribution takaful plan for a daily hospital income during hospitalisation.","Medical","FWD Medsecure Direct","Family Takaful"
"We’ll cover up to RM250,000 for cancer (including early stage cancer) from RM10.83/month.","Medical","FWD Care Direct","Family Takaful"
"Auto-renewable plans exclusive for EPF members. Cover yourself or along with family.","Critical Illness","FWD i-Lindung Term Takaful & Critical Illness Plan","Family Takaful"
"We’ll cover you for up to RM250,000 for cancer, heart attack or stroke - from RM10.27/month.","Critical Illness","FWD Big 3 Critical Illness Protection Plan","Family Takaful"
"A takaful add-on that provides benefits in full diagnosis of a critical illness to help you tackle it immediately.","Critical Illness","FWD Critical Illness Rider","Family Takaful"
"Be free from making future takaful payments with this add-on so you can focus on getting treatment for your critical illness.","Critical Illness","FWD Critical Illness Waiver of Contribution Rider","Family Takaful"
"We recognise the importance of good health and will go to great lengths to look after your wellbeing.","Critical Illness","FWD Critical Illness Lite Rider","Family Takaful"
"Get additional protection during Hajj or umrah with this add-on so you can perform your obligations in peace.","Critical Illness","FWD Hajj Rider","Family Takaful"
"A takaful savings plan that balances the wants of today and the plans of tomorrow with annual cash payments.","Critical Illness","FWD Income First","Family Takaful"
"A plan that reduces complexities and constraints for critical illnesses when you need it most—now and in the future.","Critical Illness","FWD CI First","Family Takaful"
"An investment-linked plan that protects you and your family as well as savings for your future needs.","Savings/Investment","FWD Maqbul Link","Family Takaful"
"FWD Invest First’s education plan grows your savings and protects your wealth, so you can invest more in your kid's education without debt burdens.","Savings/Investment","FWD Invest First – Education Plan","Family Takaful"
"A one-step solution for your legacy planning. Invest and expand your wealth to leave behind a secured future for your family.","Savings/Investment","FWD Invest First Plus – Legacy Plan","Family Takaful"
"A customisable investment-linked takaful plan that combines protection and investment to secure your retirement.","Savings/Investment","FWD Invest First Plus – Wealth Management Plan","Family Takaful"
"Scraped at",":","2024-07-13 00:24 +08",""
