"product_type","product_name","product_description","insurance_type"
"H&P","Medic Essential Rider","A medical plan that supports you and your family during these trying times
There may come a time where you are challenged by uncertainties over health and financial issues. Thus, it is always essential to have extra protection to safeguard yourself and your loved ones. In view of all the unpredictable events, we are here to provide you with a medical plan that is packed with essential health protection benefits at an affordable premium.

‍

Medic Essential Rider is a medical plan to support you and your family during these trying times. Besides the medical coverage of in-patient and out-patient treatments, this plan also comes with death coverage and financial support upon medical quarantine for you and your family. It gives you coverage up to age 81 with NO LIFETIME LIMIT to fulfil your and your family’s medical protection needs.

‍

Medic Essential Rider is a medical plan that you and your family must have for your peace of mind.

‍","TBD"
"H&P","eMedic Plus","Online medical plan, up to RM150,000 annual medical coverage for your medical needs
Paying medical bills during a medical emergency can be stressful. Healthcare costs are on the rise every year. Take steps today to mitigate the impact of rising costs in the future.

‍

Sign up for Generali eMedic Plus which covers in-patient and surgical benefits, pre-hospitalisation consultation, post-hospitalisation care, unlimited days on room and board, and no lifetime limit up to age 80.

‍

You also get Inflation Defender, which boosts your Annual Limit by 10% every five years, up to a total of 150% of your initial Annual Limit – at no extra cost.

‍

eMedic Plus also comes with Family Plan! Get yourself and your family protected with 5% premium discount, from as low as RM41/month*!

*Price based on female/male, age 18, non-smoker with Medical Annual Limit of RM150,000 (RM1,000 Deductible).

‍

‍

eCombo Complete Protection Campaign

Sign up for Generali's eCombo online insurance package (Medical + Life + Critical Illness) before 31 August 2024 and get up to RM90 Big Pharmacy e-voucher. Plus, a chance to win up to RM1,000 Touch ‘n Go eWallet credit!","TBD"
"H&P","SmartCare Optimum Plus","Complete Medical Plan For Protection Against Rising Medical Costs
SmartCare Optimum Plus is an all-in-one medical plan that protects you and your family against escalating medical costs.

‍

Choose from 3 affordable plans designed to fit different lifestyle needs and enjoy comprehensive protection so you can focus on healthy recovery.","TBD"
"H&P","Multi Medic","Build your own insurance plan with the most flexible medical plan in the market.

Fully Customisable Plans

Choose what you need to protect you and your family.

Personalise your plan according to your medical background, life stages, career and more. You can even review and change your coverage whenever you need to.

What are the unique features of Multi Medic?

✓ Enjoy fully customisable plans

Personalise your plan according to your medical background, life stages, career and more with the option to review and change your coverage whenever you need.

✓ Unlimited days on Room and Board

No limit or maximum days of admission when you are admitted to a private or government hospital.

✓ Cashless admission at panel hospitals

Get faster access to treatment at our panel hospitals with the convenience of cashless admission.

✓ Automatic increase of limit of coverage by 10%

Every 3 years, the overall annual limit and inner limit will automatically increase by 10%. This is to ensure that the coverage is adequate, in line with inflation and increased medical expenses.

✓ Family discounts

Purchase for your immediate family members and get a Family Discount up to 10% (not applicable for Optional Coverage)

✓ Optional Coverage

Should you want a more holistic coverage, you can also consider these Riders:

Emergency Medical Evacuation & Repatriation
Hospital Cash Benefit Insurance
Outpatient Insurance
Dental Insurance
Critical Illness Insurance
Personal Accident.

How Much Does It Cost?

Pricing depends on an individual’s respective gender, age, BMI, occupation and lifestyle, etc. Get in touch with us and we’ll provide a quotation.

Want to find out more about Multi Medic?

You can speak to any of our authorized agents. If you don’t have one, email us at [email protected] and we will find one for you.
‍

‍
The benefit(s) payable under eligible product is protected by PIDM up to limits. Please refer to PIDM’s TIPS Brochure or contact Generali Insurance Malaysia Berhad or PIDM (visit www.pidm.gov.my)

‍","TBD"
"H&P","Multi Medi-Plus","Many of us are aware that medical cost is on the rise, and most of us are not prepared financially to face this rising medical cost despite having some minimal medical cover from our employers. Especially so if we suffer from critical and life-threatening disease, we may have to use our hard-earned savings or borrow some money from friends to pay for the medical expenses.

With Multi Medi-PLUS, you and your family members will have :

✓ WORLDWIDE 24-HOUR COVER

Regardless of where you and your family members are, Multi Medi-PLUS covers you 24 hours a day and anywhere in the world, whether you travel for holidays or business assignments.

✓ EXTENSIVE AND COMPREHENSIVE BENEFITS

You and your family members have the following benefits:

Renewal at your option (up to 101 years) after 2 years with Multi Medi-PLUS
Lodger Fees for parents if child (below 15 years old) is hospitalised
Second Surgical Opinion
Daycare and Outpatient Surgery
Outpatient Cancer Treatment and Kidney Dialysis
Home Nursing Care
Accidental Death Benefit

✓ EXTENSIVE AGE COVER

Anyone who is between the age of 30 days and 60 years old based on last birthday. Renewal can be extended up to 101 years old (last renewal age of entry is 100 years old). Child is defined as aged from 30 days onwards and is unmarried, unemployed and is studying full-time in a local institution.

✓ HASSLE-FREE HOSPITAL ADMISSION FOR COVERED CONDITIONS

Hospital admission and discharge will become less of a hassle with Generali Medical Card. Our appointed Third Party Administrator (TPA) will facilitate the admission at any one of the participating hospitals for our policyholders when they suffer from a Covered Condition.

‍

‍

‍The benefit(s) payable under eligible product is protected by PIDM up to limits. Please refer to PIDM’s TIPS Brochure or contact Generali Insurance Malaysia Berhad or PIDM (visit www.pidm.gov.my)

‍","TBD"
"H&P","Multi Medical-Protector","With medical emergencies a reality and hospital cost getting out of control, medical insurance is very crucial.

At Generali, our ""Multi Medical-Protector"" is a comprehensive health insurance plan that will help ease your concern at an affordable cost. It is a specially tailored Hospital and Surgical insurance cover that provides coverage for surgery or treatment in hospital for all Covered Conditions, regardless of minor or major disability.

Unique Features

Besides the basic cover for Inpatient and Outpatient Benefits, the unique feature of Multi Medical-Protector is it provides cover for the Defined Major Disabilities.

Other benefits provided here include :

lump sum Recuperative Allowance if a patient is hospitalised for more than five (5) consecutive days.
Hospital Inconvenience as a daily cash benefit if hospitalised for more than five (5) consecutive days.
lump sum payment under Major Disabilities Relief.

What’s Under Defined Major Disabilities?

Multi Medical Protector covers Heart Attack, Stroke, Cancer, Brain Surgery, Open Heart Surgery, Coma, Major Organ Transplant etc. Download our product brochure for more info.

Hassle-free Hospital admission at our participating panel hospitals.

In addition, with our Generali Medical Card, hospital admission has been made simpler for any Covered Conditions. Our appointed Third Party Administrator (TPA) will arrange for your admission with our participating panel hospitals.

Download the mobile app: IHP Health Concierge at either Play Store or App Store

Family Discount

If you buy a family policy with four (4) or more Insured Persons under a same policy, 15% discount on total premium will be given!

‍

‍
The benefit(s) payable under eligible product is protected by PIDM up to limits. Please refer to PIDM’s TIPS Brochure or contact Generali Insurance Malaysia Berhad or PIDM (visit www.pidm.gov.my)","TBD"
"H&P","Medic 101","This is a comprehensive Hospitalisation and Surgical Policy that is designed to complement and provide additional protection to your existing policy (which you may or may not have).

Highlights of Medic 101

✓ All eligible expenses shall be reimbursed up to the Limits of Policy.

✓ Policy is renewable at the option of the Insured. However, the premium rates are not guaranteed.

✓ Renewable up to age 101 years.

✓ Coverage up to RM390,000 per year.

✓ No Lifetime Limit.

✓ No Upgraded Room and Board Co-Payment condition.

✓ No requirement of re-declaration of health status at renewal.

✓ Medical Card facility for admission and discharge from panel hospitals for covered disabilities.

✓ Covers Organ transplant up to Limits of Policy.

✓ Also covered

Outpatient treatments for Cancer and Kidney Dialysis.
Outpatient Physiotherapy Treatments and Home Nursing Care after hospitalisation.

✓ Deductible of RM10,000 per Disability per Policy Year so as to reduce premium costing.

Features

✓ Medic 101 is designed to complement and provide protection as a secondary level of cover to the normal and basic Hospitalisation and Surgical Insurance that you may have insured or coverage provided by your employer.

✓ The benefits of your basic/standard cover may not be adequate to meet the ever-increasing cost of health care and medical expenses for complicated, serious or complex surgeries or treatment.

✓ Accident Death benefits are payable.

✓ High limits of cover at an affordable premium.

✓ One common level of premium regardless of occupational class and gender.

✓ 30% automatic increase of Overall Annual Limit to RM390,000 when you are also covered by an active Multi Medi-PLUS or Multi Medical Protector with us for not less than two consecutive years at the time of hospital admission.

✓ High maximum entry age of 65 years and renewable up to 101 years.

✓ Deductible per Disability:

RM 10,000
RM 5,000 (if the entire treatment is in Malaysian Government Hospital)
Only one Deductible shall apply if family members are injured in the same motor vehicle accident.


The benefit(s) payable under eligible product is protected by PIDM up to limits. Please refer to PIDM’s TIPS Brochure or contact Generali Insurance Malaysia Berhad or PIDM (visit www.pidm.gov.my)

‍","TBD"
"Motor/Home","Private Car Insurance & Available Add Ons","Safeguard your car with Generali’s Private Car Comprehensive insurance. You can also select add-on options and benefits for enhanced protection on the road.

To know more about the benefit of our Generali Roadside Assistance, call 1800 22 2262.","General Insurance"
"Motor/Home","Motorcycle","Motorcycle Insurance
Provides you the protection that you need so you can ride with peace of mind.","General Insurance"
"Motor/Home","Home Protector Enhanced","The Home Protector Enhanced is an all-encompassing home insurance protection plan that is designed to protect your home and your contents within for peace of mind.

‍

Building and/or Content coverage according to your needs

Home Protector Enhanced allows you to select the type of protection that best suits your needs.

You may select houseowner insurance to cover the building, or home contents insurance to cover the contents, or if you prefer a comprehensive cover, you may take up both houseowner and home contents insurance.

For your home contents, you have the choice of Householder coverage, or All Risk coverage to protect your home contents and valuables.

‍

Complimentary Benefits

Home Protector Enhanced provides various additional complimentary benefits such as:

Replacement of External Window / Door locks up to RM500
Replacement of Burst Pipe (including hacking and plastering) up to RM1,500
Terrorism Cover (material damage only) up to RM500,000
And many more!

‍

Optional Extensions

Home Protector Enhanced offers various optional extensions for your property ie: Subsidence & Landslip, Plate Glass Damage, or Riot, strike and malicious damage.

 

Optional Riders

Add on Worldwide Personal All Risks and Worldwide Family Liability to cover your personal effects and your family against 3rd party liability.

‍

The benefit(s) payable under eligible product is protected by PIDM up to limits. Please refer to PIDM’s TIPS Brochure or contact Generali Insurance Malaysia Berhad or PIDM (visit www.pidm.gov.my)","General Insurance"
