"product_type","product_name","product_description","insurance_type"
"Life","TokioMarine-iLifeGuard","The unconditional love to guard what matters most for life","Life Insurance"
"Life","TokioMarine-iBig 2","Embrace the future without fear","Life Insurance"
"Life","TokioMarine-iMillion","Staying protected is one of the best gifts for your loved ones","Life Insurance"
"Life","TokioMarine-iLady","Love yourself the way you love the world","Life Insurance"
"Life","TokioMarine-iFlexSecure 2","Protection with Short-Term Commitment","Life Insurance"
"Life","Perlindungan Tenang TokioMarine E-ssential Tenang","Affordable Internet Life Insurance Plan for everyone.","Life Insurance"
"Life","TokioMarine-TermDefender","Instant & affordable coverage up to RM 500,000!","Life Insurance"
"Life","TokioMarine-LifeTreasure","Live without regrets during your best years","Life Insurance"
"Life","Convertible Term Assurance","Largest sum assured protection at the lowest cost.","Life Insurance"
"H&P/Medical/CI","iCareGuard and iCareGuard Plus","Get Rewarded for Guarding Your Health","Life Insurance"
"H&P/Medical/CI","iComprehensive CI","Early Protection, Early Recovery","Life Insurance"
"H&P/Medical/CI","TokioMarine-CriticalDefender","Affordable coverage for critical illness","Life Insurance"
"H&P/Medical/CI","TokioMarine-MedicDefender","Affordable hospitalisation income plan","Life Insurance"
"H&P/Medical/CI","Cancer Shield Plus","Feel secured with double protection. Be free from financial constraints.","Life Insurance"
"H&P/Medical/CI","MedShield","Protection should you fall ill. Rewards should you stay healthy","Life Insurance"
"H&P/Medical/CI","MediCare / iMediCare 2","Embracing freedom with a healthy life.","Life Insurance"
"Savings","TokioMarine-Optimizer","Save now for a better tomorrow","Life Insurance"
"Savings","TokioMarine-iRich Premier / TokioMarine-iRich","Wealth Gain for a Rewarding Future","Life Insurance"
"Savings/Investment","Asia Income Master Plus","Hassle-free retirement planning today. Worry-free comfort tomorrow.","Life Insurance"
"Savings/Investment","Asia Premier Endowment Plus","Make a golden investment. Enjoy a stream of income in your golden years.","Life Insurance"
"Savings/Investment","TokioMarine-XtraCash","Extra income for the present. Endless assurance for the future.","Life Insurance"
"Savings/Investment","TokioMarine-BrightFuture","Shine bright like a diamond","Life Insurance"
"TBD","Group Term Life","Take better care of your employees. Protect them from harm arising from natural and accidental causes.","Life Insurance"
"TBD","Group Dread Disease","Medical coverage for 39 dread diseases. Essential protection for your employees.","Life Insurance"
"Motor","Motor Insurance","Ensures worry-free journeys with essential coverage","General Insurance"
"Motor","Tokio Marine BikePro","Experience the unparalleled peace of mind as you enjoy the freedom of the open road ahead","General Insurance"
"Motor","Tokio Marine AutoPro","The right choice for better protection whilst you are on road. Get protected by selecting Tokio Marine AutoPro to cover your vehicle.","General Insurance"
"Motor","Auto Partner","Covers you for roadside emergencies and house repairs","General Insurance"
"Motor","DriveSafe PA Partner","A comprehensive yet affordable plan to protect you and your passengers against accidents..","General Insurance"
"Motor","Commercial Partner","Protection for drivers and attendants of commercial vehicles against accidents","General Insurance"
"Motor","Motorcyclist Partner","Protect yourself and/or your rider against accidental death and permanent disablement as a result of accident on a specified motorcycle.","General Insurance"
"H&P","Tokio Marine PremierUltra PA","Protects your family with a range of reliable plans.","General Insurance"
"H&P","Flexi PA Partner","Protection tailored to your needs and budget for anytime, anywhere.","General Insurance"
"H&P","UniqCare PA","UniqCare PA offers protection catering exclusively to the needs of OKU.","General Insurance"
"H&P","AEONCare Insurance","Comprehensive protection for personal finance and& credit card customers.","General Insurance"
"TBD (Travel/Sports)","Tokio Marine Explorer","Extensive and customisable coverage for wherever you go.","General Insurance"
"TBD (Travel/Sports)","Tokio Marine Annual Explorer","Protection for business and personal trips throughout the year.","General Insurance"
"TBD (Travel/Sports)","Domestic Travel Partner Plus","Explore Malaysia worry-free with comprehensive coverage.","General Insurance"
"TBD (Travel/Sports)","Travel Personal Accident","Provides peace of mind for short trips.","General Insurance"
"TBD (Travel/Sports)","Golfer Insurance","Safeguards you against the unexpected, so you can focus on your game.","General Insurance"
"H&P/Medical/CI","Premier Medic Partner","Lifelong coverage for your health.","General Insurance"
"H&P/Medical/CI","Medic Plus","Boosts your medical plan for ultimate assurance.","General Insurance"
"H&P/Medical/CI","Mosbite","Protection against Dengue and Zika.","General Insurance"
"Home","Home Partner Insurance","Comprehensive cover for your prized possessions and protection for your family","General Insurance"
"Home","Houseowners/ Householders","Houseowners/Householders protects your home and its contents against loss or damage","General Insurance"
"Home","Tokio Marine SecureHome","Comprehensively safeguard your home and belongings.","General Insurance"
"Scraped at",":","2024-07-12 23:32 +08",""
