"company","product_type","product_name","product_description","insurance_type","discovered_place"
"AIA","Savings/Investment","A-EduAchieve 2","Combines savings, protection and investment to boost your child's education fund.","Life Insurance","Insurer"
"AIA","Savings/Investment","A-Enrich Rezeki","A savings plan that offers Takaful coverage as well as potential investment growth
Maximise the return on your investment (ROI).","Family Takaful","Insurer"
"AIA","Savings/Investment","A-Enrich Wealth","A short-pay savings plan to maximise returns with protection and investment.
Up to 16 AIA Investment Funds (local and foreign) of varying risk profiles are available for your selection.","Life Insurance","Insurer"
"AIA","Savings/Investment","A-Enrich20","A savings plan that guarantees cash payments and increases your insurance cover.","Life Insurance","Insurer"
"AIA","Savings/Investment","A-EnrichGold","A short-pay savings plan that offers guaranteed cash payments and potential investment gains.","Life Insurance","Insurer"
"AIA","Savings/Investment","A-EnrichGold-i","A short-pay savings plan that provides takaful coverage and potential growth in investments.
Allow you to maximise the return on your money.","Family Takaful","Insurer"
"AIA","Home","A-Essential Home","Covers your home and its contents against losses or damages.","General Insurance","Insurer"
"AIA","Savings/Investment","A-InvestLink","A flexible plan that helps you maximise your investment returns.","Life Insurance","Insurer"
"AIA","Critical Illness","A-Life Beyond Critical Care","Comprehensive critical illness coverage until the age of 80.
Covers from early detection to prevention, and from treatment to recovery.","Life Insurance","Insurer"
"AIA","Critical Illness","A-Life Cancer360","A-Life Cancer360 provides coverage for early to advanced stages of cancer.","Life Insurance","Insurer"
"AIA","Critical Illness","A-Life Cancer360-i","Provides coverage for early to advanced stages of cancer.
Make healthy choices with AIA Vitality and enjoy Yearly Cash Bonuses.","Family Takaful","Insurer"
"AIA","Critical Illness","A-Life Essential Critical Care","Offers a simple and affordable plan that protects you against advanced stage critical illnesses.
Join AIA Vitality to enjoy Health Screening Benefit and Yearly Cash Bonus as a reward for your healthy choices.","Life Insurance","Insurer"
"AIA","Life","A-Life Idaman","A comprehensive takaful solution all in one product.
Attach our variety of riders to enhance your coverage.","Family Takaful","Insurer"
"AIA","Savings/Investment","A-Life Infinite","A premier investment-linked plan with a minimum coverage amount of RM5 million, one of the highest available in the market.","Life Insurance","Insurer"
"AIA","Life","A-Life Joy Xtra","Offers coverage and savings opportunities for your child from RM150 per month.
Flexible to be adjusted to your preferred protection and savings level.","Life Insurance","Insurer"
"AIA","Life","A-Life Kasih Famili","A family takaful plan that caters to all the protection needs of your family.","Family Takaful","Insurer"
"AIA","Critical Illness","A-Life Kritikal Protector","Provides a lump sum payment if you are diagnosed with a critical illness, so you can focus on your recovery.
Get additional coverage through Vitality Booster as an AIA Vitality member.","Family Takaful","Insurer"
"AIA","Life","A-Life Lady","Comprehensive protection plan for women.
Provides life insurance benefits specially designed for women.","Life Insurance","Insurer"
"AIA","Life","A-Life Lady-i","A comprehensive takaful protection plan tailored for women's health needs.","Family Takaful","Insurer"
"AIA","Savings/Investment","A-Life Legasi Beyond","A regular contribution investment-linked takaful plan that provides up to 6 times the protection amount.","Family Takaful","Insurer"
"AIA","Medical","A-Life MediFlex","Flexible medical protection to start your health journey.","Life Insurance","Insurer"
"AIA","Medical","A-Life Mediflex-i","Flexible medical protection to start your health journey.","Family Takaful","Insurer"
"AIA","H&P","A-Life Pelindung","A regular contribution family takaful plan that provides accidental coverage for 20 years or up to age 85.","Family Takaful","Insurer"
"AIA","Savings/Investment","A-Life Sejuta Makna","A family takaful plan that provides a meaningful protection for every precious moment.","Family Takaful","Insurer"
"AIA","Savings/Investment","A-Life Wealth Builder","Provides high coverage amount and rewards you up to 6 times with Wealth Rewards and Wealth Booster.","Life Insurance","Insurer"
"AIA","Savings/Investment","A-Life Wealth Premier","Helps you build a strong financial safety net to safeguard your loved ones when you are no longer around.","Life Insurance","Insurer"
"AIA","Savings/Investment","A-Life Wealth Prestige","A regular premium Investment-Linked Insurance Plan that covers death.
This plan gives you the flexibility to select your coverage in Ringgit Malaysia (RM) or index your coverage with Singapore Dollar (SGD) or United States Dollar (USD).","Life Insurance","Insurer"
"AIA","Savings/Investment","A-Life Wealth Venture","A non-participating high protection plan with an eased onboarding journey to protect your venture and secure your legacy.","Life Insurance","Insurer"
"AIA","Life","A-LifeLink 2","Offers protection and investment coverage from RM150 per month.
Enjoy the flexibility of adjusting your protection and savings level.","Life Insurance","Insurer"
"AIA","H&P","A-Plus Accident ShieldExtra-i","Provide protection against any unfortunate events as a result of an accident up to age 70.","Family Takaful","Insurer"
"AIA","Medical","A-Plus BabyCare Xtra","Covers pregnancy and child care benefits.","Life Insurance","Insurer"
"AIA","Medical","A-Plus BabyCare Xtra-i","Offers enhanced coverage during your initial months of pregnancy.
Provides best-in-class protection for your child during those crucial years of infancy.","Family Takaful","Insurer"
"AIA","Critical Illness","A-Plus Beyond Advance Care","Provides coverage for 75 advance stage critical illness.","Life Insurance","Insurer"
"AIA","Critical Illness","A-Plus Beyond Critical Shield & A-Plus Beyond Early Critical Shield","Covers up to 180 critical illness conditions.","Life Insurance","Insurer"
"AIA","Critical Illness","A-Plus Beyond Critical Shield-i & A-Plus Beyond Early Critical Shield-i","Covers up to 180 conditions from early to advanced stages of critical illnesses.","Family Takaful","Insurer"
"AIA","Critical Illness","A-Plus Critical Shield-i","Provides a lump sump payment if you are diagnosed with a critical illness.","Family Takaful","Insurer"
"AIA","Critical Illness","A-Plus CriticalCare","Provides financial support during your recovery from a critical illness.","Life Insurance","Insurer"
"AIA","Critical Illness","A-Plus CriticalCare-i","Provides a lump sum payment in the event the Person Covered is diagnosed to be suffering from any one of the specified critical illnesses.","Family Takaful","Insurer"
"AIA","Medical","A-Plus Health 2","Comprehensive health protection coverage.
Coverage for recovery treatments and medical related equipment.","Life Insurance","Insurer"
"AIA","Medical","A-Plus Health Flex-i","A-Plus Health Flex-i is designed to provide comprehensive medical coverage that safeguards you against escalating medical costs.
No lifetime limit and rewards you for making healthy choices.","Family Takaful","Insurer"
"AIA","Savings/Investment","A-Plus Infaq","A term plan that donates to charity on your behalf if you pass away or suffer from TPD.","Family Takaful","Insurer"
"AIA","Medical","A-Plus MedCare","Provides you with a Personal Medical Case Management (PMCM) benefit.","Life Insurance","Insurer"
"AIA","Critical Illness","A-Plus Multi CriticalCare","Covers up to 3 critical illnesses.","Life Insurance","Insurer"
"AIA","Life","A-Plus ParentCare Xtra","Covers death and total and permanent disability on parent.","Life Insurance","Insurer"
"AIA","Life","A-Plus ParentCare Xtra-i","Provides coverage for death and total and permanent disability of the parent.","Family Takaful","Insurer"
"AIA","Medical","A-Plus Recover","Pays out coverage amount in the event of prolonged hospitalisations.","Life Insurance","Insurer"
