"product_type","product_name","product_description","insurance_type"
"Life","HLA CompleteCover","Investment-Linked | Available via Life Advisor
An investment-linked plan that offers a wide array of riders to tailor to your protection needs at every stage of your life. Options to increase basic sum assured without underwriting at key milestones of your life.
Life ProtectionAccident ProtectionCritical Illness ProtectionPregnancyMedical ProtectionDisability ProtectionIncome Replacement","Life Insurance"
"Life","HLA Asset Elite","Investment-Linked | Available via Life Advisor
All-rounded protection from your prime age to your golden years, protection for yourself as well as leaving a legacy for your loved ones.
Legacy PlanningCritical Illness ProtectionLife Protection","Life Insurance"
"Life","HLA Asset Master","Investment-Linked | Available via Life Advisor
All-rounded protection from your prime age to your golden years, protection and legacy planning up to RM8 mil without going through medical check-up.
Legacy PlanningCritical Illness ProtectionLife Protection","Life Insurance"
"Savings/Investment","HLA Wealth Booster Plus","Investment-Linked | Available via Life Advisor
An investment-linked plan with flexible payment terms starting from RM1,200 per year. Allows you to invest in a wide range of funds with unique benefits & risks, with rewards for larger premiums and longer premium-paying terms.
Savings & Wealth PlanningEducation SavingsRetirement PlanningLife Protection","Life Insurance"
"Savings/Investment","HLA Wealth Invest","Participating | Available via Life Advisor
A participating plan that allows you to grow your savings as you receive a guaranteed income stream. Limited 6-year premium-paying term to secure a 30-year coverage.
Savings & Wealth PlanningRetirement Planning","Life Insurance"
"Savings/Investment","HLA Wealth Gain Plus","Investment-Linked | Available via Life Advisor
An investment-linked plan with flexible payment terms starting from RM1,200 per year. Allows you to invest in a wide range of funds with unique benefits & risks, with rewards for larger premiums and longer premium-paying terms.
Education SavingsSavings & Wealth PlanningLife ProtectionRetirement Planning","Life Insurance"
"TBD (CI/Medical/H&P)","HLA Premier HB","Non-Participating | Available via Life Advisor
A hospital income plan with added accidental coverages on death, disability lump sum and allowance, medical expenses and compassionate allowance.
Income ReplacementAffordable Starter Plan","Life Insurance"
"TBD (CI/Medical/H&P)","HLA FiT CI","Non-Participating | Available via Life Advisor
An affordable plan against 10 major critical illnesses while also rewarding you for staying active and fit.
Critical Illness ProtectionAffordable Starter Plan","Life Insurance"
"TBD (CI/Medical/H&P)","CI Shield 5","Non-Participating | Available via Online
10-year 5 major critical illness protection plan up to RM500,000 with the option to renew without underwriting. Available online.
Critical Illness ProtectionAffordable Starter Plan","Life Insurance"
"Life","HLA Life Essential","Non-Participating | Available via Life Advisor
Covers the basic needs at an affordable price, suitable for individuals as well as business owners as a starter package.
Life ProtectionAccident ProtectionCritical Illness ProtectionMedical ProtectionDisability ProtectionAffordable Starter Plan","Life Insurance"
"Life","HLA Prime Asset","Investment-Linked | Available via Life Advisor
An easy sign-on investment-linked plan with guaranteed death protection up to RM500,000 without medical check-up and no health questionnaires.
Life ProtectionLegacy Planning","Life Insurance"
"Life","HLA Prime Protect","Non-Participating | Available via Life Advisor
An easy sign-on insurance plan that offers life protection up to age 80. Enjoy 160% return of premium paid upon policy maturity if there are no early claims.
Life ProtectionAccident Protection","Life Insurance"
"Life","HLA Prime Protect Gold","Non-Participating | Available via Life Advisor
An easy sign-on insurance plan for those who are above age 40 that offers life protection up to age 80. Enjoy 110% return of premium paid upon policy maturity if there are no early claims.
Life ProtectionAccident Protection","Life Insurance"
"Life","HLA Prime Protect Plus","Non-Participating | Available via Life Advisor
An easy sign-on insurance plan that offers life protection and Total and Permanent Disability (TPD) coverage. Enjoy at least 110% return of premium paid upon policy maturity if there are no early claims.
Life ProtectionAccident ProtectionDisability Protection","Life Insurance"
