"company","product_type","product_name","product_description","insurance_type"
"FWD","Life","BSN Qaseh Bakti Plus","A Health Insurance Plan That Eases Your Financial Burden for Worry-Free Recovery","Life Insurance"
"Prudential","Life","BSN Takaful Makmur","Save Now and Be Rewarded for A Better Future","Family Takaful"
"FWD","Life","BSN Qasehlink Pintar","Stay protected and achieve your financial Dreams","Life Insurance"
"Prudential","Life","BSN Takaful Sakinah","Your First Protection Plan","Family Takaful"
"Prudential","Life","BSN Fitrah","It is time to protect your goals in life","Family Takaful"
"FWD","Life","BSN Qaseh","Protection to cover all aspects of life","Life Insurance"
"Takaful Ikhlas","H&P","IKHLAS Group Personal Accident Takaful (Long Term)","The scheme (Certificate) that provides compensation to all the account holders of BSN Personal Financing Scheme (BSNPFS) in the event of injuries, permanent disablement or death caused solely by violent, accidental, external and visible events during the period of Takaful.","General Takaful"
"Takaful Ikhlas","Home","IKHLAS House Owner / House Holder Takaful","IKHLAS Home Protect Takaful provides protection for residential building and its contents and protect against loss or damage as a result of:","General Takaful"
"Takaful Ikhlas","Motor","IKHLAS Private Car Comprehensive Plus Takaful","Get comprehensive coverage for your vehicle against losses and damages at an affordable contribution.","General Takaful"
"","Scraped at",":","2024-07-26 17:19 +08",""
