"product_type","product_name","product_description","insurance_type"
"Life","Allianz UltimateLink","Protection and investment in one plan
Insurance protection up to age 100
Comprehensive range of optional benefits","Life Insurance"
"Life","Allianz EverLink Signature","High coverage with short commitment period & flexible coverage terms
Boost your investment with a Loyalty Bonus
Personalise your coverage with additional riders","Life Insurance"
"Life","Allianz EverLink Plus","A plan with high coverage
Death or Total and Permanent Disability (TPD)* benefits
Ensure financial stability with flexible coverage terms","Life Insurance"
"Life","Power Shield","Affordable term life insurance coverage
Flexible coverage term
Option to purchase a permanent plan","Life Insurance"
"Life","Allianz Ability Life","Premium from as low as RM50
Guaranteed renewal
Lump sum payment upon death","Life Insurance"
"Life","Allianz Kasih4All","Coverage for Death Due to Accidental or Non-Accidental Causes, up to RM30,000
Affordable premiums to suit your financial situation
Coverage term up to the Life Assured attaining 71 years old nearest birthday","Life Insurance"
"Life","Allianz Legacy Plus","Increasing Insured Amount to protect your legacy against inflation
Guaranteed Maturity Benefit to preserve your wealth for your future generation
High Non-Medical Limit of up to RM 4,000,000","Life Insurance"
"Life","Allianz i-EssentialCover","Coverage up to RM500,000
Guaranteed yearly premium
Fast, hassle free enrolment","Life Insurance"
"Medical","Allianz Diabetic Essential","A choice of 4 medical plans
Annual health screening benefits
Enjoy annual premium discount","Life Insurance"
"Medical","HealthInsured","No Overall Lifetime Limit
High Overall Annual Limit
Flexible deductible option","Life Insurance"
"Medical","MediAdvantage","Overseas Medical Treatment Benefit
Second medical opinion
Seamless experience","Life Insurance"
"Medical","Allianz i-HospitalCash","Daily cash benefit upon hospitalisation
Double cash benefit for overseas hospitalisation
No Claims Bonus at maturity","Life Insurance"
"Medical","Allianz MediCure","A choice of 5 medical plans
5 optional deductible plans
Coverage available to both individual and multiple insured persons","Life Insurance"
"Critical Illness","HealthCover","Coverage on 36 critical illnesses
Coverage up to age 100
 


","Life Insurance"
"Critical Illness","HealthCover Plus","Coverage on 70 critical illnesses
Protection against 7 additional critical illnesses for those below the age of 19
Coverage up to age 100
 ","Life Insurance"
"Critical Illness","HealthCover Enhancer","Provides additional medical insurance coverage upon the first diagnosis of Carcinoma-in-Situ / pre-cancerous lesions
Provides financial protection upon the first diagnosis of Carcinoma-in-Situ / pre-cancerous lesions","Life Insurance"
"Critical Illness","Allianz i-Cancer Care","Early or advanced stage cancer coverage
3 plans to suit different levels of cancer protection needs
Lump sum health care allowance","Life Insurance"
"Critical Illness","Prime Care+","Coverage on more than 150 critical illnesses
Diabetes and Cancer Recovery Benefit
 ","Life Insurance"
"Critical Illness","PreciousCover and BabyCover","Mental Health Coverage for mothers
Child Development Disorder Benefit
Prenatal and Postnatal Benefit
 ","Life Insurance"
"Critical Illness","Lady Guard","Coverage for female-related cancers
Coverage for female-related illnesses","Life Insurance"
"H&P","Allianz Lifestyle Protect","Smart device protection
Online purchase protection
Credit card and loan indemnity

 ","Life Insurance"
"H&P","ATM Shield","Covers loss of cash withdrawn from ATM
Covers loss of or damage to personal effects
Covers death and permanent disablement
 ","Life Insurance"
"H&P","Premier PA Plus","Coverage includes locally and abroad
Additional 300% payout of sum assured in the event of accidental death
Up to additional 400% payout of sum assured","Life Insurance"
"H&P","Allianz Shield Plus","Renewal bonus up to 100%
Double indemnity in the event of death or permanent disablement
Cashless hospital admission and discharge
 ","Life Insurance"
"H&P","Allianz Motorcyclist Personal Accident","Covers accidental death
Covers permanent disablement
 
Bereavement allowance


","Life Insurance"
"H&P","Allianz Student Personal Accident","Covers accidental death and permanent disablement
Medical expenses
Government or private hospital cash allowance","Life Insurance"
"H&P","Personal Accident","Covers accidental death and permanent disablement
Medical and surgical treatment
 ","Life Insurance"
"H&P","Special Occupation Personal Accident","Covers accidental death
Covers permanent disablement
Medical expenses
 ","Life Insurance"
"H&P","Drive Smart Shield","Covers death or permanent disablement
Covers medical expenses benefit
Renewal bonus up to 50%
 ","Life Insurance"
"H&P","PerlindunganKu Allianz4All","An affordable insurance plan based on the Universal Values that are in line with Islamic Financial principles to meet your needs
 
Death or permanent disablement due to Accident up to RM50,000 coverage","Life Insurance"
"Savings/Investment","Allianz PayorCover","Diagnosis with any of the specified 36 critical illnesses
 
 ","Life Insurance"
"Savings/Investment","WealthCover","Maximise your savings and investment
Affordable payments from as low as RM20 
Attachment of WealthCover with no additional charge","Life Insurance"
"Savings/Investment","Allianz SecureCover / SecureCover Plus","Covers your child premium
Pays an amount equivalent to the premium amount in the event of the death, total and permanent disability or diagnosis of the 36 critical illnesses","Life Insurance"
"Savings/Investment","Prime Income","Short premium payment term of 8 years
Guaranteed Cash Payment starting from the 8th policy year
Enjoy extra payout","Life Insurance"
"Home","Smart Home Cover","Freedom to choose and customise
Consisting of five components namely HouseOwner (Building), HouseHolder (Content), Mortgage Loan Installment Protection, HomeFix and Landlord Insurance
Potential help save more on premiums","General Insurance"
"Home","HouseOwner & HouseHolder Insurance","Covers fire, lightning and domestic explosion
Covers damages caused by aircraft and impact by vehicles or animals
Covers bursting or overflowing of water tanks or pipes
 ","General Insurance"
"Home","Allianz KampungKu","Covers building and / or household contents against fire and lightning
Pays Emergency Relief Benefit 
Covers personal accident for death, permanent disablement and funeral expenses of the insured or one immediate family member","General Insurance"
"Home","Homeguard","Full Theft Coverage
Covers Accidental Death & Permanent Disablement
Domestic Medical Assistance Programme","General Insurance"
"Motor","Car & Motor Comprehensive Cover","Covers losses or damages to your car due to accident, fire and theft
Covers Third Party death and bodily injuries
Covers Third Party property losses or damages","General Insurance"
"Motor","Car & Motor Third PartyCover","Covers Third Party death and bodily injuries
Covers Third Party property losses or damages
 
 ","General Insurance"
"Motor","Car & Motor Third Party, Fire & Theft Cover","Covers losses or damages to your car due to fire or theft
Covers Third Party death and bodily injuries
Covers Third Party property losses or damages","General Insurance"
"Motor","Allianz Motorcycle Plus","Covers against liabilities to other parties for death or bodily injuries
Covers against loss or damage to other parties' property
Only applicable for motorcycles 250cc and below","General Insurance"
"Motor","e-Hailing Add On","Covers legal liability to fare paying passengers
Covers legal liability of fare paying passenger for negligent act
Covers losses or damages to your car due to fire or theft","General Insurance"
"Motor","Road Warrior","Covers personal accident for you and your passengers
Covers accidental death and permanent disablement
Allianz 24-Hour Car Assistance Program including towing service, minor roadside repair etc","General Insurance"
"Motor","Bike Warrior","Covers personal accident for you and your pillion rider
24-hour Bike Assistance Program
Compassionate Care in the event of total loss or theft of your superbike
 ","General Insurance"
"Travel","Allianz Travel Insurance","Covers you and your family when you travel domestically or overseas
Covers accidental death and permanent disablement
Medical expenses
 ","General Insurance"
"Misc.","Domestic Servant Insurance Scheme","Covers Accidental Death and Permanent Disablement
Covers medical expenses
Covers repatriation expenses
 ","General Insurance"
"Misc.","Golf Master","Covers public liability
Covers Personal Accident up to RM25,000
Covers losses and damages to golf clubs, equipment and personal belongings due to fire and theft","General Insurance"
"Misc.","Allianz Lifestyle Protect","Smart device protection
Online purchase protection
Credit card and loan indemnity

 ","General Insurance"
"Misc.","Device Protection","We'll take care of your appliances in event of breakdowns or accidents - our experts are one call away and ready to help","General Insurance"
"Scraped at",":","2024-08-02 14:14 +08",""
