"company","product_type","product_name","product_description","insurance_type"
"Liberty","Motor","auto365 Comprehensive Plus","Super value smarter choice. A more comprehensive protection with everything you need","General Insurance"
"Liberty","Motor","auto365 Comprehensive Premier","Our ultimate protectionjust got better","General Insurance"
"Liberty","H&P","Right Cover Plus PA","Give your loved ones the best protection they deserve","General Insurance"
"Liberty","H&P","AmStyle Guard","Protect that lifestyle you’ve worked hard for ","General Insurance"
"Liberty","H&P","AmPro PA Plus","Enhanced protection coverage for me and my loved ones ","General Insurance"
"Liberty","H&P","AmDrive Plus","Our Protection extends to all on board","General Insurance"
"Liberty","H&P","CASA Snatch Theft PA","Personal Accident with additional plan","General Insurance"
"Liberty","Travel","Kurnia Travel Supreme","Enjoy worry-free travel with our extensive cover","General Insurance"
"Liberty","Home","Household Guard","Securing my home.Affordable insurance forhome contents and more","General Insurance"
"Liberty","Home","Householder Plus","A specially tailored insurancecoverage for your householdgoods and personal effects","General Insurance"
"Liberty","Home","Houseowner & Householder","Better protectionfor happier homes ","General Insurance"
"Liberty","Fire","Fire Insurance","Get your property covered against fire-related financial losses","General Insurance"
"Liberty","Fire","Fire365 ","More than just fire protection at a great price","General Insurance"
"Liberty","Misc.","Flexi SME 365","Get the most flexible protection to match your business needs ","General Insurance"
"AmMetLife","Life","WealthInspire","Let time do the work for you in saving up for your life goals, all while you enjoy life protection. With 15 years of coverage for Death and Total & Permanent Disability (TPD), WealthInspire offers you Guaranteed Cash Payment of up to 12% p.a. of Initial Sum Assured as well as an increasing Guaranteed Cash Payment Booster at the end of every three years. In addition, WealthInspire comes with a hassle-free enrolment that just needs a 3-year premium payment term.","Life Insurance"
"AmMetLife","Medical","HealthCare Choice + HCC BoostUp","HealthCare Choice + HCC BoostUp is an affordable medical protection plan that offers essential coverage for not only standard hospitalisation, surgery and post-care treatment, but also advanced medical procedure such as genomics test for cancer.","Life Insurance"
"AmMetLife","Investment","ProtectSecure","Secure your future with ProtectSecure, a plan designed to bring together the best of protection and investment benefits. So even if unexpected circumstances such as death, Total and Permanent Disability (TPD) or critical illnesses happen, rest assured that you and your loved ones will still be well taken care of.","Life Insurance"
"AmMetLife","Life","ProtectSecure Prime","With ProtectSecure Prime, a traditional non-participating limited premium payment whole life plan, we protect you with 2x the coverage from policy year 11 to the end of policy year of age 61 (next birthday) to ensure that you and your family are financially secured should an unfortunate event happen.","Life Insurance"
"AmMetLife","Life","i.Am Wealth Creator","Create a lasting legacy for generations to come with i.Am Wealth Creator. Designed to preserve your wealth and values throughout life's various stages, this plan provides a minimum coverage of RM500,000 against Death and Total and Permanent Disability (TPD), along with an additional coverage of up to 300% of the Basic Sum Assured (BSA) if you pass away due to an accident. Enhanced with Wealth Maximiser, Protection Maximiser, Maturity Booster, and Accidental Death Benefit, it ensures financial security for your family and loved ones. Moreover, i.Am Wealth Creator offers flexibility in preferred payment and coverage length to suit your financial preferences, allowing you to enjoy life now while safeguarding your future","Life Insurance"
"AmMetLife","Life","i.Am Wealth Achiever","i.Am Wealth Achiever is designed to empower you to realize your life aspirations. With 20 years exceptional coverage against Death and Total and Permanent Disability (TPD), i.Am Wealth Achiever provides increasing Loyalty Rewards of up to 28% every 5 policy years until the 15th policy year, Maturity Benefit of 688% of your Basic Sum Assured, and a potential upside of Booster Fund. In addition, i.Am Wealth Achiever comes with guaranteed acceptance requiring only a 5-year premium payment term.","Life Insurance"
"AmMetLife","Property","Mortgage Reducing Term Assurance (MRTA)","MRTA comes with the following attractive benefits & features:","Life Insurance"
"AmMetLife","Investment","WealthEnrich","WealthEnrich is designed to give you a head start in crafting your personalised legacy plan. The investment-linked insurance plan provides protection against death and Total & Permanent Disability (TPD) with only a short 3-year premium payment term while rewarding you with loyalty bonuses and allowing you the flexibility of switching between funds.","Life Insurance"
"AmMetLife","Life","WealthSecure Smart","WealthSecure Smart is a non-participating limited premium payment endowment plan that helps you build your wealth while protecting you from the financial hardship of unforeseen events.","Life Insurance"
"AmMetLife","Life","WealthSecure Max","You now have the power to secure your future the hassle-free way with WealthSecure Max. This affordable non-participating plan comes with limited premium. It is an endowment plan with guaranteed cash payment designed. It is specially designed to provide protection and help you save for a brighter future.","Life Insurance"
"AmMetLife","Life","Reducing Term Assurance Plus","Reducing Term Assurance Plus, a traditional single premium non-participating reducing term assurance plan, where the reducing sum assured will be payable to offset the outstanding balances that you may have on your business loan in the event of death or TPD.","Life Insurance"
"AmMetLife","Property","Mortgage Level Term Assurance","You finally own the house of your dreams. Your next thought would be to perfect your home and provide your loved ones with the financial security they deserve. With Mortgage Level Term Assurance by AmMetLife, you can now safeguard your family with a home complete with protection and comfort to give you peace of mind.","Life Insurance"
"","Scraped at",":","2024-08-23 16:36 +08",""
