"company","product_type","product_name","product_description","insurance_type"
"Great Eastern","Savings","Max Yield","Max Yield
Receive lump sum payment.
 
Guaranteed Cash Payment (GCP)
Flexible Payment Term
Guaranteed Policy Issuance
Learn more","Life Insurance"
"Great Eastern","Savings","MaxEmpower","MaxEmpower
Customisable policy with flexibility to add riders.
 
Flexible premium payment term options upon inception from 3 to 20 years
Freedom to extend your policy term (up to 40 years or age 80 on your next birthday) upon maturity with no additional premium
Learn more","Life Insurance"
"Great Eastern","Savings","Supreme-i","Supreme-i
A universal Takaful plan with guaranteed benefits.
 
A combination of investment and protection against Death or Total and Permanent Disability (TPD) benefit
Two choices of 5-year or 7-year contribution payment terms
Guaranteed Cash Payments (GCP) and Guaranteed Maturity Benefit (GMB)
Learn more","Family Takaful"
"Great Eastern","Savings","Empower-i","Empower-i
Flexible Takaful Plan to match your life goals.
 
Be empowered to choose the payment and coverage terms of your choice
Enhance potential returns with out maturity booster
Optimal protection for you and your family with no lapse facility
Learn more","Family Takaful"
"Great Eastern","Life/Medical/CI/H&P","Cancer Protector","Cancer Protector
Be protected against cancer at all stages.
Cancer benefit for early, intermediate and advanced stages
Recovery benefit of RM20,000 in one lump sum paid upon once only per life, upon diagnosis of intermediate or advanced stage
Maturity benefit upon maturity of your policy on the survival of the life assured's age at 80 years next birthday
Learn more","Life Insurance"
"Great Eastern","Life/Medical/CI/H&P","One Plan-i","One Plan-i
Protect what matters most. Your family's future
Affordable Contribution Rates
Flexible Coverage Term
Death or Total and Permanent Disability (TPD) Benefit
Learn more","Family Takaful"
"Great Eastern","Life/Medical/CI/H&P","Family Gift-i","Family Gift-i
Protect your family and yourself throughout your life stages.
Family protection under one plan
Accident coverage of up to 4 times the Basic Sum Covered
Auto enrolment for family members (spouse and children)
Learn more","Family Takaful"
"Great Eastern","Investment","Max Step-Up","Max Step-Up
Build a legacy that safeguards your loved ones with a lifelong protection.
 
Increasing Life Protection
Limited premium payment term
Hassle-free enrolment
Learn more","Life Insurance"
"Great Eastern","Investment","Legacy-i","Legacy-i
Secure a bright future for your loved ones as you enhance your life achievements.
 
Increased Guaranteed Death Benefits
Guaranteed Maturity Benefit
Guaranteed Issuance Offer (GIO)
Learn more","Family Takaful"
"Great Eastern","Travel","Travel Mate","Travel Mate
Offers coverage with reimbursement for inconveniences, disruptions and medical expenses incurred while travelling
Enjoy customised holiday coverage
Learn more","General Insurance"
"","Scraped at",":","2024-08-23 16:41 +08",""
