"company","product_type","product_name","product_description","insurance_type"
"Generali","Life","AFFIN Secure Prime+","Get the combination of protection and savings now for your future with AFFIN Secure Prime+ and greater savings with Secure Income+ Rider.","Life Insurance"
"Generali","Life","eLife Protector+","Buy online in just 5 minutes
All causes of death & total permanent disability
2X due to accidental death
Up to RM500,000
Up to 75 years old","Life Insurance"
"Generali","Life","Secure Enhanced Plus","Two-in-one plan with wealth accumulation and life protection.
Coverage on accidental death/total permanent disability of up to 500% of the Basic Sum Insured.","Life Insurance"
"Generali","Life","AFFIN Flex Protector+","Provide the best of both wealth accumulation and protection at the same time.
Flexibility to tailor your own protection plan according to your budget and your changing needs.","Life Insurance"
"Generali","Life","AFFIN Maximiser","A single premium investment-linked insurance plan that focuses on legacy creation, estate equalisation and succession planning.","Life Insurance"
"Generali","Life","AFFIN EZ Protect","You will enjoy comprehensive protection coverage with guaranteed acceptance.
Death or Total Permanent Disability (TPD) of up to 400% of the Basic Sum Insured.
Income replacement up to RM100/day.","Life Insurance"
"Syarikat Takaful","Life","AFFIN Takaful myFlexi","A Takaful plan that is made for you comes with complete protection against death, total and permanent disability (TPD), 48 covered Critical Illnesses (CI), medical bills, and personal accidents with savings elements, all in one payment term.","Family Takaful"
"Syarikat Takaful","Life","AFFIN Takaful myWealth Invest","Single contribution Takaful plan for both investment and protection!​","Family Takaful"
"Generali","H&P/CI/Medical","iMed","Buy online in just 5 minutes
Annual limit up to RM180,000
Chiropractic & acupuncture treatment
Daily hospital allowance
Compassionate allowance","Insurance"
"Generali","H&P/CI/Medical","eMedic Plus","Buy online in just 5 minutes
Annual limit up to RM150,000
Auto-increase of annual limit
No claim rewards
Family plan available","Insurance"
"Generali","H&P/CI/Medical","eCritical Early Care","Buy online in just 5 minutes
50 critical illness conditions
Early stage & advanced stage
Up to RM250,000
Up to 80 years old","Insurance"
"Generali","H&P/CI/Medical","SmartCare Optimum Plus","Annual limit is reset every year.
Medical coverage up to RM2.1 million annual limit.
Outpatient kidney dialysis & cancer treatment.
 ","Insurance"
"Generali","H&P/CI/Medical","SmartCancer Cash","Receive a lump sum cash payout upon diagnosis of cancer, and 30% upfront payment from diagnosis of early stage cancer.","Insurance"
"Generali","H&P","SmartPA Enhanced","Provide comprehensive 24 hours worldwide protection to the Insured for bodily injury caused by accidental. 

Get increasing coverage with Renewal Bonus feature and No Claims Discount benefit plus many other benefits for a comprehensive protection.
 ","General Insurance"
"Generali","H&P","Group Personal Accident (GPA)","Provide 24-hours-a-day and worldwide coverage for unforeseen accident.","General Insurance"
"Generali","H&P","SmartStudent Care","Provides 24 hours worldwide protection to the Insured for Injury caused directly by an Accident.","General Insurance"
"Syarikat Takaful","H&P","Takaful myPA Care","From as little as RM0.20 a day, you will get comprehensive protection against personal accident.","General Takaful"
"Syarikat Takaful","H&P","AFFIN Takaful myWealth Secure","Future planning with a versatile protection plan.

You do not have to worry about your medical conditions as this plan does not require any medical check-ups.","General Takaful"
"Generali","Home","Home Protector Enhanced","Comprehensive coverage for your house and contents.
24/7 protection for your personal belongings, anywhere in the world. ","General Insurance"
"Syarikat Takaful","Home","Takaful myFire","Cover against loss or damage to the property caused by fire, lightning and domestic explosion.","General Takaful"
"Syarikat Takaful","Home","Takaful myHouseowners & Householders","The Houseowners plan covers your house structure whereas the Householders plan covers your house contents.","General Takaful"
"Syarikat Takaful","Home","Takaful myHome Content","Cover your home contents for the loss or damage caused by fire, lightning, explosions, theft, hurricane, earthquake, flood and bursting of water tanks/pipes or by any perils.","General Takaful"
"Generali","Motor","Private Car","To cover your vehicle against your liabilities to third parties for injury or death, damage to third parties property, and accidental or fire damage to your vehicle or theft of your vehicle.","General Insurance"
"Generali","Motor","Guaranteed Auto Protection (GAP) Insurance","Pay the difference between your motor insurance payout and the vehicle’s original invoice price, if it’s stolen or totaled.","General Insurance"
"Syarikat Takaful","Motor","Takaful myMotor","Comprehensive cover for your vehicle against loss or damage as well as third party legal liabilities.","General Takaful"
"Generali","Travel","SmartTraveller Enhanced (Annual Plan)","Most convenient and cost effective way to enjoy comprehensive coverage and 24-hour emergency assistance for all your travels all year long.
Available in Standard, Senior or Family Plan.
 ","General Insurance"
"Generali","Travel","SmartTraveller Enhanced (Single Trip Plan)","Immediate activation, comprehensive coverage and 24-hour emergency assistance wherever you are in the world
Available in Standard, Senior or Family Plan","General Insurance"
"Generali","Travel","Jom Lokal Travel","For overland domestic travel in Malaysia.
Mainly provide coverage for Personal Accidents and Permanent Disablement, Medical Expenses due to Accidents, Repatriations of Mortal Remains, credit card/e-wallet protection and journey disruptions due to vehicle breakdown.
 ","General Insurance"
"","Scraped at",":","2024-09-01 00:03 +08",""
