"product_type","product_name","product_description","insurance_type"
"Savings/Investment","AmCapital","Building nest egg for a brighter future.","Life Insurance"
"Life (credit-related)","AmMetLife AutoLife","Ensure your car always remains yours in the event of Death or Total and Permanent Disability.","Life Insurance"
"TBD","AutoSecure-i","Helps to settles outstanding hire purchase financing in the unfortunate event

Coverage up to age 65

Protects you wherever you go

Ensures your car will remain yours
","Family Takaful"
"Life","Cahaya-i Care","Guaranteed Acceptance with No Medical Underwriting.

Additional Coverage due to Accidental Death.

Additional RM3,000 to ease the funeral expenses.

Waqaf/Charitable Service as your lasting rewards.
","Family Takaful"
"Critical Illness","CriticalEase","Total protection for critical times.","Life Insurance"
"Savings/Investment","EduCare-i Link","A dynamic investment-linked child education plan

Offers support with the enormous education cost

Helps to achieve your child’s dream

Gives you peace of mind
","Family Takaful"
"TBD","FinanceSecure-i","A single contribution reducing term takaful plan

Helps to settle the outstanding personal financing debt in the event of eventualities

Gives you peace of mind

One-off payment for maximum coverage
","Family Takaful"
"TBD","Flexi TermLife","Flexible protection for your lifestyle.","Life Insurance"
"Life, Savings/Investment, H&P/Medical","FlexiCare-i Plus","A regular contribution investment-linked plan

Provide protection and potential investment returns

Choice of investment funds

Protection and investment covers from RM5/daily
","Family Takaful"
"Life, Savings/Investment, H&P/Medical","FlexiSecure-i Link","A regular contribution investment-linked plan

Choice of investment funds

Certificate term up to age 99

Protection and investment covers from RM5/daily
","Family Takaful"
"Savings/Investment","GoldenCare-i Style","A single contribution investment-linked plan

Satisfy your risk appetite

Investment-linked funds to match your needs

Access your money at any time
 
","Family Takaful"
"Savings/Investment","GoldenSecure-i Style","A single contribution investment-linked plan 

Maximise your investment potentials

Satisfy your risk appetite 

Access your money at any time
","Family Takaful"
"TBD","Group Secure-i","A group takaful plan for employees against unfortunate events

24/7 protection coverage

Increases productivity with best package

Show them you care
","Family Takaful"
"H&P","HCC BoostUp + HealthCare Choice (Stand-Alone Medical Plan)","Comprehensive medical protection plan.","Life Insurance"
"H&P","Health Smart Rider","A holistic health solution that rewards you for staying healthy no matter where you are in life to extend your healthspan.","Life Insurance"
"H&P","HealthCare Choice + HCC BoostUp","Let HealthCare Choice + HCC BoostUp help you live assured against unforeseen medical expenses","Life Insurance"
