"product_type","product_name","product_description","insurance_type"
"Motor","Motor Takaful","Get covered (with Shariah-compliant plan) for loss, theft or damage to your car, and more, with optional add-ons for total peace of mind.

Enjoy up to 30% cash rebates with the Drive Less Save More add-on

10% rebate on top of your NCD when you renew online

Get reimbursed with a value you agree with

All authorised drivers automatically covered

24/7 emergency hotline

Cash back when you make no claims
","General Takaful"
"Motor","Motor Insurance","Get covered for loss, theft or damage to your car, and more, with optional add-ons for total peace of mind.

Enjoy up to 30% cash rebates with the Drive Less Save More add-on

10% rebate on top of your NCD when you renew online

Get reimbursed with a value you agree with

All authorised drivers automatically covered

24/7 emergency hotline

#1 Motor Insurance as awarded by iBanding
","General Insurance"
"Motor","Motorcycle Takaful","New Get comprehensive Shariah compliant coverage for loss, theft or damage to your motorcycle, and more.

10% rebate on top of your NCD when you renew online

Coverage for accidents, fire & theft

3rd party coverage
","General Takaful"
"Motor","Motorcycle Insurance","New Get comprehensive coverage for loss, theft or damage to your motorcycle, and more.

10% rebate on top of your NCD when you renew online

Coverage for accidents, fire & theft

3rd party coverage
","General Insurance"
"Motor","Tesla Ensure Insurance & Takaful","Exclusive plan for Tesla Owners 
10% discount for Tesla Ensure Insurance/ Takaful for Tesla cars registered by 30th June 2024
COMPLIMENTARY BENEFITS

1st in Malaysia Complimentary EV Home Charger Coverage with sum insured/covered of up to RM12,000

Complimentary extended benefits for Tesla cars with Tesla Ensure

Up to 30% cash rebates with Drive Less Save More add-on

Free 24/7 Emergency Towing of up to 200km

Agreed Value up to 15 years

Nil Excess

ADD-ON BENEFITS WITH EXTRA PREMIUM/CONTRIBUTION

1st in Malaysia Portable Charging Cable Coverage of up to RM2,000

Key Care Cover Reimbursement of up to RM3,000

24/7 Unlimited Towing Mileage with RM15 top up
","General Takaful"
"Motor","FREE EV Home Charger Coverage Campaign","FREE EV Home Charger Coverage exclusively for newly registered Electric Vehicles (EV).


Enjoy reimbursements of up to RM12,000 to replace or repair your new EV home charger in the event of loss or damage due to unfortunate events

Sign up for your FREE EV Home Charger Coverage by 31 December 2024

Sign up for EV Home Charger Coverage via Etiqa or Maybank branches, our General Insurance agents or Etiqa Oneline at 1300 139139
","General Insurance"
"Motor","FREE EV Home Charger Takaful Coverage Campaign","FREE EV Home Charger Takaful Coverage exclusively for newly registered Electric Vehicles (EV).

Enjoy reimbursements of up to RM12,000 to replace or repair your new EV home charger in the event of loss or damage due to unfortunate events

Sign up for your FREE EV Home Charger Takaful Coverage by 31 December 2024

Sign up for EV Home Charger Takaful Coverage via Etiqa or Maybank branches, our General Takaful agents or Etiqa Oneline at 1300 139139
","General Takaful"
"Motor","EV Home Charger Coverage","Get coverage for your EV home charger when you sign up for a comprehensive Etiqa Motor Insurance plan.


Applicable for EV older than 1 year

Enjoy reimbursements of up to RM12,000 to replace or repair your EV home charger in the event of loss or damage.

Sign up for EV Home Charger Coverage via Etiqa or Maybank branches, our General Insurance agents or Etiqa Oneline at 1300 139139
","General Insurance"
"Motor","EV Home Charger Takaful Coverage","Get coverage for your EV home charger when you sign up for a comprehensive Etiqa Motor Takaful plan.

Applicable for EV older than 1 year

Enjoy reimbursements of up to RM12,000 to replace or repair your EV home charger in the event of loss or damage

Sign up for EV Home Charger Takaful Coverage via Etiqa or Maybank branches, our General Takaful agents or Etiqa Oneline at 1300 139139
","General Takaful"
"Travel","TripCare 360 Insurance","Get coverage for travel delays, loss of baggage, medical emergencies and other travel inconveniences.

25% rebate when you apply online

Cashless medical care

Coverage for loss of valuables and travel delays

Add-on options for adventurous activities

New COVID-19 coverage for your overseas travels
","General Insurance"
"Travel","TripCare 360 Takaful","Get coverage (with Shariah-compliant plan) for travel delays, loss of baggage, medical emergencies and other travel inconveniences.

25% rebate when you apply online

Cashless medical care

Coverage for loss of valuables and travel delays

Add-on options for adventurous activities

Cash back when you make no claims for the annual plan

New COVID-19 coverage for your overseas travels
","General Takaful"
"Travel","Travel Ezy Insurance","Get compensated for domestic flight delays

Get paid RM60 when your flight is delayed by 30 minutes or more
","General Insurance"
"Travel","i-Travel Ezy Takaful","Get compensated (with Shariah-compliant plan) for domestic flight delays.

Get paid RM60 when your flight is delayed by 30 minutes or more
","General Takaful"
"Home","Houseowner and Householder Insurance","Insure the building of your home and its contents, so that you don’t have to pay for damage and losses.

15% rebate when you buy online

Coverage against damages caused by fire, lightning, and domestic explosions

Coverage against damage caused by floods and landslides

Coverage for landlords
","General Insurance"
