"company","product_type","product_name","product_description","insurance_type"
"RHB Insurance","H&P","MyKeluarga Personal Accident Insurance","Accidental Death or Permanent Disablement coverage up t0 RM500,000
Hospital Cash Income up to RM300 per day
Offers Loan Protector and Household Bills Protection
Only available via telemarketing
Know more
I am interested","General Insurance"
"RHB Insurance","H&P","Rahmah Personal Accident Insurance","Up to RM 200,00 Accidental Death or Permanent Disablement coverage
Hospital Cash Income at Government Hospital up to 30 days
Bereavement allowance up to RM1,000
Know more
Buy Now","General Insurance"
"RHB Insurance","H&P","Prestige Personal Accident Insurance","High dead and total permanent disability coverage up to RM1million
24 hours worldwide coverage
Covers loss of cash or personal effects caused by snatch theft or carjacking
Only available at RHB Bank branches
Know more
I am interested","General Insurance"
"RHB Insurance","H&P","Max Personal Accident Insurance","Additional coverage without additional premium
Special discounted premium for one household policy
Cashless hospital admission and discharge benefits up to RM3,000
Know more
I am interested","General Insurance"
"RHB Insurance","H&P","Perlindungang Tenang Personal Accident Insurance","Get covered for as low as RM0.07 per day
Benefit coverage includes Accidental Death / Permanenet Disablement, Hospital Cash Income and Bereavement Allowance.
Know more
I am interested","General Insurance"
"RHB Insurance","H&P","Maid Protector","Accidental death or permanent disablement
Reimbursement of medical expenses
Reimbursement of Hospital and surgical expenses
Know more
I am interested","General Insurance"
"RHB Insurance","H&P","My Credit Shield Insurance","Protects RHB Bank Berhad or RHB Islamic Bank Berhad Credit Cardholder and their family members from financial distress in the event of in the event of unforeseen circumstances.
Covers accidental death, temporary total disablement, permanent total disablement and involuntary unemployment.
Know more
I am interested","General Insurance"
"RHB Insurance","H&P","Enhanced Cash Back Personal Accident Insurance","Payout for accidental death or permanent disablement
Reimbursement of medical expenses
Receive daily hospital cash income due to accident
Only available via telemarketing
Know more
I am interested","General Insurance"
"RHB Insurance","Medical","Cancer Care Insurance","Up to RM300k claimable sums
Receive 100% claimable sums for major cancer
A cash payout of 30% of the insured amount for early stage cancer
Know more
I am interested","General Insurance"
"RHB Insurance","Medical","MediSure Supreme Insurance","You can choose a plan with an annual limit of up to RM2 million
Cashless admission provided with a MediSure Supreme medical card
Guaranteed renewable up to 100 years old
Know more
I am interested","General Insurance"
"RHB Insurance","Medical","Critical Guard Insurance","10% loyalty benefit increase of the Principal Sum Insured per year up to a maximum of 50% when no claim is made
RM300,000 lump sum payout
Coverage from newborn and beyond
Know more
I am interested","General Insurance"
"RHB Insurance","Medical","MediSure Insurance","Guaranteed annual renewal of up to RM450,000
Cashless admission provided with a MediSure medical card
Flexible savings on annual premium
Know more
I am interested","General Insurance"
"RHB Insurance","Medical","RHB Critical Shield Insurance","Covered 36 Critical Illnesses
Up to 50% loyalty benefit if no claims is made
Additional 10% payout for additional 6 gender critical illnesses
Know more
I am interested","General Insurance"
"RHB Insurance","Property","Home SmartPLUS Insurance","A plan that ensures your home is adequately insured
Enjoy the flexibility to protect your home with better savings
A comprehensive range of coverage to choose from for your personal home or rental property
Know more
I am interested","General Insurance"
"RHB Insurance","Property","Home Content Insurance","24-hours worldwide personal accident protection
Protect your valuable jewellery to the food in your fridge
Insure your cash keep at home against theft
Know more
I am interested","General Insurance"
"RHB Insurance","Property","Houseowner Plus Insurance","Exclusively for RHB Home Financing customers only
Cover your home against a wide range of perils
Enjoy the flexibility by topping up to extend the coverage according to your needs
Know more
I am interested","General Insurance"
"RHB Insurance","Motor","Private Car Insurance","RM3 million liability limit against third-party liabilities
No-Claim Discount (NCD)
Free towing up to RM300 per breakdown
Save up to 40% on car insurance premium with RHB Motor Saver Insurance, find out how

Know more
Buy Now","General Insurance"
"RHB Insurance","Motor","Motorcycle Insurance","No-Claim Discount (NCD)
Up to RM50 reimbursement for towing charges
Cover against third-party liabilities
Know more
I am interested","General Insurance"
"RHB Insurance","Motor","Motorcyclist Personal Accident Insurance","Covers up to RM6,000 accidental death
Covers up to RM6,000 permanent disablement while riding
Bereavement expenses up to RM500
Know more
I am interested","General Insurance"
"RHB Insurance","Motor","Motorist Personal Accident Insurance","Additional payout with supplementary policy or add-on to your motor policy
Enhanced sum insured up to RM240,000
Low premium rates from RM4.16 per month.
Reimbursement of medical expenses up to RM2,000
Know more
I am interested","General Insurance"
"RHB Insurance","Motor","Road Rescue Elite","Free unlimited towing for breakdown & accident
Personal accident coverage up to RM100,000 for accidental death and permanent disablement
Offers Cash Transportation Allowance
Know more
I am interested","General Insurance"
"RHB Insurance","Motor","Premier Protect Add-on Cover","Provides additional financial assistance beyond just covering the costs of theft or vehicle repairs, ensuring that you can quickly get back on the road.
Know more
I am interested","General Insurance"
"RHB Insurance","Motor","Residential Electric Vehicle Charger Protection","Provides coverage to the loss or damage to the manufacturer's standard of your residential electric vehicle charger unit (including charging cable permanently attached to the charger) due to unforseen disasters such as natural disaster, air craft and aerial devices and other unexpected occurences.
Know more
I am interested","General Insurance"
"RHB Insurance","Motor","Special Perils Add-on Covers","Protect your vehicle against unforeseen disasters such as flash floods, storms, landslides, earthquakes, sinking of soil and other unexpected occurrences.

Know more
I am interested","General Insurance"
"RHB Insurance","Motor","Betterment Contribution Waiver","Waives the betterment charges and covers the repair cost of an accident if your car is below the age of 13 years old.

Know more
I am interested","General Insurance"
"RHB Insurance","Motor","Full Body Spray Painting","Provides an add-on coverage for your Comprehensive Motor Private Car Policy which include a full body spray painting for your entire vehicle.

Know more
I am interested","General Insurance"
"RHB Insurance","Motor","Unlimited Breakdown Towing","Provide an unlimited breakdown towing or an on-site repair to your vehicle within Malaysia.

Know more
I am interested","General Insurance"
"RHB Insurance","Travel","Annual Travel Protector Insurance","High medical coverage when overseas, up to RM600,000 (including COVID-19 coverage)
Emergency evacuation and repatriation, up to RM3,000,000
Covers travel inconveniences such as cancellations, curtailments or delays
Know more
I am interested","General Insurance"
"RHB Insurance","Travel","Travel Protector Plus Insurance","Full coverage wherever you are in the world 
Medical expenses, up to RM500,000 (including overseas COVID-19) coverage
Medical evacuation and repatriation
Credit card indemnity
Know more
Buy Now","General Insurance"
"RHB Insurance","Misc.","ATM Shield Insurance","Affordable premium
Compensation for losing of cash withdrawn from ATMs
Protection of loss of or damage to personal belongings
Know more
I am interested","General Insurance"
"RHB Insurance","Misc.","My Safe Deposit Box Plus Insurance","Protection against burglary and/or robbery
Coverage against unfortunate events
Multiple plans of coverage
Know more
I am interested","General Insurance"
"RHB Insurance","Property","Apartments & Condominium Insurance","Combines different classes of insurance to cover loss or damage to property, liability and personal accident matters for Joint Management Body (JMB) and Joint Management Corporation (JMC).","General Insurance"
"RHB Insurance","Property","Fire Insurance","Covers building and contents from loss or damage caused by fire and lightning. The coverage could also be extended to include special perils.","General Insurance"
"RHB Insurance","Property","Fire Consequential Loss Insurance","Covers loss of profit upon business interruption due to fire or other extended perils covered under the Standard Fire policy.","General Insurance"
"RHB Insurance","Property","Business Machine & Equipment Insurance","Provides compensation if your machinery, equipment, furniture, fixtures and fittings kept and/or used within your premises suffer loss or damage caused by fire, theft or any other accidental means.","General Insurance"
"RHB Insurance","Property","Fire Biz Supreme Insurance","An all-in-one insurance package solution tailored for SMEs and Large Commercial risk with sum insured of up to RM100 million.","General Insurance"
"RHB Insurance","Medical","Medical Protection","Comprehensive group medical insurance that covers all employees hospitalisation due to illness or accidents.","General Insurance"
"RHB Insurance","Motor","Motorist Commercial Vehicle PA Insurance","For authorised drivers, co-drivers, attendants and passengers of commercial vehicles aged between 18 and 60 years who seek protection against loss of life or bodily injuries.","General Insurance"
"RHB Insurance","Motor","Commercial Vehicle Insurance","For owners of goods-carrying vehicles, hired cars, buses and special types of transport who wish to be protected against loss or damage to their vehicles and against liabilities to other parties for injury, death or property damage.","General Insurance"
"RHB Insurance","Motor","Motor Trade Insurance","For owners of motor trade plates who wish to be covered against loss or damage to their vehicles and against liabilities to other parties for injury, death or property damage.","General Insurance"
"RHB Insurance","Workmen","Employer's Liability Insurance","Indemnifies employers against the liability of law to compensate your employees by paying for cost and expenses in respect of accidental bodily injury or disease arising out of or in the course of employment. The standard Common Law limit is RM1,000,000 for any one accident and in the aggregate.","General Insurance"
"RHB Insurance","Workmen","Workmen's Compensation Insurance","Provides indemnity against all sums for which you shall be liable to pay compensation to any employee for personal injury sustained by accidents or occupational diseases arising out of and in the course of his employment under:

The Workmen’s Compensation Act 1952 and the subsequent amendments to the Act or
The Common Law. The standard Common Law limit is RM1,000,000 for any one accident and in the aggregate.","General Insurance"
"RHB Insurance","Liability","Liability Insurance","Provides indemnity up to the limit of liability, against all sums which you may become legally liable to pay a third party due to accidents arising from the course of business occurring within territorial limits.","General Insurance"
