"product_type","product_name","product_description","insurance_type"
"Life","A-LifeLink 2","Offers protection and investment coverage from RM150 per month.
Enjoy the flexibility of adjusting your protection and savings level.","Life Insurance"
"Medical","A-Plus Health 2","Comprehensive health protection coverage.
Coverage for recovery treatments and medical related equipment.","Life Insurance"
"Life","A-Life Idaman","A comprehensive takaful solution all in one product.
Attach our variety of riders to enhance your coverage.","Family Takaful"
"Medical","A-Plus Health Flex-i","A-Plus Health Flex-i is designed to provide comprehensive medical coverage that safeguards you against escalating medical costs.
No lifetime limit and rewards you for making healthy choices.","Family Takaful"
"Medical","A-Life MediFlex","Flexible medical protection to start your health journey.","Life Insurance"
"Medical","A-Life Mediflex-i","Flexible medical protection to start your health journey.","Family Takaful"
"Life","A-Life Joy Xtra","Offers coverage and savings opportunities for your child from RM150 per month.
Flexible to be adjusted to your preferred protection and savings level.","Life Insurance"
"Life","A-Life Kasih Famili","A family takaful plan that caters to all the protection needs of your family.","Family Takaful"
"Critical Illness","A-Life Essential Critical Care","Offers a simple and affordable plan that protects you against advanced stage critical illnesses.
Join AIA Vitality to enjoy Health Screening Benefit and Yearly Cash Bonus as a reward for your healthy choices.","Life Insurance"
"Critical Illness","A-Life Kritikal Protector","Provides a lump sum payment if you are diagnosed with a critical illness, so you can focus on your recovery.
Get additional coverage through Vitality Booster as an AIA Vitality member.","Family Takaful"
"Critical Illness","A-Life Beyond Critical Care","Comprehensive critical illness coverage until the age of 80.
Covers from early detection to prevention, and from treatment to recovery.","Life Insurance"
"Life","A-Life Lady","Comprehensive protection plan for women.
Provides life insurance benefits specially designed for women.","Life Insurance"
"Life","A-Life Lady-i","A comprehensive takaful protection plan tailored for women's health needs.","Family Takaful"
"Critical Illness","A-Life Cancer360","A-Life Cancer360 provides coverage for early to advanced stages of cancer.","Life Insurance"
"Critical Illness","A-Life Cancer360-i","Provides coverage for early to advanced stages of cancer.
Make healthy choices with AIA Vitality and enjoy Yearly Cash Bonuses.","Family Takaful"
"Critical Illness","AIA Critical Illness Cover","Covers you for 39 critical illnesses at an affordable price.","Life Insurance"
"Critical Illness","AIA i-Critical Illness Cover","An affordable takaful Critical Illness plan that covers you for 39 critical illnesses.
Coverage from as low as RM0.08 per day.","Family Takaful"
"Medical","AIA Med Basic","An affordable medical plan that covers the cost of your medical treatment and hospitalisation.","Life Insurance"
"Medical","AIA i-Med Basic","An affordable takaful medical plan that covers the cost of your medical treatment and hospitalisation.","Family Takaful"
"Life","AIA One Plan","An affordable life insurance that covers death as well as total and permanent disability (TPD).","Life Insurance"
"Life","AIA i-One Plan","An affordable takaful life plan that covers death as well as total and permanent disability (TPD).","Family Takaful"
"Life","AIA Starter Plan","An affordable insurance plan with death coverage, from RM0.09/day (*Depending on your gender, smoker status and health condition.)
Suitable if you are new to life insurance or looking for a basic insurance coverage.
This plan is only open to Malaysian citizens residing in Malaysia.","Life Insurance"
"Life","AIA i-Starter Plan","Most affordable takaful plan.
An affordable takaful plan with death coverage, from RM0.11/day* (*Depending on your gender, smoker status and health condition.).
Suitable if you are new to takaful plans or looking for basic coverage.","Family Takaful"
"Critical Illness","CI Insure","Covers 5 critical illnesses in advanced stage.
Provides monthly cash allowance for home nursing care, hospice care, palliative care and home cleaning services upon diagnosis.","Life Insurance"
"Medical","Med Insure","Covers medical treatment and hospitalisation costs as an in-patient. No medical examinations required.
A selection of flexible deductible amounts to meet your personal needs and budget.","Life Insurance"
"Critical Illness","A-Plus Beyond Critical Shield & A-Plus Beyond Early Critical Shield","Covers up to 180 critical illness conditions.","Life Insurance"
"Critical Illness","A-Plus Beyond Critical Shield-i & A-Plus Beyond Early Critical Shield-i","Covers up to 180 conditions from early to advanced stages of critical illnesses.","Family Takaful"
"Critical Illness","A-Plus CriticalCare","Provides financial support during your recovery from a critical illness.","Life Insurance"
"Critical Illness","A-Plus CriticalCare-i","Provides a lump sum payment in the event the Person Covered is diagnosed to be suffering from any one of the specified critical illnesses.","Family Takaful"
"Medical","A-Plus Recover","Pays out coverage amount in the event of prolonged hospitalisations.","Life Insurance"
"Critical Illness","A-Plus Multi CriticalCare","Covers up to 3 critical illnesses.","Life Insurance"
"Medical","A-Plus Recover-i","A plan that provides coverage for severe illnesses that results in prolonged hospitalization.","Family Takaful"
"Life","A-Plus ParentCare Xtra","Covers death and total and permanent disability on parent.","Life Insurance"
"Life","A-Plus ParentCare Xtra-i","Provides coverage for death and total and permanent disability of the parent.","Family Takaful"
"Medical","A-Plus BabyCare Xtra","Covers pregnancy and child care benefits.","Life Insurance"
"Medical","A-Plus BabyCare Xtra-i","Offers enhanced coverage during your initial months of pregnancy.
Provides best-in-class protection for your child during those crucial years of infancy.","Family Takaful"
"Critical Illness","A-Plus Critical Shield-i","Provides a lump sump payment if you are diagnosed with a critical illness.","Family Takaful"
"Medical","A-Plus MedCare","Provides you with a Personal Medical Case Management (PMCM) benefit.","Life Insurance"
"Critical Illness","A-Plus Beyond Advance Care","Provides coverage for 75 advance stage critical illness.","Life Insurance"
