"company","product_type","product_name","product_description","insurance_type"
"Syarikat Takaful","Liability","Automobile Financing Takaful Plan","Automobile Financing Takaful Plan


Financial protection for your vehicle in the event of death or disability



LEARN MORE","Family Takaful"
"Syarikat Takaful","Liability","Group Credit Family Takaful","Group Credit Family Takaful


Monetary protection for your personal financing in the event of death or disability



LEARN MORE","Family Takaful"
"Syarikat Takaful","H&P","Takaful myPA Care","Takaful myPA Care


We got you covered with a minimum annual contribution



LEARN MORE","Family Takaful"
"Syarikat Takaful","Life, Savings","Takaful mySmart Wealth Plus","Takaful mySmart Wealth Plus




LEARN MORE","Family Takaful"
"Syarikat Takaful","Fire","Takaful myFire","Takaful myFire


Protect your property loss against fire



LEARN MORE","Family Takaful"
"Syarikat Takaful","Home","Takaful myHome Content","Takaful myHome Content


Your furniture, your household, we cover them all



LEARN MORE","Family Takaful"
"Syarikat Takaful","Home","Takaful myHouseowners & Householders","Takaful myHouseowners & Householders


Coverage for your home structure and its contents



LEARN MORE","Family Takaful"
"Syarikat Takaful","Home","Mortgage Term Takaful","Mortgage Term Takaful


Rest assured knowing that we’ll pay off your outstanding finance



LEARN MORE","Family Takaful"
"Syarikat Takaful","Motor","Takaful myMotor","Takaful myMotor


Coverage in your every drive



LEARN MORE","Family Takaful"
"Syarikat Takaful","H&P","Takaful myClick PA","Takaful myClick PA




LEARN MORE","Family Takaful"
"Syarikat Takaful","H&P","Takaful myElite PA (Telemarketing)","Takaful myElite PA (Telemarketing)


Coverage anywhere. Worldwide



LEARN MORE","General Takaful"
"Syarikat Takaful","Investment","Takaful myWealth Plus","Takaful myWealth Plus




LEARN MORE","Family Takaful"
"Syarikat Takaful","H&P","Takaful myPlus PA (Telemarketing)","Takaful myPlus PA (Telemarketing)




LEARN MORE","General Takaful"
"Syarikat Takaful","Life","Takaful GPA Bank Islam","Takaful GPA Bank Islam




LEARN MORE","General Takaful"
"Syarikat Takaful","Travel","Takaful myClick Travel PA","Takaful myClick Travel PA




LEARN MORE","Family Takaful"
"","Scraped at",":","2024-09-15 01:08 +08",""
