"company","product_type","product_name","product_description","insurance_type"
"Sun Life","Life","Sun SaveAssured","(This is an insurance product)

 

A unique, non-participating endowment plan that helps you achieve your saving goals with guaranteed returns and guaranteed protection.","Life Insurance"
"Sun Life","Life","Takaful Suria Plus","(This is a takaful product)

 

Make your Hajj aspirations a reality with Takaful Suria Plus. A comprehensive plan from as low as RM150 a month, complete with a variety of protection and savings benefits. All to help you and your loved ones prepare for the holy pilgrimage.","Family Takaful"
"Sun Life","Life","Takaful Mulia","(This is a takaful product)

 

A regular contribution surplus sharing universal takaful plan that helps you achieve financial security for yourself and your loved ones. More importantly, it is designed to achieve complete religious peace of mind throughout your life as well as afterlife.","Family Takaful"
"Sun Life","Life","SunLink Max","(This is an insurance product)

 

SunLink Max is an investment-linked insurance plan that provides comprehensive coverage that lasts a lifetime.","Life Insurance"
"Sun Life","Life","SunLink Istismar Plus","(This is a takaful product)

 

SunLink Istismar Plus is a regular contribution investment-linked takaful plan that provides comprehensive coverage.","Family Takaful"
"Sun Life","Life","SunInvest","(This is an insurance product)

 

Enjoy comprehensive protection while growing your wealth. SunInvest is a single-premium investment-linked plan that offers the best of both insurance protection and investment, up to the age of 99.","Life Insurance"
"Sun Life","Life","SunInvest-i","(This is a takaful product)

 

A single contribution plan that offers two in one plan – investment and takaful coverage","Family Takaful"
"Sun Life","Life","Sun Income Secure Max","
(This is an insurance product)

 

Plan to retire in style with a guaranteed yearly income, insurance coverage and potential investment returns, in addition to the savings you have for your golden years.","Life Insurance"
"Sun Life","Life","Sun EduSmart","(This is an insurance product)

 

As a parent, one of the best things you can give your child is a good education. That’s why it’s vital to plan ahead with the right education savings plan like Sun EduSmart, a unique non-participating endowment plan.","Life Insurance"
"Sun Life","Life","Sun Ultimate Coverage-i","(This is a takaful product)

 

Sun Ultimate Coverage-i is a surplus sharing single/regular contribution term plan that suits for Small and Medium Enterprise (SME)/Commercial clients and high net worth (preferred client) segments who are looking for takaful coverage as income protection, estate liquidity, business continuation, financing protection and estate distribution.","Family Takaful"
"Sun Life","Life","Sun Inspirasi","(This is a takaful product)

 

Sun Inspirasi is a surplus sharing universal takaful plan that provides coverages like hibah (gift of love) with high takaful coverage amount on death and total and permanent disability (TPD), up to 3 times additional payout on accidental death, up to RM2 million non-medical limit, cash payout benefit, flexible contribution payment term and contract term and maturity benefit.","Family Takaful"
"Sun Life","Life","Sun Cover-i","(This is a takaful product)

 

A monthly renewable group family takaful term plan with surplus sharing that provides lump sum death and total and permanent disability (TPD) benefit due to all causes. It will be offered on pay as you go (PAYG) basis.

 

Note: Click on “APPLY NOW” will redirect you to Sun Life Malaysia Takaful Berhad website and CIMB Group’s Privacy Policy will cease to apply.","Family Takaful"
"Sun Life","Life","Sun MaxiMed-i","(This is a takaful product)

 

A surplus sharing individual hospitalization and surgical takaful plan which provides for expenses on hospitalization, surgical, non-surgical and other related cost incurred due to injury or illnesses. This product offers 6 plans with different level of deductible to supplement the person covered existing medical insurance/takaful plan, including the medical insurance/takaful coverage provided by employer.","Family Takaful"
"Sun Life","Life","Sun Wealth Plus","(This is an insurance product)

 

Protection that stacks up with guaranteed cash returns every year.","Life Insurance"
"Sun Life","Life","Sun Signature Life Plus","(This is an insurance product)

 

Protect your loved ones with Sun Signature Life Plus. A non-participating universal life plan that takes care of your commitments should anything happen to you. ","Life Insurance"
"Sun Life","Life","Sun Enrich-i","(This is a takaful product)

 

Savings and Protection that grow together
","Family Takaful"
"Sun Life","Life","Sun Save Invest","(This is an insurance product)

 

Limited pay investment-linked plan with 20 years coverage.","Life Insurance"
