"product_type","product_name","product_description","insurance_type"
"Life","GREAT Early VantageCare 2","The early advantage in critical care

Key Benefits

Broad critical illness coverage
Death or TPD Benefit","Life Insurance"
"Life","GREAT Generation Care","The first-ever 3-generation critical illness plan

Key Benefits

Comprehensive coverage against critical illnesses
Child Protect Benefit for your children
Optional Parent Protect Rider to safeguard your parents’ golden years","Life Insurance"
"Life","GREAT MaxiProtector","Enjoy long-term protection that's easy on premium

Key Benefits

Affordable protection for life
Financial security for your family
Be protected against TPD","Life Insurance"
"Life","GREAT Term Direct","Affordable term life protection made easy

Key Benefits

Affordable premiums till 80 years
Financial cushion during bereavement
Death Benefit","Life Insurance"
"Life","GREAT VantageCare 2","The protection advantage in critical care

Key Benefits

Critical Illness coverage
Death or TPD benefit","Life Insurance"
"Life","SMARTPROTECT Junior","Chart a secure future for your child

Key Benefits

Protection with investment allocation
Additional 1% sum assured each year
Protection against death or TPD","Life Insurance"
"Life","SMARTPROTECT Sure","Wealth protection to safeguard your future

Key Benefits

High protection against life's unexpected events
Extra safety net of 1% additional sum assured each year
Guaranteed insurance charge rates","Life Insurance"
"Life","SMARTPROTECT Wealth Max","Financial assurance with optimal protection

Key Benefits

Various coverage term options with flexible premium payment terms
Multiple booster rewards to celebrate policy milestones
Double maturity booster to enhance your savings","Life Insurance"
"Life","SMARTPROTECT Wealth Plus","Embrace your future confidently with strong wealth protection

Key Benefits

Long-term protection up to 100 years next birthday
Extra safety net of additional 1% sum assured each year
High protection against death or TPD","Life Insurance"
"Life","SMARTPROTECT You","Comprehensive protection that’s always got your back

Key Benefits

Protection starting from just RM100 a month
Two coverage term options to suit your life goals
Additional 1% sum assured each year","Life Insurance"
"H&P","GREAT Critical Care Direct","Facing life’s uncertainties with confidence

Key Benefits

Extensive critical illness coverage
Financial cushion during bereavement
Affordable premiums till age 80","Life Insurance"
"H&P","GREAT Critical Care Relief","Reach for Great protection with the essential critical care plan

Key Benefits

Coverage for 5 prevalent critical illnesses
Coverage for hospital admission events
Return of total premiums paid or more at maturity","Life Insurance"
"H&P","GREAT Health Direct","A medical plan to protect you against life’s uncertainties

Key Benefits

Essential medical benefits
Affordable premiums till age 80
Easy application","Life Insurance"
"H&P","GREAT Medic Shield 2 + GREAT Medic Million Extender 2","Comprehensive medical benefits that you can count on

Key Benefits

High overall annual limit, no overall lifetime limit
Comprehensive medical benefits with minimal deductible per any one disability
Post-hospitalisation support for your recovery","Life Insurance"
"H&P","GREAT Multi Cancer Care","Comprehensive care at every stage of the cancer journey

Key Benefits

Comprehensive coverage against cancer
Additional benefits to aid your recovery
Maturity Benefit","Life Insurance"
"H&P","SMART Baby Shield Plus","Reach for Great protection for your little bundle of joy

Key Benefits

Greater assurance during pregnancy
Critical care for your newborn
Extended protection for congenital conditions","Life Insurance"
"H&P","SMART Critical Relief ","Free yourself from financial worry upon hospitalisation

Key Benefits

Coverage on hospital and Intensive Care Unit (ICU) admission up to 210% of sum assured
Up to two claims for category 1 admission event
Coverage for hospital and ICU admission of any unknown diseases that may emerge in the future","Life Insurance"
"H&P","SMART Early Payout CriticalCare","The first plan in Malaysia that pays at the early stages of critical illness

Key Benefits

Early payout, finances saved
Multiple claims across illnesses","Life Insurance"
"H&P","SMARTMedic Shield + SMARTMedic Shield Plus","Extensive medical coverage for your healthcare needs

Key Benefits

Comprehensive medical benefits with minimal deductible per disability
Post-hospitalisation support for your full recovery
High Overall Annual Limit, no Overall Lifetime Limit","Life Insurance"
"H&P","SMART Multi Critical Care","The life-protecting critical illness solution against 188 conditions

Key Benefits

Critical illness coverage up to 800% the rider sum assured
Double protection against cancer, heart attack and stroke
Additional special benefit of up to 60% the rider sum assured","Life Insurance"
