insurer,bank_name,product_type,product_name,product_description,insurance_type,discovered_place
AIA,-,Life,A-LifeLink 2,"Offers protection and investment coverage from RM150 per month.
Enjoy the flexibility of adjusting your protection and savings level.",Life Insurance,Insurer
AIA,-,Medical,A-Plus Health 2,"Comprehensive health protection coverage.
Coverage for recovery treatments and medical related equipment.",Life Insurance,Insurer
AIA,-,Life,A-Life Idaman,"A comprehensive takaful solution all in one product.
Attach our variety of riders to enhance your coverage.",Family Takaful,Insurer
AIA,-,Medical,A-Plus Health Flex-i,"A-Plus Health Flex-i is designed to provide comprehensive medical coverage that safeguards you against escalating medical costs.
No lifetime limit and rewards you for making healthy choices.",Family Takaful,Insurer
AIA,-,Medical,A-Life MediFlex,Flexible medical protection to start your health journey.,Life Insurance,Insurer
AIA,-,Medical,A-Life Mediflex-i,Flexible medical protection to start your health journey.,Family Takaful,Insurer
AIA,-,Life,A-Life Joy Xtra,"Offers coverage and savings opportunities for your child from RM150 per month.
Flexible to be adjusted to your preferred protection and savings level.",Life Insurance,Insurer
AIA,-,Life,A-Life Kasih Famili,A family takaful plan that caters to all the protection needs of your family.,Family Takaful,Insurer
AIA,-,Critical Illness,A-Life Essential Critical Care,"Offers a simple and affordable plan that protects you against advanced stage critical illnesses.
Join AIA Vitality to enjoy Health Screening Benefit and Yearly Cash Bonus as a reward for your healthy choices.",Life Insurance,Insurer
AIA,-,Critical Illness,A-Life Kritikal Protector,"Provides a lump sum payment if you are diagnosed with a critical illness, so you can focus on your recovery.
Get additional coverage through Vitality Booster as an AIA Vitality member.",Family Takaful,Insurer
AIA,-,Critical Illness,A-Life Beyond Critical Care,"Comprehensive critical illness coverage until the age of 80.
Covers from early detection to prevention, and from treatment to recovery.",Life Insurance,Insurer
AIA,-,Life,A-Life Lady,"Comprehensive protection plan for women.
Provides life insurance benefits specially designed for women.",Life Insurance,Insurer
AIA,-,Life,A-Life Lady-i,A comprehensive takaful protection plan tailored for women's health needs.,Family Takaful,Insurer
AIA,-,Critical Illness,A-Life Cancer360,A-Life Cancer360 provides coverage for early to advanced stages of cancer.,Life Insurance,Insurer
AIA,-,Critical Illness,A-Life Cancer360-i,"Provides coverage for early to advanced stages of cancer.
Make healthy choices with AIA Vitality and enjoy Yearly Cash Bonuses.",Family Takaful,Insurer
AIA,-,Critical Illness,AIA Critical Illness Cover,Covers you for 39 critical illnesses at an affordable price.,Life Insurance,Insurer
AIA,-,Critical Illness,AIA i-Critical Illness Cover,"An affordable takaful Critical Illness plan that covers you for 39 critical illnesses.
Coverage from as low as RM0.08 per day.",Family Takaful,Insurer
AIA,-,Medical,AIA Med Basic,An affordable medical plan that covers the cost of your medical treatment and hospitalisation.,Life Insurance,Insurer
AIA,-,Medical,AIA i-Med Basic,An affordable takaful medical plan that covers the cost of your medical treatment and hospitalisation.,Family Takaful,Insurer
AIA,-,Life,AIA One Plan,An affordable life insurance that covers death as well as total and permanent disability (TPD).,Life Insurance,Insurer
AIA,-,Life,AIA i-One Plan,An affordable takaful life plan that covers death as well as total and permanent disability (TPD).,Family Takaful,Insurer
AIA,-,Life,AIA Starter Plan,"An affordable insurance plan with death coverage, from RM0.09/day (*Depending on your gender, smoker status and health condition.)
Suitable if you are new to life insurance or looking for a basic insurance coverage.
This plan is only open to Malaysian citizens residing in Malaysia.",Life Insurance,Insurer
AIA,-,Life,AIA i-Starter Plan,"Most affordable takaful plan.
An affordable takaful plan with death coverage, from RM0.11/day* (*Depending on your gender, smoker status and health condition.).
Suitable if you are new to takaful plans or looking for basic coverage.",Family Takaful,Insurer
AIA,-,Critical Illness,CI Insure,"Covers 5 critical illnesses in advanced stage.
Provides monthly cash allowance for home nursing care, hospice care, palliative care and home cleaning services upon diagnosis.",Life Insurance,Insurer
AIA,-,Medical,Med Insure,"Covers medical treatment and hospitalisation costs as an in-patient. No medical examinations required.
A selection of flexible deductible amounts to meet your personal needs and budget.",Life Insurance,Insurer
AIA,-,Critical Illness,A-Plus Beyond Critical Shield & A-Plus Beyond Early Critical Shield,Covers up to 180 critical illness conditions.,Life Insurance,Insurer
AIA,-,Critical Illness,A-Plus Beyond Critical Shield-i & A-Plus Beyond Early Critical Shield-i,Covers up to 180 conditions from early to advanced stages of critical illnesses.,Family Takaful,Insurer
AIA,-,Critical Illness,A-Plus CriticalCare,Provides financial support during your recovery from a critical illness.,Life Insurance,Insurer
AIA,-,Critical Illness,A-Plus CriticalCare-i,Provides a lump sum payment in the event the Person Covered is diagnosed to be suffering from any one of the specified critical illnesses.,Family Takaful,Insurer
AIA,-,Medical,A-Plus Recover,Pays out coverage amount in the event of prolonged hospitalisations.,Life Insurance,Insurer
AIA,-,Critical Illness,A-Plus Multi CriticalCare,Covers up to 3 critical illnesses.,Life Insurance,Insurer
AIA,-,Medical,A-Plus Recover-i,A plan that provides coverage for severe illnesses that results in prolonged hospitalization.,Family Takaful,Insurer
AIA,-,Life,A-Plus ParentCare Xtra,Covers death and total and permanent disability on parent.,Life Insurance,Insurer
AIA,-,Life,A-Plus ParentCare Xtra-i,Provides coverage for death and total and permanent disability of the parent.,Family Takaful,Insurer
AIA,-,Medical,A-Plus BabyCare Xtra,Covers pregnancy and child care benefits.,Life Insurance,Insurer
AIA,-,Medical,A-Plus BabyCare Xtra-i,"Offers enhanced coverage during your initial months of pregnancy.
Provides best-in-class protection for your child during those crucial years of infancy.",Family Takaful,Insurer
AIA,-,Critical Illness,A-Plus Critical Shield-i,Provides a lump sump payment if you are diagnosed with a critical illness.,Family Takaful,Insurer
AIA,-,Medical,A-Plus MedCare,Provides you with a Personal Medical Case Management (PMCM) benefit.,Life Insurance,Insurer
AIA,-,Critical Illness,A-Plus Beyond Advance Care,Provides coverage for 75 advance stage critical illness.,Life Insurance,Insurer
AIA,-,Savings/Investment,A-Life Wealth Prestige,"A regular premium Investment-Linked Insurance Plan that covers death.
This plan gives you the flexibility to select your coverage in Ringgit Malaysia (RM) or index your coverage with Singapore Dollar (SGD) or United States Dollar (USD).",Life Insurance,Insurer
AIA,-,Savings/Investment,A-Life Wealth Builder,Provides high coverage amount and rewards you up to 6 times with Wealth Rewards and Wealth Booster.,Life Insurance,Insurer
AIA,-,Savings/Investment,A-Life Legasi Beyond,A regular contribution investment-linked takaful plan that provides up to 6 times the protection amount.,Family Takaful,Insurer
AIA,-,Savings/Investment,A-Life Wealth Venture,A non-participating high protection plan with an eased onboarding journey to protect your venture and secure your legacy.,Life Insurance,Insurer
AIA,-,Savings/Investment,A-Life Wealth Treasure,Supports you in nurturing a better financial future for your little one.,Life Insurance,Insurer
AIA,-,Savings/Investment,A-Life Sejuta Makna,A family takaful plan that provides a meaningful protection for every precious moment.,Family Takaful,Insurer
AIA,-,Savings/Investment,A-Life Wealth Premier,Helps you build a strong financial safety net to safeguard your loved ones when you are no longer around.,Life Insurance,Insurer
AIA,-,Savings/Investment,A-Enrich Rezeki,"A savings plan that offers Takaful coverage as well as potential investment growth
Maximise the return on your investment (ROI).",Family Takaful,Insurer
AIA,-,Savings/Investment,A-EnrichGold,A short-pay savings plan that offers guaranteed cash payments and potential investment gains.,Life Insurance,Insurer
AIA,-,Savings/Investment,A-EnrichGold-i,"A short-pay savings plan that provides takaful coverage and potential growth in investments.
Allow you to maximise the return on your money.",Family Takaful,Insurer
AIA,-,Savings/Investment,A-Enrich Wealth,"A short-pay savings plan to maximise returns with protection and investment.
Up to 16 AIA Investment Funds (local and foreign) of varying risk profiles are available for your selection.",Life Insurance,Insurer
AIA,-,Savings/Investment,A-InvestLink,A flexible plan that helps you maximise your investment returns.,Life Insurance,Insurer
AIA,-,Savings/Investment,A-Life Infinite,"A premier investment-linked plan with a minimum coverage amount of RM5 million, one of the highest available in the market.",Life Insurance,Insurer
AIA,-,Savings/Investment,A-Enrich20,A savings plan that guarantees cash payments and increases your insurance cover.,Life Insurance,Insurer
