"product_type","product_name","product_description","insurance_type"
"TBD","BSN Home Assure","Term Reducing Assurance Protection Plan that covers your home loans.","Insurance"
"TBD","BSN RTA","Term Reducing Assurance Protection Plan that covers your personal loans.","Insurance"
"Savings/Investment","Cash Booster","Boost your cash savings with guaranteed payout at maturity with Cash Booster today.","General Insurance"
"TBD","Commute Cover+","Get coverage against events when travelling in a car with Commute Cover+","Insurance"
"TBD","Dengue Cover+","Get life insurance coverage for Dengue and Zika virus infection plus other benefits.","Insurance"
"Life","FWD ADD Rider","A solo-employment starter pack that provides support on your medical expenses and financial as well as mental health support when you’re accidentallyinjured, at a contribution rate you can afford","Family Takaful"
"Life","FWD Accidental Death Benefit Rider","Accidental Death Benefit Rider helps to enhance your takaful plan to increase your coverage against transportation accidents.","Family Takaful"
"Critical Illness","FWD CI Intense Shield","A rider which provides coverage for early and advanced stages of critical illness.","General Insurance"
"Life","FWD Family First","Family means no one gets left behind — a takaful plan to shield your family against critical illnesses even as life changes.","Family Takaful"
"Life","FWD Future First","A takaful plan that provides more than just financial help, but also emotional and practical support to heal after loss of life.","Family Takaful"
"Critical Illness","FWD IL CI (Accelerated)","Get covered against 45 critical illnesses ensuring peace of mind for you and your loved ones.","General Insurance"
"Medical","FWD IL Hospitalisation Income Benefit","Relieve financial worries with daily hospital income during your hospital stay, allowing you to concentrate on your recovery.","General Insurance"
"Critical Illness","FWD IL Living Extra (WOP)","With FWD IL Living Extra (WOP), you can focus on recovering as we waive your premium payment upon diagnosis of any of the 44 critical illnesses. Find out more.","General Insurance"
"Life","FWD IL PA","Get more from your investment-linked plan with personal accident coverage.","General Insurance"
"Life","FWD IL WOP","Provides waiver of premium on diagnosis of any of the 44 critical illnesses","General Insurance"
"Life","FWD Kasih","A micro-takaful protection plan made possible with affordable contributions. Renewable yearly.","Family Takaful"
"Life","FWD Life First","We designed FWD Life First for people like you. A protection plan designed to look into the needs of your whole family – from your parents to your children – should you not be able to carry out your responsibilities.","Family Takaful"
"Critical Illness","FWD Living Extra (Premium Waiver)","Provides waiver on diagnosis of any of the 44 critical illness","General Insurance"
"Savings/Investment","FWD Max Wealth","Maximise your wealth with up to 154% Maturity Payout when you sign up for FWD Max Wealth","General Insurance"
"Medical","FWD Medi First","A comprehensive medical plan that ensures your healthcare needs with no Lifetime Limit.","General Insurance"
"Life","FWD Payor Enhanced (Premium Waiver)","Provides waiver of premium upon death, TPD or on diagnosis of any of the 44 critical illness","General Insurance"
"Life","FWD Payor Lite Rider","With this add-on, keep all wealth plans for your family going even after you pass on or have a total and permanent disability.","Family Takaful"
"Life","FWD Payor Rider","Keep all wealth plans for your family going even after you have a critical illness, die, or have a permanent disability.","Family Takaful"
"Life","FWD Protect Direct","A protection takaful that covers death for you and your family without the involvement of intermediaries.","Family Takaful"
"Life","FWD SpecialCare Direct","A plan for children and parents that covers autism, Tourette’s and ADHD. We’ll pay up to RM100,000 from RM28.95/month.","Family Takaful"
"Life, Savings/Investment","FWD WealthLink","Build a safety net with increasing coverage for you & your loved ones.","General Insurance"
"Life, Savings/Investment","FWD WealthLink Pro","Boost your protection and build wealth with FWD WealthLink Pro","General Insurance"
"Life","FWD i-Lindung Term Takaful & Critical Illness Plan","Auto-renewable plans exclusive for EPF members. Cover yourself or along with family.","Family Takaful"
"Life","GoSecure & GoSecure+","Secure the legacy of your life & business & have the flexibility to choose policy & payment terms","General Insurance"
"Life","PA Cover+","An essential accident protection & life insurance plan which offers benefits such as No Claim Bonus.","General Insurance"
"TBD","Qaseh","4 simple plans to meet your needs, ranging from insurance coverage to savings, and other great benefits.","Insurance"
"TBD","Qaseh Bakti Plus","A health insurance plan that eases your financial burden for worry-free recovery.","Insurance"
"TBD","QasehLink Pintar","Helps you accumulate wealth while providing valuable insurance protection.","Insurance"
"Life","i-Care","From only RM9.75 a month, i-Care offers you affordable life insurance for you & your family","General Insurance"
"Life","i-FlexCover","Adjust your life insurance coverage in Malaysia anytime, at no extra charge.","General Insurance"
"Medical","i-Med","From only RM41.85/month, i-Med offers you affordable medical insurance in Malaysia.","General Insurance"
"Critical Illness","i-Protect & i-Protect Plus","From only RM7.60/month, i-Protect & i-Protect Plus offers you affordable critical illness insurance in Malaysia.","General Insurance"
"Scraped at",":","2024-07-06 11:49 +08",""
