"company","product_type","product_name","product_description","insurance_type"
"MSIG","Motor","Motor Insurance","A car insurance policy with features and benefits that offer peace of mind.","General Insurance"
"Hong Leong Assurance","Motor","Car Life","Secure your car loan for a smoother ride.","General Insurance"
"MSIG","Travel","Travel Insurance","Take the stress out of travel with this policy that covers most travel hiccups.","General Insurance"
"MSIG","Home","Flexi Home Guard Insurance","A home protection policy with worldwide coverage for your personal belongings.","General Insurance"
"Hong Leong Assurance","Home","Hong Leong Credit Protector","A one-time payment to ensure that your family will always have a home. Anyone between the ages of 18 and 65 years is eligible.","General Insurance"
"Hong Leong Assurance","Home","Hong Leong Credit Protector with Dread Disease","Give your family the best gift of financial security, a home and peace of mind even if any untoward event happens to you.","General Insurance"
"MSIG","Home","1 Home Plus","1 Home Plus Insurance is a comprehensive houseowner/householder policy offered to HLB’s mortgage loan customers to gain control over an unforeseen event.","General Insurance"
"Hong Leong Assurance","Life","Hong Leong SMART Cash Insurance","The plan you pay for until you’re 55, and covers you until you’re 80.","Life Insurance"
"Hong Leong Assurance","Life","Hong Leong SMART Biz Term Insurance","Regular Premium Term Life with Refund of Premium","Life Insurance"
"MSIG","H&P","Flexi Protector Personal Accident Insurance","An insurance plan tailored to your needs.","General Insurance"
"MSIG","Medical","Critical Illness Plan","Get financial protection against 5 major illnesses","General Insurance"
"Hong Leong Assurance","Liability","Hong Leong Credit Shield Premier","Protect your credit card outstanding balance from as low as 65cent.","General Insurance"
"Hong Leong Assurance","Investment","Hong Leong One SMART Insurance","Pay only once and get protected for a lifetime.","Life Insurance"
"Hong Leong Assurance","Investment","Hong Leong SMART3 Shield Insurance","Protecting Your Family With Savings Booster In A Single Plan","Life Insurance"
"Hong Leong Assurance","Investment","Hong Leong SMART5 Flexi Insurance","Affordable Protection for You and Your Family","Life Insurance"
"Hong Leong Assurance","Investment","Hong Leong SMART Protect Plus Insurance","Tailor-Made to Suit Your Lifestyle","Life Insurance"
"Hong Leong Assurance","Investment","Hong Leong SMART Protect Vantage Insurance","Smart Solution to Redesign Your Life","Life Insurance"
"Hong Leong Assurance","Investment","Hong Leong SMART Income Plus Insurance ","Secure Your Legacy, Build Your Wealth","Life Insurance"
"Hong Leong Assurance","Investment","Hong Leong SMART Wealth Insurance","Wealth Begins with Sound Financial Planning","Life Insurance"
"MSIG","Misc.","Safe Deposit Locker Insurance","A coverage for the loss of property in safe deposit lockers, from only 13 cent a day.","General Insurance"
"","Scraped at",":","2024-08-16 08:56 +08",""
