"product_type","product_name","product_description","insurance_type"
"Critical Illness","Advance Beyond Critical Cover","Comprehensive critical illness plan that provides H.O.P.E. and financial confidence","Life Insurance"
"Critical Illness","Beyond Critical Cover (BCC) Series + BCC Booster","Elevate your protection with the perfect combination of coverage that goes above and beyond","Life Insurance"
"Savings","Elite Income 88","Make Your Vision a Reality","Life Insurance"
"Life, Investment","Elite Life Guard 2","Protection at every stage of your life","Life Insurance"
"Life, Investment","EliteLife Signature Legacy","Build A Lifelong Legacy For Generations To Come","Life Insurance"
"Savings","EliteLife Signature Saver","Managing Your Wealth Today For A More Secure Future","Life Insurance"
"Life, Investment","EliteLife Signature Treasure","Build Your Wealth For A Future To Treasure","Life Insurance"
"Critical Illness","ManuEZ-CI","A plan that provides you coverage for 5 common critical illnesses.","Life Insurance"
"Medical","ManuEZ-Med","Get yourself a medical card from as low as RM2 a day with no medical checkup required!","Life Insurance"
"Investment","ManuLink Essential/ManuLink Essential Plus","Protection in every step of life’s journey","Life Insurance"
"Investment","ManuLink Premier","Enjoy dual benefits of wealth and protection","Life Insurance"
"Investment","ManuLink Wealth","Keeping you on course for your future","Life Insurance"
"Life","ManuProtect","An affordable life insurance plan to protect your family’s future.","Life Insurance"
"Savings","ManuSecure Series","Build your wealth for a financially secure future","Life Insurance"
"Savings","ManuSecure Series","Build your wealth for a financially secure future.","Life Insurance"
"Life","ManuTerm","Life insurance coverage for a stipulated number of years at the lowest outlay.","Life Insurance"
"Life","ManuWhole Life","Provides life-time insurance protection at affordable premiums.","Life Insurance"
"Investment","Manulife Asset Shield","Ensuring your assets are taken care of during life’s uncertainties","Life Insurance"
"Critical Illness","Manulife Easy 5","A simple critical illness plan to get you started","Life Insurance"
"Life, Savings","Manulife Future Shield","Strengthen your future with easy access and guaranteed whole life coverage","Life Insurance"
"Medical","Manulife Health Saver Benefit + MHSB Booster","A medical plan that provides you with enhanced coverage on top of 30% discount from the very start","Life Insurance"
"Medical","Manulife MediShield","Getting my first medical protection is vital","Life Insurance"
"Critical Illness","Manulife Precious Gift","Cherish your precious moment with an early protection plan","Life Insurance"
"Savings","Manulife Universal Saver","Celebrate life milestones with confidence","Life Insurance"
"Investment","Manulife Value Enhancer","A unique plan that gives you the opportunity to enhance your life protection at all times","Life Insurance"
"Investment","Signature Heirloom (VII)","Securing your legacy for generations to come","Life Insurance"
"Investment","Signature Heirloom Indexed Universal Life","Elevate your legacy, your way","Life Insurance"
"Scraped at",":","2024-08-16 09:28 +08",""
