"company","product_type","product_name","product_description","insurance_type"
"Etiqa","H&P","Hero15","A comprehensive PA plan created especially for men against male cancers and illnesses & losses resulting from accidents.","General Insurance"
"Etiqa","H&P","Takaful Hero 15","Shariah-compliant protection for everyday heroes with contributions from RM0.93 a day","General Takaful"
"Etiqa","H&P","PesonaLady","A complete plan created just for women","General Insurance"
"Etiqa","H&P","Takaful PesonaLady","A complete Shariah-compliant plan created just for women with contributions from RM22.50 a month","General Takaful"
"Etiqa","H&P","Premier PA Plus","Comprehensive personal accident coverage for your family at super affordable premiums","General Insurance"
"Etiqa","H&P","Takaful PA Plus","Shariah-compliant personal accident coverage at super affordable rates","General Takaful"
"Etiqa","H&P","Senior PA","A personal accident plan created just for seniors with premiums from RM0.65 a day","General Insurance"
"Etiqa","H&P","Infinite Personal Accident","Comprehensive Shariah-Compliant Sports, Lifestyle & COVID-19 Coverage #ForYou","General Insurance"
"Etiqa","H&P","Takaful Infinite PA","Comprehensive Shariah-Compliant Sports, Lifestyle & COVID-19 Coverage #ForYou","General Takaful"
"Etiqa","H&P","Privilege PA","Higher personal accident coverage for you and your family","General Insurance"
"Etiqa","H&P","Takaful Privilege PA","A higher Shariah-compliant personal accident coverage for you and your family","General Takaful"
"Etiqa","Motor","Takaful Auto Credit Plan","A Shariah-compliant plan for new and existing Maybank Islamic car financing customers","General Takaful"
"Etiqa","Motor","EV Home Charger Coverage","First in Malaysia to provide Electric Vehicle (EV) Home Charger coverage.","General Insurance"
"Etiqa","Motor","Car Insurance","A comprehensive car insurance plan available online via Maybank2u, MAE App, M2U App and Maybank branches / Auto Finance Centres.","General Insurance"
"Etiqa","Motor","Car Takaful","A Shariah-compliant car takaful plan available online via Maybank2u, MAE App, M2U App & Maybank branches / Auto Finance Centres.","General Takaful"
"Etiqa","Savings/Investment","Smart Secure","Protect what you have built","Life Insurance"
"Etiqa","Savings/Investment","Smart Hijrah","For the greatest journey in your life","Life Insurance"
"Etiqa","Savings/Investment","Smart Waris","","Life Insurance"
"Etiqa","Savings/Investment","Smart Flexi Plus","A plan with flexible payment and policy terms","Life Insurance"
"Etiqa","Savings/Investment","Takaful Smart Plus","A Shariah-compliant investment-linked Family Takaful plan","Family Takaful"
"Etiqa","Savings/Investment","SMART INCOME","A Shariah-compliant retirement, protection & savings takaful plan","Family Takaful"
"Etiqa","Savings/Investment","Dynamic Invest","Invest & stay protected with a strategic plan","Life Insurance"
"Etiqa","Savings/Investment","Smart Wealth","A plan with flexible payment and policy terms","Life Insurance"
"Etiqa","Savings/Investment","Smart Cash Xtra","Provide financial security to you and your family.","Life Insurance"
"Etiqa","Savings/Investment","PremierValue Savers","The plan that maximises your investment allocation while providing coverage","Life Insurance"
"Etiqa","Savings/Investment","Smart Golden Life","Retire your way when you plan today","Life Insurance"
"Etiqa","Savings/Investment","Ezy-Life Secure","It's never too early to start planning for the unexpected","Life Insurance"
"Etiqa","Savings/Investment","Premier Cash Refund","Enjoy savings and coverage at affordable premiums.","Life Insurance"
"Etiqa","Savings/Investment","Smart Life Vantage","A plan that benefit regardless of your health.","Life Insurance"
"Etiqa","Savings/Investment","Premier Lady Savers","Investment-linked protection created especially for women","Life Insurance"
"Etiqa","Savings/Investment","Premier Education Savers","An investment-linked lifetime plan with a mix of coverage and strategic investments for your child's education.","Life Insurance"
"Etiqa","Home","Mortgage Reducing Term Takaful","A single contribution reducing term Takaful plan","General Takaful"
"Etiqa","Home","Credit Level Term Takaful","A single contribution level term Takaful plan","General Takaful"
"Etiqa","Home","Maxihome Contents","Protect your valuables from theft, floods and damage","General Insurance"
"Etiqa","Home","Credit Level Term Assurance","A single premium level term insurance plan","General Insurance"
"Etiqa","Home","Mortgage Reducing Term Assurance","A single premium reducing term insurance plan","General Insurance"
"Etiqa","Home","Houseowner/Householder Takaful","A shariah-compliant comprehensive coverage for the structure of your home and its contents.","General Takaful"
"Etiqa","Home","Houseowner/Householder","Comprehensive coverage for the structure of your home and its contents.","General Insurance"
"Etiqa","TBD","Key Person Insurance","Secure your business with Key Person Insurance","General Insurance"
"Etiqa","Medical","Smart Family Medic Plan","Smart Family Medic Plan is a medical plan for you and your family members, with no lifetime limit.","Insurance"
"Etiqa","Savings","Smart Saver Xtra","Guaranteed cash payouts for you","Life Insurance"
"","Scraped at",":","2024-08-16 08:51 +08",""
