"product_type","product_name","product_description","insurance_type"
"Life, H&P","Cash Plus Assurance","Death/Total and permanent disability (TPD) benefit","Life Insurance"
"Life, H&P","Credit Protector Plus","Death/Total and permanent disability (TPD)/ 36 Critical illness (CI) benefit","Life Insurance"
"Life, H&P","GoLife","Insurance coverage up to RM76,000

Monthly premium as low as RM5 per month

Simple online registration

Flexible, pay as you go monthly plan","Life Insurance"
"Life, H&P","GoLife Plus","Insurance coverage up to RM76,000

Customisable with optional riders

Monthly premium as low as RM13 per month

Simple online registration","Life Insurance"
"Life, H&P","GoTakaful","Family takaful coverage up to RM204,000

Flexible monthly repayment period as low as RM18/month

Simple online registration","Family Takaful"
"Life, H&P","Group Amanah Saham Assurance","Death/Total and permanent disability (TPD) benefit","Life Insurance"
"Life, H&P","Group Mortgage Level Term Assurance","Death/Total and permanent disability (TPD) benefit","Life Insurance"
"Life, H&P","Group Mortgage Reducing Term Assurance","Death / Total and permanent disability (TPD) benefit","Life Insurance"
"Life, H&P","Group Mortgage Reducing Term Takaful","Death/Total and permanent disability (TPD) benefit","Family Takaful"
"Life","Group Term Financing Takaful","Death/Total and permanent disability (TPD) benefit","Family Takaful"
"Life, H&P, Savings","KFH Sun Sinar","Takaful coverage up to 200% of death/total and permanent disability (TPD) benefit

RM1,500 special payout

Badal Hajj benefit

Final benefit","Family Takaful"
"Life, H&P","Prime Family Critical Care-i","Critical illness coverage for you and your loved ones

Total up to 180% of rider's sum covered

No medical underwriting or checkup required","Family Takaful"
"Life, H&P, Savings","Sinar Baraqah","Takaful coverage up to 200% of death/total and permanent disability (TPD) benefit

RM1,500 special payout

Badal Hajj benefit

Final benefit","Family Takaful"
"Life, H&P","Sinar Health Plan","Hospital benefit

Health benefits

Overall lifetime limit

Death benefit","Family Takaful"
"Life, H&P, Investment","SinarLink Aiman","Comprehensive & customised takaful coverage with optional riders

Final benefit","Family Takaful"
"Life, H&P","Sun AutoLife","Death/Total and permanent disability (TPD) benefit

Accidental death/ Accidental total and permanent disability (TPD) benefit","Life Insurance"
"Life","Sun AutoTakaful","Death/Total and permanent disability (TPD) benefit

Accidental death/ Accidental total and permanent disability (TPD) benefit","Family Takaful"
"Life, H&P","Sun Cover-i","Death / Total and Permanent Disability (TPD) Benefit

Easy Enrollment

No Exclusion and Waiting Period","Family Takaful"
"Life, H&P, Savings","Sun EduSmart","Education reward

Insurance coverage

Guaranteed maturity benefit

Waiver of premium (parent/legal guardian)","Life Insurance"
"Life, H&P, Savings","Sun Enrich-i","Easy enrolment with no underwriting required

Cash payout

Final benefit

Takaful coverage","Family Takaful"
"Life, H&P, Savings","Sun Hajj","200% of sum covered for death/TPD benefit while performing Hajj/Umrah

RM2,000 special payout

Badal Hajj benefit

Funeral expenses benefit and additional accidental coverage","Family Takaful"
"Life, H&P, Investment","Sun Heritage-i","Death and Total and Permanent Disability (TPD) benefit

Estate planning benefit

Extension of takaful coverage

Maturity benefit","Family Takaful"
"Life, H&P, Investment","Sun Income Secure Max","Insurance coverage

Guaranteed yearly income

Full premium allocation","Life Insurance"
"Life, H&P","Sun Inspirasi","Simple enrolment with up to RM 2mil non-medical limit

Up to 3 times additional payout on accidental death

Cash payout benefit","Family Takaful"
"Life, Investment","Sun Legacy Shield","Takaful coverage with protection booster

Full contribution allocation

Loyalty bonus

Final benefit","Family Takaful"
"Life, H&P","Sun MaxiMed-i","Hospitalisation and Surgical Benefits

No Lifetime Limit

Retirement option

Family Discount","Family Takaful"
"Life, H&P","Sun Medi Mex-i","Hospitalisation and surgical benefits with no lifetime limit

Best Doctors services

Family discount

Retirement option","Family Takaful"
"Life, H&P, Investment","Sun Prestige Life","High coverage on death or Total Permanent Disability (TPD)

Additional coverage on accidental death or TPD

Protection booster

Compassion benefit","Life Insurance"
"Life, H&P, Savings, Investment","Sun Prime Link-i","Comperhensive and customisable takaful coverage

Flexible contribution and coverage amount

Choice of investment-linked funds 

Maturity benefit","Family Takaful"
"Life, Savings, Investment","Sun Save Invest","Simple enrolment

Insurance coverage

Full premium allocation 

Maturity benefit","Life Insurance"
"Life, Savings","Sun SaveAssured","Guaranteed maturity benefit

Insurance coverage

Waiver of premium option","Life Insurance"
"Life, Savings","Sun Secure Saver-i","Flexible contribution payment terms 

Guaranteed death or total and permanent disability (TPD) coverage 

Additional death or TPD coverage 

Increasing cash payout","Family Takaful"
"Life, H&P, Savings, Investment","Sun Shield Link","Customisable protection and investment in one plan

Enhanced protection through optional rider

Allocation bonus 

Loyalty booster","Life Insurance"
"Life, H&P, Savings","Sun Signature Life Plus","Simple enrolment with up to RM 2mil non-medical limit

Guaranteed health check-up allowance benefit

Guaranteed loyalty bonus benefit

Insurance coverage","Life Insurance"
"Life, H&P","Sun Ultimate Coverage-i","Takaful coverage - death/total and permanent disability (TPD) / accidental death or TPD

Disability allowance benefit","Family Takaful"
"Life, Savings","Sun Wealth Plus","Easy enrolment with no underwriting required

Guaranteed survival benefit

Maturity benefit

Insurance coverage","Life Insurance"
"Life, H&P","Sun Wealth Protect-i","6-in-1 coverage

Peace of mind

Leaving a legacy

Affordable contribution","Family Takaful"
"Life, H&P","Sun eCritical Shield","Top 3 CI Care benefit

Diabetes Care benefit

Long coverage term

No medical check-up","Life Insurance"
"Life, H&P","Sun eCritical Shield-i","Top 3 CI Care benefit

Diabetes Care benefit

Long coverage term

No medical check-up","Family Takaful"
