"Comparison between Results_09_2024_Week_1 and Results_09_2024_Week_2",""
"Date Produced:","14-Sep-2024"
"Number of New Products:","137"
"Number of Retired Products:","0"

New Products:
"insurer","bank_name","product_type","product_name","insurance_type","discovered_place"
"Great Eastern","-","Life","Prestige Legacy Index ","Life Insurance","Insurer"
"Prudential","-","Medical","Care Secure (CareShield Life Supplement)","Life Insurance","Insurer"
"Prudential","-","Life","DIRECT - PRUProtect Life II","Life Insurance","Insurer"
"Prudential","-","Life","DIRECT - PRUProtect Term","Life Insurance","Insurer"
"Prudential","-","Life","DIRECT - PRUProtect Term 5","Life Insurance","Insurer"
"Prudential","-","Savings","PRUActive Cash","Life Insurance","Insurer"
"Prudential","-","Life","PRUActive Life III","Life Insurance","Insurer"
"Prudential","-","Life, Investment","PRUActive LinkGuard","Life Insurance","Insurer"
"Prudential","-","Critical Illness","PRUActive Protect","Life Insurance","Insurer"
"Prudential","-","Savings","PRUActive Retirement II","Life Insurance","Insurer"
"Prudential","-","Savings","PRUActive Saver III","Life Insurance","Insurer"
"Prudential","-","Life","PRUActive Term","Life Insurance","Insurer"
"Prudential","-","Critical Illness","PRUCancer 360","Life Insurance","Insurer"
"Prudential","-","Critical Illness","PRUEarly Stage Crisis Cover","Life Insurance","Insurer"
"Prudential","-","Medical","PRUExtra","Life Insurance","Insurer"
"Prudential","-","Life","PRUFirst Gift II","Life Insurance","Insurer"
"Prudential","-","Life","PRUFirst Promise","Life Insurance","Insurer"
"Prudential","-","Critical Illness","PRULady","Life Insurance","Insurer"
"Prudential","-","Life, Legacy","PRULife Vantage Achiever Prime Series","Life Insurance","Insurer"
"Prudential","-","Savings","PRULifetime Income Plus","Life Insurance","Insurer"
"Prudential","-","Investment","PRULink ActiveInvest Portfolio Fund","Life Insurance","Insurer"
"Prudential","-","Investment","PRULink FlexGrowth","Life Insurance","Insurer"
"Prudential","-","Investment","PRULink InvestGrowth","Life Insurance","Insurer"
"Prudential","-","Investment","PRULink Islamic Global Equity Index Fund","Life Insurance","Insurer"
"Prudential","-","Critical Illness","PRUMan","Life Insurance","Insurer"
"Prudential","-","Home","PRUMortgage","Life Insurance","Insurer"
"Prudential","-","Home","PRUMortgage Refund Premier","Life Insurance","Insurer"
"Prudential","-","Critical Illness, Life","PRUMum","Life Insurance","Insurer"
"Prudential","-","Medical","PRUPanel Connect","Life Insurance","Insurer"
"Prudential","-","H&P","PRUPersonal Accident","Life Insurance","Insurer"
"Prudential","-","Critical Illness","PRUSafe BreastCancer","Life Insurance","Insurer"
"Prudential","-","H&P","PRUSafe COVIDCover","Life Insurance","Insurer"
"Prudential","-","H&P","PRUSafe Dengue","Life Insurance","Insurer"
"Prudential","-","Life","PRUSafe Income","Life Insurance","Insurer"
"Prudential","-","Critical Illness","PRUSafe Prostate Cancer","Life Insurance","Insurer"
"Prudential","-","Savings","PRUSave Max Limited Pay (USD)","Life Insurance","Insurer"
"Prudential","-","Investment","PRUSelect","Life Insurance","Insurer"
"Prudential","-","Investment","PRUSelect Vantage (SGD)","Life Insurance","Insurer"
"Prudential","-","Investment","PRUSelect Vantage Premier (SGD)","Life Insurance","Insurer"
"Prudential","-","Medical","PRUShield","Life Insurance","Insurer"
"Prudential","-","Investment","PRUVantage Assure Series","Life Insurance","Insurer"
"Prudential","-","Legacy","PRUVantage Legacy Index","Life Insurance","Insurer"
"Prudential","-","Investment","PRUVantage Wealth II","Life Insurance","Insurer"
"Prudential","-","Critical Illness, Life","PRUVital Cover","Life Insurance","Insurer"
"Prudential","-","Savings","PRUWealth (USD)","Life Insurance","Insurer"
"Prudential","-","Savings","PRUWealth Income","Life Insurance","Insurer"
"Prudential","-","Savings","PRUWealth Plus (SGD)","Life Insurance","Insurer"
"Singlife","-","Life","Singlife Simple Term","Life Insurance","Insurer"
"Singlife","-","Life","Singlife Elite Term II","Life Insurance","Insurer"
"Singlife","-","Life","Singlife Whole Life","Life Insurance","Insurer"
"Singlife","-","Life","DIRECT – Singlife Term Life","Life Insurance","Insurer"
"Singlife","-","Life","DIRECT – Singlife Whole Life","Life Insurance","Insurer"
"Singlife","-","Medical","Singlife Shield Starter and Health Plus Starter","Life Insurance","Insurer"
"Singlife","-","Medical","Singlife Shield and Health Plus","Life Insurance","Insurer"
"Singlife","-","Medical","Singlife Cancer Cover Plus II","Life Insurance","Insurer"
"Singlife","-","Critical Illness","Singlife Big 3 Critical Illness","Life Insurance","Insurer"
"Singlife","-","Critical Illness","Singlife Comprehensive Critical Illness","Life Insurance","Insurer"
"Singlife","-","Critical Illness","Singlife Multipay Critical Illness","Life Insurance","Insurer"
"Singlife","-","Critical Illness","Singlife Essential Critical Illness","Life Insurance","Insurer"
"Singlife","-","Disability","Singlife Dementia Cover","Life Insurance","Insurer"
"Singlife","-","Disability","Singlife Disability Income","Life Insurance","Insurer"
"Singlife","-","Disability","Singlife CareShield Standard and Singlife CareShield Plus","Life Insurance","Insurer"
"Singlife","-","Disability","Singlife ElderShield Standard and Singlife ElderShield Plus","Life Insurance","Insurer"
"Singlife","-","Life","Maternity Care","Life Insurance","Insurer"
"Singlife","-","H&P","Singlife Accident Guard","Life Insurance","Insurer"
"Singlife","-","H&P","Singlife Personal Accident","Life Insurance","Insurer"
"Singlife","-","Motor","Lite","General Insurance","Insurer"
"Singlife","-","Motor","Standard","General Insurance","Insurer"
"Singlife","-","Motor","Prestige","General Insurance","Insurer"
"Singlife","-","Travel","Travel Lite","General Insurance","Insurer"
"Singlife","-","Travel","Travel Plus","General Insurance","Insurer"
"Singlife","-","Travel","Travel Prestige","General Insurance","Insurer"
"Singlife","-","Home","Home Lite","General Insurance","Insurer"
"Singlife","-","Home","Home Standard","General Insurance","Insurer"
"Singlife","-","Home","Home Plus","General Insurance","Insurer"
"Singlife","-","Life","Group Term Life","Life Insurance","Insurer"
"Singlife","-","H&P","Group Personal Injury","Life Insurance","Insurer"
"Singlife","-","Life","Pogis","Life Insurance","Insurer"
"Singlife","-","Savings","Singlife Digital Saver","Life Insurance","Insurer"
"Singlife","-","Savings","Singlife Choice Saver","Life Insurance","Insurer"
"Singlife","-","Savings","Singlife Steadypay Saver","Life Insurance","Insurer"
"Singlife","-","Savings","Singlife Legacy Income","Life Insurance","Insurer"
"Singlife","-","Savings","Singlife Flexi Life Income II","Life Insurance","Insurer"
"Singlife","-","Savings","Singlife Secure Saver VII","Life Insurance","Insurer"
"Singlife","-","Investment","Singlife Savvy Invest II","Life Insurance","Insurer"
"Singlife","-","Investment","Singlife Sure Invest","Life Insurance","Insurer"
"Singlife","-","Savings","Flexi Retirement Ii","Life Insurance","Insurer"
"Singlife","-","Savings","Singlife Account","Life Insurance","Insurer"
"Tokio Marine","-","Critical Illness, Disability","#go TotalProtect Cancer","Life Insurance","Insurer"
"Tokio Marine","-","Savings","Education","Life Insurance","Insurer"
"Tokio Marine","-","Investment","Investments","Life Insurance","Insurer"
"Tokio Marine","-","Life","Life Insurance","Life Insurance","Insurer"
"Tokio Marine","-","H&P","Personal Accident Insurance","Life Insurance","Insurer"
"Tokio Marine","-","Motor","Private Motor Insurance","General Insurance","Insurer"
"Tokio Marine","-","Savings","Savings","Life Insurance","Insurer"
