"insurer","bank_name","product_type","product_name","product_description","insurance_type"
"AIA","-","Critical Illness","AIA Absolute Critical Cover","Cover ​multi-stage ​critical illnesses​, chronic, age-related​​ and​ other future diseases​ plus potential cash value.","Life Insurance"
"AIA","-","Travel","AIA Around the World Plus (II)","​​​Travel without worries with extensive protection covering pre- to post-trip, COVID-19, trip cancellations and medical expenses.","General Insurance"
"AIA","-","Critical Illness","AIA Beyond Critical Care","Receive​ premium refund on top of protection against major stage critical illnesses (CIs) and relapse as well as mental illnesses​","Life Insurance"
"AIA","-","H&P","AIA Centurion PA","Age confidently with the first personal accident plan that offers multi-stage dementia coverage and services","Life Insurance"
"AIA","-","Critical Illness","AIA Diabetes Care","​​Get ground-breaking diabetes insurance coverage for pre-diabetics and Type 2 diabetics to get the financial safety net you need.​","Life Insurance"
"AIA","-","Home","AIA Elite HomeCare","Secure your household with a one-stop home insurance solution that covers your home, family and pets, even when you travel.","General Insurance"
"AIA","-","Investment","AIA Elite Secure Income","​Retire ​better than planned​ with ​t​he first​ affordable​ capital guaranteed investment-linked plan from ​just​ ​​$300 a month​,​ ​​​with no medical questions asked​.​​​","Life Insurance"
"AIA","-","Critical Illness","AIA Glow of Life","​Stay protected with critical illness​ coverage tailored for women​,​ ​including prevalent female cancers. ​​","Life Insurance"
"AIA","-","Life, Savings","AIA Guaranteed Protect Plus (IV)","A whole life insurance single solution that offers up to 5 times boosted coverage while accumulating stable cash value over time.","Life Insurance"
"AIA","-","Medical","AIA HealthShield Gold Max","​​​A​ Medisave-approved Integrated Shield Plan ​consisting​ of MediShield Life and ​​private insurance coverage ​​​for private or public hospital​ treatment​.​​","Life Insurance"
"AIA","-","Medical","AIA Hospital Income","​Enjoy a financial buffer on top of your hospitalisation plan, so you can handle extra expenses while recovering – all from S$0.85 per day.","Life Insurance"
"AIA","-","Investment","AIA Invest Easy","​​​G​row and maximise your investments​ easily​ through a variety of funds and portfolios​, ​w​​​ith no medical questions asked​​​.​​​","Life Insurance"
"AIA","-","Life","AIA Life Dividends","The only whole life protection plan with annual dividends which you can withdraw flexibly","Life Insurance"
"AIA","-","Life, Home","AIA Mortgage Reducing Term Assurance","​K​eep the family home in the family for generations to come​ with​ a flexible protection home mortgage insurance plan ​created ​for homeowners​.​​","Life Insurance, General Insurance"
"AIA","-","Medical","AIA Mum2Baby Choices","Protect both mother and child from as early as the 13th week of pregnancy, with​ guaranteed lifelong protection for your child up to age 100.","Life Insurance"
"AIA","-","Disability","AIA Pay Protector","​​Safeguard​ your income till age 65​ against injury, illness ​or mental ​​​conditions that ​​result in pausing your career or an unfortunate job loss​.","Life Insurance"
