"insurer","bank_name","product_type","product_name","product_description","insurance_type"
"Manulife","-","Life","LifeReady Plus (II)","Helps you plan for every stage of your life","Life Insurance"
"Manulife","-","Life","ManuProtect Term (II)","Protect your family with ManuProtect Term, a flexible term life insurance that will provide your family with the financial security they need.","Life Insurance"
"Manulife","-","Life","ManuProtect Decreasing (II)","Safeguard your home with ManuProtect Decreasing (II), a term life insurance with decreasing coverage to ensure you're covered for what you really need. ","Life Insurance"
"Manulife","-","Life","DIRECT- ManuAssure Term","Term insurance plan that gives you a lump sum payout","Life Insurance"
"Manulife","-","Life","DIRECT-ManuAssure Life","Balance protection and savings with this life insurance plan","Life Insurance"
"Manulife","-","H&P","Manulife CI FlexiCare","Covers you up to 126 critical illnesses (CI) including early, intermediate and advanced stages. ","Life Insurance"
"Manulife","-","H&P","ReadyProtect","Accident plan for you and your family from S$2 a week","Life Insurance"
"Manulife","-","H&P","ReadyMummy","The first maternity plan to cover mental wellness. Be ready with ReadyMummy. ","Life Insurance"
"Manulife","-","H&P","Critical SelectCare","Crafted to protect you against selected major critical illnesses and age-related conditions.","Life Insurance"
"Manulife","-","Savings","Manulife IncomeGen (II)","Provides you a stream of monthly income up to age 120","Life Insurance"
"Manulife","-","Savings","Manulife Goal 2024 (III)","A 3-year single premium endowment plan with 100% capital guaranteed at maturity","Life Insurance"
"Manulife","-","Savings","RetireReady Plus (III)","A plan for retirement, for the golden years you’ve always dreamed of","Life Insurance"
"Manulife","-","Savings","ReadyBuilder (II)","Assemble your finances with the right building blocks","Life Insurance"
"Manulife","-","Savings","Manulife GrowSecure","Wealth accumulation with a lump sum payout at policy maturity","Life Insurance"
"Manulife","-","Savings","Manulife IncomeSecure","Provides yearly income stream as you craft a meaningful gift for your loved ones. ","Life Insurance"
"Manulife","-","Investment","Manulife InvestReady Growth","Grow your wealth portfolio with flexibility and added bonuses","Life Insurance"
"Manulife","-","Investment","Manulife SmartRetire (V)","Be in control to plan for your desired retirement","Life Insurance"
"Manulife","-","Investment","Manulife InvestReady (III)","Diversify your portfolio with access to a diverse range of funds","Life Insurance"
"Manulife","-","Investment","Manulink Investor (II)","Investment plan with a wide suite of professionally-managed funds to invest in.","Life Insurance"
"Manulife","-","Investment","ManuInvest Duo","Accumulate your wealth while protecting your lifestyle.","Life Insurance"
"Manulife","-","Legacy","Signature Legacy Growth (USD) ","Be in control of your legacy with the flexibility to pass on your wealth to loved ones seamlessly","Life Insurance"
"Manulife","-","Legacy","Signature Indexed Universal Life Select (II)","Be in control of your legacy with a world of opportunities, leveraging on an Index Account with flexible options.","Life Insurance"
"Manulife","-","Legacy","Signature Income Series","Elevating the growth and strength of your legacy to stretch across generations","Life Insurance"
"Manulife","-","Legacy","Signature Life Series","Your legacy, preserved for generations to come","Life Insurance"
"Manulife","-","Legacy","Heirloom (VII)","Leave a lasting legacy to your loved ones with this USD universal life insurance plan.","Life Insurance"
"Manulife","-","Legacy","Signature Lifetime Rewards (II) (SGD)","Cultivating a timeless legacy for you and your loved ones","Life Insurance"
"Manulife","-","Legacy","Signature Wealth","Your legacy deserves to withstand the test of time","Life Insurance"
"","","Scraped at",":","2024-09-01 16:24 +08",""
