"insurer","bank_name","product_type","product_name","product_description","insurance_type"
"Etiqa","-","Critical Illness","Cancer Insurance","Lifelong protection against death, total & permanent disability (until age 70) and terminal illness
Flexible premium term from 5, 10, 15 or 20 years
Up to 4x benefits
Retirement payout option from age 65","Life Insurance"
"Etiqa","-","Savings","Enrich assure","A capital guaranteed endowment plan with lump sum payout upon maturity.

Key benefits

Lump sum payout upon maturity
Flexible premium term of 3, 5, 10, 15, or 20 years
Capital guaranteed from year 5 to 15
No medical check required","Life Insurance"
"Etiqa","-","Savings","Enrich flex plus","A capital guaranteed endowment plan that will help you achieve your life goals at the end of 15 years.

Key benefits

Flexible policy term of 15, 24 or 29 years
Short premium term of 7 years
Capital guaranteed at the end of 15 years
No medical check required","Life Insurance"
"Etiqa","-","Savings","Enrich goal","A whole life insurance plan designed to provide you with a regular stream of monthly income.

Key benefits

Lifetime monthly income
Lump sum payout upon maturity
Flexible premium term of 3, 5, 10, 15, or 20 years
No medical check required","Life Insurance"
"Etiqa","-","Savings","Enrich income","A capital guaranteed endowment plan with lump sum maturity benefit and a monthly retirement income.

Key benefits

Lump sum payout upon maturity
Flexible premium term of 2, 5 or 10 years
Monthly retirement income for 10 or 20 years
Capital guaranteed upon reaching your selected retirement age","Life Insurance"
"Etiqa","-","Savings","Enrich retirement","A capital guaranteed endowment plan with guaranteed yearly cash benefits and a lump sum maturity payout at the end of 10 years.

Key benefits

Lump sum payout upon maturity
Short premium term of 3 years
Guaranteed yearly cash benefits from the end of year 3
Capital guaranteed at the end of 10 years","Life Insurance"
"Etiqa","-","Savings","Enrich rewards","A capital guaranteed endowment plan that will provide you a lump sum maturity payout at the end of 10 policy years.

Key benefits

Lump sum payout upon maturity
Short premium term of 5 years
Capital guaranteed at the end of 10 years
No medical check required","Life Insurance"
"Etiqa","-","Savings","Enrich saver","A capital guaranteed endowment plan that will provide you with a lump sum payout at maturity, guaranteed and non-guaranteed yearly cash benefits and the flexibility to start saving from as low as S$125 a month.

Key benefits

Choose a premium term from as short as 2 years
Option to withdraw or accumulate your yearly cash benefit
Protection for Death and Terminal Illness
No medical examinations required","Life Insurance"
"Etiqa","-","Critical Illness","Essential Cancer Care","Fixed term protection from all stages of cancer, and death
Payout of 50% sum insured for early & intermediate stages of cancer
Payout of 100% sum insured for severe stage cancer
Monthly payout benefit for severe stage cancer","Life Insurance"
"Etiqa","-","Critical Illness","Essential critical secure","Fixed term protection from terminal illness, total and permanent disability and death
Flexibility of policy term from 5 years (renewable), 20 years or up to age 65
Select your preferred sum insured from $50,000 to $2 million
Option to add on rider for protection against 30 critical illnesses 2

 

 1Applicable to DIRECT – Etiqa term life II plan only.

 ","Life Insurance"
