"insurer","bank_name","product_type","product_name","product_description","insurance_type"
"China Life","-","Savings","China Life SaveForward Endowment Plan","Your savings goal, whether it’s for your child’s education, purchase of property or even a coveted exotic holiday with your loved ones, can all come true. With China Life SaveForward Endowment Plan, you can choose when you want to receive a lump sum maturity payout with our wide range of policy terms (8 to 20 years) that suit your lifestyle or financial needs. You can also choose to pay premiums for as short as 5 years or up to 15 years. So, move closer to your savings goals with us today.","Life Insurance"
"China Life","-","Savings","China Life FlexiCash Growth","Whether you are saving to buy your dream home or saving for future, you can be closer to realising your savings goals with our China Life FlexiCash Growth. With this plan, you will receive a guaranteed lump sum payout when your plan matures. What’s more, you will enjoy guaranteed yearly cash benefit and get protected at the same time during the policy term.","Life Insurance"
"China Life","-","Savings","China Life Prosperous Retirement","Dream of a peaceful and carefree retirement after a lifetime of hard work? Don’t worry, all you need to do is to plan ahead with China Life Prosperous Retirement!","Life Insurance"
"China Life","-","Savings","China Life Harvest Income Plan (USD)","China Life Harvest Income Plan (USD) allows you to accumulate wealth in a simple and flexible way and easily cope with your financial needs at different stages of your life. This product provides lifetime income1 and is designed for long-term savings, with single, 5-year or 10-year payment term options for selection. This is a capital guaranteed2 plan which provides you with guaranteed yearly income1 to protect your wealth, and will distribute a non-guaranteed loyalty bonus6 every five years, allowing you to pursue your ideal lifestyle, have a documented financial future, and easily cope with retirement living expenses and education expenses for children. For the premature death3 or terminal illness4, this plan will also provide you with a death benefit to give you and your family peace of mind and a lasting gift for future generations. Signing up is simple and convenient, and there is no need for any medical examination.","Life Insurance"
"China Life","-","Savings","China Life Lifetime Income Plan","China Life Lifetime Income Plan is a participating whole life plan that enables you to save and receive a lifetime of yearly income1, as well as enjoy peace of mind with capital guarantee2 and coverage against premature death3 and terminal illness4. You can also secure your whole life plan against unforeseen circumstances by adding our riders to your plan today. With China Life, you can live your life to the fullest, knowing that China Life is always behind you for what’s ahead!","Life Insurance"
"China Life","-","Savings","China Life Lifetime Income Supreme Plan","China Life Lifetime Income Supreme Plan is a participating whole life plan that is uniquely designed to help you enhance your wealth, enjoy a comfortable retirement, and leave a lasting legacy for generations to come.","Life Insurance"
"China Life","-","Savings","China Life Lifetime Income Plan (RMB)","China Life Lifetime Income Plan (RMB) is a participating whole life plan that enables you to save and receive a lifetime of yearly income1, as well as enjoy peace of mind with capital guarantee2 and coverage against premature death3 and terminal illness4. With China Life, you can live your life to the fullest, knowing that China Life is always behind you for what’s ahead!","Life Insurance"
"China Life","-","Savings","China Life Harvest Income Supreme Plan (USD)","China Life Harvest Income Supreme Plan (USD) is a participating whole life insurance designed for legacy and wealth planning with single, 5-year or 10-year payment term options for selection. It offers both guaranteed and non-guaranteed lifelong yearly income1. The plan provides financial protection in case of death3 and terminal illness4. For multi-generational income, Contingent Life Insured (s) 5 can be appointed. Additionally, the plan allows participation in the performance of the participating fund through non-guaranteed yearly income, loyalty bonus, and terminal bonus.","Life Insurance"
"China Life","-","Legacy","China Life Eternal Wealth","China Life Eternal Wealth is designed to serve your wealth accumulation needs for many generations to come. You can garner the power of time that lasts beyond your life, growing and leaving a legacy for your future generations.","Life Insurance"
"China Life","-","Legacy","China Life Eternal Wealth (USD)","China Life Eternal Wealth (USD) is designed to serve your wealth accumulation needs for many generations to come. You can garner the power of time that lasts beyond your life, growing and leaving a legacy for your future generations.","Life Insurance"
"China Life","-","H&P","China Life Personal Accident Cashback Plan","China Life Personal Accident Cashback Plan is a 5-year renewable1 plan that gives you financial protection against Accidental Death, Accidental Disability and it pays out Daily Hospital Cash benefit if you have to be hospitalised due to an injury caused by an accident during the policy term. With this plan, you will also receive cashback2 on your premiums at the end of every 5 years.","Life Insurance"
"China Life","-","Life","China Life Term Guardian","China Life Term Guardian is a regular premium term plan which provides you with financial protection in the event of death1 and terminal illness2 as well as total and permanent disability3. You can choose the duration of your coverage - 5 years, 20 years or up to age 64, according to your needs. What’s more, you can also add riders to your term plan for greater peace of mind.","Life Insurance"
"China Life","-","Life","China Life Whole Life Guardian","As you journey through different life stages, you would want to secure financial protection to ensure that you and your loved ones will be provided for in the event of death1, terminal illness2 (TI), total and permanent disability3 (TPD). China Life Whole Life Guardian is a whole life plan which in addition to giving you the peace of mind and financial protection, allows you to choose to pay premiums for as short as 5 years or up to 25 years4. What’s more, you can also secure your whole life plan against unforeseen circumstances by adding our riders to your plan today.","Life Insurance"
"China Life","-","Medical","China Life MediCash Guardian","We understand that hospitalisation can cause loss of income and strain your finances. You can complement your existing hospitalisation plans with China Life MediCash Guardian and receive a guaranteed income while you are hospitalised. This is a yearly renewable plan that provides a cash payout for each day of confinement in a hospital due to an illness or an accident which means that you can use this income to pay for alternative treatments or for your other needs, giving you peace of mind to focus on your recovery.","Life Insurance"
"China Life","-","Life","DIRECT – China Life Term Plan","DIRECT – China Life Term Plan is a regular premium term plan which provides financial protection in the event of death, terminal illness (TI) and total and permanent disability (TPD). As this is a direct purchase insurance plan, you may purchase the plan directly from us without seeking advice from a financial adviser.","Life Insurance"
"China Life","-","Life","DIRECT – China Life Whole Life Plan","DIRECT – China Life Whole Life Plan is a regular premium, participating whole life plan which provides financial protection in the event of death, terminal illness (TI) and total and permanent disability (TPD). It also allows you to participate in the performance of our participating fund in the form of non-guaranteed bonuses. As this is a direct purchase insurance plan, you may purchase the plan directly from us without seeking advice from a financial adviser.","Life Insurance"
"China Life","-","Critical Illness","China Life Cancer Guardian","Cancer cases have been on the rising trend over the years and survival rates for people with cancer have greatly improved as well with advancements in cancer treatments. However, living with cancer and pro-longed treatment might drain our savings and cause loss of income. With China Life Cancer Guardian, it provides you with a peace of mind knowing that you are protected against death1 and the diagnosis of cancer2 at all stages during the policy term and with the 100% payout of sum insured, it allows you to focus on the treatment and recovery during this difficult time. What’s more, you will be rewarded with No Claim Discount3 in the subsequent renewable year by living in the pink of health.","Life Insurance"
"China Life","-","Life","China Life Multiplier Guardian Series","China Life Multiplier Guardian Series comprises of two whole life plans, Multiplier Guardian and Multiplier Guardian Plus. It provides financial protection against death1, total and permanent disability2, terminal illness3 and any of the 38 critical illnesses (CIs)4 throughout the policy term. You can select your desired protection level by multiplying your coverage by 1, 2, 3 or 4 times of the sum insured and pick the premium payment term that is most suitable for you. In addition, you have the option to increase your coverage during the important milestones of your life without further underwriting and enjoy yearly retirement benefit as early as from age 555. What’s more, you can also secure your whole life plan against unforeseen circumstances by adding our riders to your plan today. Watch the video: https://www.youtube.com/watch?v=xkiAwjeDPxA","Life Insurance"
"China Life","-","H&P","China Life Accident Guardian","Nobody wants accidents, but when they happen, we want you to have the best coverage possible. China Life Accident Guardian is a yearly renewable plan1 that offers comprehensive financial support to you and your family. Enjoy 24/7 worldwide coverage on accidental death, disability, hospital cash benefits, medical expenses2 including TCM and chiropractic treatments, and a whole lot more.","Life Insurance"
"China Life","-","Life","China Life Term Guardian Plus","China Life Term Guardian Plus is a non-participating regular premium term insurance plan that provides financial protection in the event of Death1, Terminal Illness2, Total and Permanent Disability3 as well as Terminal Cancer4 during the policy term. In addition, there are also Option to Purchase Additional Insurance5 or to convert6 your term plan to other life insurance plans.","Life Insurance"
"China Life","-","Critical Illness","SOPHY","– Systems Of Pivotal HumanbodY Conventional critical illness plans covering hundreds of medical conditions can be overwhelming when it comes to making decisions for your protection needs. Hence, introducing to you SOPHY, a yearly renewable1 critical illness plan with not only easy-to-understand body-system-based coverages, but also future-proof that leap beyond the covered multifarious CI conditions commonly defined today. With SOPHY, you can get covered for diseases that are not yet discovered today!","Life Insurance"
