"insurer","bank_name","product_type","product_name","product_description","insurance_type","discovered_place"
"AIA","-","Critical Illness","AIA Absolute Critical Cover","Cover ​multi-stage ​critical illnesses​, chronic, age-related​​ and​ other future diseases​ plus potential cash value.","Life Insurance","Insurer"
"AIA","-","Travel","AIA Around the World Plus (II)","​​​Travel without worries with extensive protection covering pre- to post-trip, COVID-19, trip cancellations and medical expenses.","General Insurance","Insurer"
"AIA","-","Critical Illness","AIA Beyond Critical Care","Receive​ premium refund on top of protection against major stage critical illnesses (CIs) and relapse as well as mental illnesses​","Life Insurance","Insurer"
"AIA","-","H&P","AIA Centurion PA","Age confidently with the first personal accident plan that offers multi-stage dementia coverage and services","Life Insurance","Insurer"
"AIA","-","Critical Illness","AIA Diabetes Care","​​Get ground-breaking diabetes insurance coverage for pre-diabetics and Type 2 diabetics to get the financial safety net you need.​","Life Insurance","Insurer"
"AIA","-","Home","AIA Elite HomeCare","Secure your household with a one-stop home insurance solution that covers your home, family and pets, even when you travel.","General Insurance","Insurer"
"AIA","-","Investment","AIA Elite Secure Income","​Retire ​better than planned​ with ​t​he first​ affordable​ capital guaranteed investment-linked plan from ​just​ ​​$300 a month​,​ ​​​with no medical questions asked​.​​​","Life Insurance","Insurer"
"AIA","-","Critical Illness","AIA Glow of Life","​Stay protected with critical illness​ coverage tailored for women​,​ ​including prevalent female cancers. ​​","Life Insurance","Insurer"
"AIA","-","Life, Savings","AIA Guaranteed Protect Plus (IV)","A whole life insurance single solution that offers up to 5 times boosted coverage while accumulating stable cash value over time.","Life Insurance","Insurer"
"AIA","-","Medical","AIA HealthShield Gold Max","​​​A​ Medisave-approved Integrated Shield Plan ​consisting​ of MediShield Life and ​​private insurance coverage ​​​for private or public hospital​ treatment​.​​","Life Insurance","Insurer"
"AIA","-","Medical","AIA Hospital Income","​Enjoy a financial buffer on top of your hospitalisation plan, so you can handle extra expenses while recovering – all from S$0.85 per day.","Life Insurance","Insurer"
"AIA","-","Investment","AIA Invest Easy","​​​G​row and maximise your investments​ easily​ through a variety of funds and portfolios​, ​w​​​ith no medical questions asked​​​.​​​","Life Insurance","Insurer"
"AIA","-","Life","AIA Life Dividends","The only whole life protection plan with annual dividends which you can withdraw flexibly","Life Insurance","Insurer"
"AIA","-","Life, Home","AIA Mortgage Reducing Term Assurance","​K​eep the family home in the family for generations to come​ with​ a flexible protection home mortgage insurance plan ​created ​for homeowners​.​​","Life Insurance, General Insurance","Insurer"
"AIA","-","Medical","AIA Mum2Baby Choices","Protect both mother and child from as early as the 13th week of pregnancy, with​ guaranteed lifelong protection for your child up to age 100.","Life Insurance","Insurer"
"AIA","-","Disability","AIA Pay Protector","​​Safeguard​ your income till age 65​ against injury, illness ​or mental ​​​conditions that ​​result in pausing your career or an unfortunate job loss​.","Life Insurance","Insurer"
"AIA","-","H&P","AIA Platinum AccidentCare","Enjoy optimal worldwide accident coverage so you can continue enjoying the lifestyle you have built., Receive optimal worldwide coverage that offers high payouts when accidents happen, so you can continue enjoying the lifestyle you have built.","Life Insurance","Insurer"
"AIA","-","Legacy","AIA Platinum Generations (II)","Protect, preserve, and grow your wealth across not just one, but up to three generations.","Life Insurance","Insurer"
"AIA","-","Savings","AIA Platinum Gift for Life Series","Enjoy and pass on the fruits of your success with AIA Platinum Gift for Life series (AIA Platinum Gift for Life Plus and AIA Platinum Gift for Life Plus (II)) that are specially designed to supplement the lives of three generations.","Life Insurance","Insurer"
"AIA","-","H&P, Medical","AIA Platinum Health","​​Safeguard your health and assets with a comprehensive medical insurance plan​ ​that covers​ hospitalisation and ​surgery​ ​for life​., As a jet-setting professional, you can enjoy comprehensive hospitalisation and surgical coverage anytime, anywhere.","Life Insurance","Insurer"
"AIA","-","Legacy","AIA Platinum Heritage Wealth (II)","​Protect everything you've worked for with a​ whole life plan ​that generates​ stable wealth growth​ to create your own lasting legacy.​​","Life Insurance","Insurer"
"AIA","-","Legacy","AIA Platinum Indexed Legacy","Experience stability & unlock higher growth with a fixed account & internationally recognized index.","Life Insurance","Insurer"
"AIA","-","Savings","AIA Platinum Infinite Wealth","Your wealth is a powerful legacy. Grow and share it across generations with infinite possibilities through flexibility.","Life Insurance","Insurer"
"AIA","-","Legacy","AIA Platinum Legacy (IX)","Enhance your financial assets and transfer your estate the way you wish with a legacy plan that empowers your children to build on your success","Life Insurance","Insurer"
"AIA","-","Investment, Savings","AIA Platinum Retirement Elite","A retirement plan expertly crafted for you.","Life Insurance","Insurer"
"AIA","-","Investment, Legacy","AIA Platinum Wealth Elite","A first-in-market, bespoke wealth solution that lets you tap on world-class institutional asset managers to help achieve your wealth creation goals., A bespoke wealth solution that lets you tap on world-class institutional asset managers to help achieve your wealth creation goals.","Life Insurance","Insurer"
"AIA","-","Investment, Legacy","AIA Platinum Wealth Legacy","​​Enjoy​ the ideal balance ​of​ wealth accumulation and guaranteed long-term security for ​​​your ​family regardless of ​how the markets perform​.","Life Insurance","Insurer"
"AIA","-","Investment, Savings","AIA Platinum Wealth Venture","Stay agile with regular dividends as you grow your wealth","Life Insurance","Insurer"
"AIA","-","Disability","AIA Premier Disability Cover","Secure your family's finances with a disability insurance that ensures an ongoing income if you ever become unable to work. ​","Life Insurance","Insurer"
"AIA","-","H&P","AIA Prime Assured","​​With worldwide personal accident insurance, you can enjoy your golden years with the peace of mind you deserve​​.​","Life Insurance","Insurer"
"AIA","-","Critical Illness","AIA Prime Critical Cover","​​​Get ​easy access to affordable and comprehensive ​critical illness ​insurance ​coverage ​up to age 100​.","Life Insurance","Insurer"
"AIA","-","Investment","AIA Pro Achiever 3.0","Achieve higher growth with regular bonuses and 100% of your premiums invested from day one.​","Life Insurance","Insurer"
"AIA","-","Life, Investment","AIA Pro Lifetime Protector (II)","Get a protection and investment plan shaped to your family's needs, with coverage against death, disability and multi-stage critical illnesses.","Life Insurance","Insurer"
"AIA","-","Savings","AIA Retirement Saver (IV)","Take charge of retirement planning with a retirement insurance plan that helps you live your desired lifestyle with no medical check-up required.","Life Insurance","Insurer"
"AIA","-","Life","AIA Secure Flexi Term","Safeguard your loved ones' future with an affordable and flexible term life insurance plan that's just right for your needs.","Life Insurance","Insurer"
"AIA","-","Savings","AIA Smart Flexi Growth","​​Set​ aside a fixed amount regularly​ and enjoy flexible premium and coverage period options with a smart savings plan that builds towards the future you have in mind.","Life Insurance","Insurer"
"AIA","-","Savings","AIA Smart Flexi Rewards (II)","​​Build a flexible​ ​savings ​plan according to ​your preferred savings timeline,​ payment and coverage period,​ with the option to withdraw or accumulate the yearly guaranteed coupon.​","Life Insurance","Insurer"
"AIA","-","Savings","AIA Smart Goal 10","Enjoy competitive potential returns for 10 years with only 3 years of premium payments, so you can accelerate your savings.","Life Insurance","Insurer"
"AIA","-","Savings","AIA Smart Wealth Builder Series","​​​​Tap into a​ series of savings plan​s​ ​​​aimed at wealth accumulation,​ ​​​with​ the flexibility to withdraw ​​funds to support your goals.","Life Insurance","Insurer"
"AIA","-","H&P","AIA Solitaire PA (II)","Enjoy 24/7 worldwide coverage for personal accidents, dengue fever, medical and TCM treatment costs, food poisoning and more from as low as S$0.62 a day.","Life Insurance","Insurer"
"AIA","-","H&P","AIA Star Protector Plus","Give your child worldwide protection against accidental injuries and burns, as well as coverage for 16 common diseases.","Life Insurance","Insurer"
"AIA","-","Critical Illness","AIA Ultimate Critical Cover","Stay resilient with unlimited critical illness claims and 100% coverage reset to recover financially.","Life Insurance","Insurer"
"AIA","-","Life","DIRECT - AIA Term Cover","​​Secure cost-effective protection for your family with a Direct Purchase term life insurance plan that offers high coverage at low premiums.​​ ​","Life Insurance","Insurer"
"AIA","-","Life","DIRECT - AIA Whole Life Cover (II)","​​Protect yourself with an affordable whole life insurance plan that provides coverage​ up to the age of 100 ​with ​stable long-term returns​.​","Life Insurance","Insurer"
"Etiqa","-","Critical Illness","Cancer Insurance","Lifelong protection against death, total & permanent disability (until age 70) and terminal illness
Flexible premium term from 5, 10, 15 or 20 years
Up to 4x benefits
Retirement payout option from age 65","Life Insurance","Insurer"
"Etiqa","-","Savings","Enrich assure","A capital guaranteed endowment plan with lump sum payout upon maturity.

Key benefits

Lump sum payout upon maturity
Flexible premium term of 3, 5, 10, 15, or 20 years
Capital guaranteed from year 5 to 15
No medical check required","Life Insurance","Insurer"
"Etiqa","-","Savings","Enrich flex plus","A capital guaranteed endowment plan that will help you achieve your life goals at the end of 15 years.

Key benefits

Flexible policy term of 15, 24 or 29 years
Short premium term of 7 years
Capital guaranteed at the end of 15 years
No medical check required","Life Insurance","Insurer"
"Etiqa","-","Savings","Enrich goal","A whole life insurance plan designed to provide you with a regular stream of monthly income.

Key benefits

Lifetime monthly income
Lump sum payout upon maturity
Flexible premium term of 3, 5, 10, 15, or 20 years
No medical check required","Life Insurance","Insurer"
"Etiqa","-","Savings","Enrich income","A capital guaranteed endowment plan with lump sum maturity benefit and a monthly retirement income.

Key benefits

Lump sum payout upon maturity
Flexible premium term of 2, 5 or 10 years
Monthly retirement income for 10 or 20 years
Capital guaranteed upon reaching your selected retirement age","Life Insurance","Insurer"
"Etiqa","-","Savings","Enrich retirement","A capital guaranteed endowment plan with guaranteed yearly cash benefits and a lump sum maturity payout at the end of 10 years.

Key benefits

Lump sum payout upon maturity
Short premium term of 3 years
Guaranteed yearly cash benefits from the end of year 3
Capital guaranteed at the end of 10 years","Life Insurance","Insurer"
"Etiqa","-","Savings","Enrich rewards","A capital guaranteed endowment plan that will provide you a lump sum maturity payout at the end of 10 policy years.

Key benefits

Lump sum payout upon maturity
Short premium term of 5 years
Capital guaranteed at the end of 10 years
No medical check required","Life Insurance","Insurer"
"Etiqa","-","Savings","Enrich saver","A capital guaranteed endowment plan that will provide you with a lump sum payout at maturity, guaranteed and non-guaranteed yearly cash benefits and the flexibility to start saving from as low as S$125 a month.

Key benefits

Choose a premium term from as short as 2 years
Option to withdraw or accumulate your yearly cash benefit
Protection for Death and Terminal Illness
No medical examinations required","Life Insurance","Insurer"
"Etiqa","-","Critical Illness","Essential Cancer Care","Fixed term protection from all stages of cancer, and death
Payout of 50% sum insured for early & intermediate stages of cancer
Payout of 100% sum insured for severe stage cancer
Monthly payout benefit for severe stage cancer","Life Insurance","Insurer"
"Etiqa","-","Critical Illness","Essential critical secure","Fixed term protection from terminal illness, total and permanent disability and death
Flexibility of policy term from 5 years (renewable), 20 years or up to age 65
Select your preferred sum insured from $50,000 to $2 million
Option to add on rider for protection against 30 critical illnesses 2

 

 1Applicable to DIRECT – Etiqa term life II plan only.

 ","Life Insurance","Insurer"
"Etiqa","-","Life","Essential term life cover","Affordable, fixed term protection from death or terminal illness
Flexible policy term from 5 years (renewable), 10 years – Until age 86 (every one year interval) or until 100 years old
Flexibility to increase sum insured, add on riders or convert to whole life plan","Life Insurance","Insurer"
"Etiqa","-","Life","Essential whole life cover","100% payout for all stages of cancer
Choice of sum insured from S$50,000, S$100,000 and S$200,000
Death payout of S$5,000
Yearly renewable with 6% savings","Life Insurance","Insurer"
"Etiqa","-","Savings","Esteem eternity II","Grow your wealth for retirement, or seamlessly pass it on from one generation to the next with this whole life insurance plan.

Lifetime monthly income
Single premium, lifetime protection
Assurance with immediate liquidity
Hassle-free application

 

Product Brochure

Policy Contract","Life Insurance","Insurer"
