"insurer","bank_name","product_type","product_name","product_description","insurance_type"
"Prudential","-","Medical","Care Secure (CareShield Life Supplement)","Supplement your CareShield Life plan with enhanced long-term coverage against moderate and severe disabilities.","Life Insurance"
"Prudential","-","Life","DIRECT - PRUProtect Life II","A whole life insurance plan that offers financial protection in the event of death, terminal illness and permanent disability.","Life Insurance"
"Prudential","-","Life","DIRECT - PRUProtect Term","A term insurance plan tailored to protect you and your loved ones based on your protection needs.","Life Insurance"
"Prudential","-","Life","DIRECT - PRUProtect Term 5","A 5-year renewable term insurance plan that protects you and your loved ones based on your protection needs should the unforeseen happen.","Life Insurance"
"Prudential","-","Savings","PRUActive Cash","Say Yes to an insurance savings plan with yearly cash benefit, that gives you the flexibility and structure to meet today’s needs, with tomorrow’s dreams in mind.","Life Insurance"
"Prudential","-","Life","PRUActive Life III","A customisable whole life insurance plan designed for your growing needs, providing comprehensive protection at every stage.","Life Insurance"
"Prudential","-","Life, Investment","PRUActive LinkGuard","An affordable and flexible investment-linked whole life insurance plan that gives you double coverage against unexpected events.","Life Insurance"
"Prudential","-","Critical Illness","PRUActive Protect","A customisable critical illness insurance plan that can be built as you grow, providing coverage against recurring early stage critical illnesses and more.","Life Insurance"
"Prudential","-","Savings","PRUActive Retirement II","A first-of-its-kind highly customisable retirement plan designed to weather market volatility, providing you with a steady cumulative retirement income.","Life Insurance"
"Prudential","-","Savings","PRUActive Saver III","A customisable insurance savings plan that helps you save for any key milestones in life.","Life Insurance"
"Prudential","-","Life","PRUActive Term","A unique and customisable term insurance plan designed to keep up with your changing needs.","Life Insurance"
"Prudential","-","Critical Illness","PRUCancer 360","An affordable cancer insurance plan that provides multi-stage coverage against all cancers.","Life Insurance"
"Prudential","-","Critical Illness","PRUEarly Stage Crisis Cover","An early stage critical illness insurance plan that offers financial support right from the early stages of selected critical illnesses.","Life Insurance"
"Prudential","-","Medical","PRUExtra","Complement your PRUShield plans with PRUExtra to enjoy greater coverage.","Life Insurance"
"Prudential","-","Life","PRUFirst Gift II","A bundled maternity insurance plan comprising of PRUMum and PRUActive LinkGuard to protect mum and baby from pregnancy up to childbirth and beyond","Life Insurance"
"Prudential","-","Life","PRUFirst Promise","A bundled maternity insurance plan that protects both mum and baby from as early as week 13 of pregnancy, providing baby with a gift of protection from day one and beyond.","Life Insurance"
"Prudential","-","Critical Illness","PRULady","A unique health insurance plan tailored for women against female-specific critical illnesses.","Life Insurance"
"Prudential","-","Life, Legacy","PRULife Vantage Achiever Prime Series","A whole life protection plan with flexible premium term feature that multiplies the sum assured up to age 85 or 100 to provide financial security throughout your lifetime., A legacy plan that secures the future for your loved ones, PRULife Vantage Achiever Prime Series lets you build lasting success for generations to come.","Life Insurance"
"Prudential","-","Savings","PRULifetime Income Plus","Fuel your passions with a lifetime of income","Life Insurance"
"Prudential","-","Investment","PRULink ActiveInvest Portfolio Fund","Making investing easy and hassle-free, so you can focus on what matters to you.","Life Insurance"
"Prudential","-","Investment","PRULink FlexGrowth","A single premium investment-linked plan that secures your wealth growth and safeguards it.","Life Insurance"
"Prudential","-","Investment","PRULink InvestGrowth","An investment-linked plan that provides all-round flexibility and lets you build wealth your way.","Life Insurance"
"Prudential","-","Investment","PRULink Islamic Global Equity Index Fund","Unify life values and wealth to build tomorrow your way.","Life Insurance"
"Prudential","-","Critical Illness","PRUMan","A unique health insurance plan tailored for men against male-specific critical illnesses.","Life Insurance"
"Prudential","-","Home","PRUMortgage","Helps you take care of outstanding mortgage payments if you or your spouse were to pass on.","Life Insurance"
"Prudential","-","Home","PRUMortgage Refund Premier","A single premium plan that protects you against mortgage liability in the event the unforeseen happens.","Life Insurance"
"Prudential","-","Critical Illness, Life","PRUMum","A standalone maternity insurance plan that protects you from as early as week 13 of pregnancy through to the start of motherhood.","Life Insurance"
"Prudential","-","Medical","PRUPanel Connect","A suite of value-added services to make your healthcare journey simpler.","Life Insurance"
"Prudential","-","H&P","PRUPersonal Accident","Personal accident insurance to cover minor mishaps or unexpected injuries even when you’re overseas.","Life Insurance"
"Prudential","-","Critical Illness","PRUSafe BreastCancer","An affordable breast cancer insurance plan providing women aged 19 – 39 with coverage against all stages of breast cancer.","Life Insurance"
"Prudential","-","H&P","PRUSafe COVIDCover","Have a worry-free COVID-19 vaccination with complimentary protection from side effects.","Life Insurance"
"Prudential","-","H&P","PRUSafe Dengue","An affordable and comprehensive health insurance plan that provides coverage against dengue fever.","Life Insurance"
"Prudential","-","Life","PRUSafe Income","A simple and affordable income protection plan that provides a guaranteed income and recovery benefits when you are unable to work due to an injury or illness.","Life Insurance"
"Prudential","-","Critical Illness","PRUSafe Prostate Cancer","An affordable prostate cancer insurance plan providing men aged 19 – 39 with coverage against all stages of prostate cancer.","Life Insurance"
"Prudential","-","Savings","PRUSave Max Limited Pay (USD)","A flexible insurance savings plan that allows you to capitalise on wealth accumulation opportunities in the US economy.","Life Insurance"
"Prudential","-","Investment","PRUSelect","A regular premium investment-linked plan that grows your wealth to help achieve your life goals.","Life Insurance"
"Prudential","-","Investment","PRUSelect Vantage (SGD)","A regular premium investment-linked plan designed to make the most of your investments.","Life Insurance"
"Prudential","-","Investment","PRUSelect Vantage Premier (SGD)","A single premium investment-linked plan designed to make the most of your investments.","Life Insurance"
"Prudential","-","Medical","PRUShield","Comprehensive health insurance coverage to suit your budget and needs.","Life Insurance"
"Prudential","-","Investment","PRUVantage Assure Series","A flexible investment-linked plan that protects and grows your wealth so that you can keep up with changing times.","Life Insurance"
"Prudential","-","Legacy","PRUVantage Legacy Index","An Indexed Universal Life plan that helps you preserve, grow and craft a lasting legacy for the ones you treasure most.","Life Insurance"
