"insurer","bank_name","product_type","product_name","product_description","insurance_type"
"Tokio Marine","-","Critical Illness, Disability","#go TotalProtect Cancer","Your peace of mind. Our total protection.","Life Insurance"
"Tokio Marine","-","Savings","Education","Create a brighter future for your young ones, By submitting this form, you agree to let Tokio Marine Insurance Group collect and use your data.","Life Insurance"
"Tokio Marine","-","Investment","Investments","Maximise your wealth potential, By submitting this form, you agree to let Tokio Marine Insurance Group collect and use your data.","Life Insurance"
"Tokio Marine","-","Life","Life Insurance","Provide for your loved ones through it all, By submitting this form, you agree to let Tokio Marine Insurance Group collect and use your data.","Life Insurance"
"Tokio Marine","-","H&P","Personal Accident Insurance","Safeguard yourself from the unforeseen, By submitting this form, you agree to let Tokio Marine Insurance Group collect and use your data.","Life Insurance"
"Tokio Marine","-","Motor","Private Motor Insurance","Step on the assurance. Drive up your confidence","General Insurance"
"Tokio Marine","-","Savings","Savings","Grow your money for the key milestones, By submitting this form, you agree to let Tokio Marine Insurance Group collect and use your data.","Life Insurance"
"Tokio Marine","-","Critical Illness, Disability","TM EarlyCover","Timely treatment for critical illnesses makes all the difference","Life Insurance"
"Tokio Marine","-","Home","TM Flexi-Home Enhance","Designed to bring You the essential protection for Your assets and lifestyle under one single Policy","General Insurance"
"Tokio Marine","-","Critical Illness, Disability","TM MultiCare","Comprehensive protection against multiple critical illnesses","Life Insurance"
"Tokio Marine","-","Critical Illness, Disability","TM Protect Cancer","Stay a step ahead of Cancer","Life Insurance"
"Tokio Marine","-","Savings","TM Retirement GIO Plus (II)","Start early to secure your ideal retirement lifestyle","Life Insurance"
"Tokio Marine","-","H&P","TM365","Comforting news for your family. Thoughtful planning for the unexpected.","General Insurance"
"Tokio Marine","-","Travel","Travel Insurance (TM Xplora Plus)","[Buy online now] Purchases can be made as early as 6 months before your next trip commences!","General Insurance"
"","","Scraped at",":","2024-09-13 22:24 +08",""
