"product_type","product_category","product_name","product_description"
"Health Protection","LIFE PROTECTION","A-LifeLink 2","Offers protection and investment coverage from RM150 per month.
Enjoy the flexibility of adjusting your protection and savings level."
"Health Protection","MEDICAL PROTECTION","A-Plus Health","Comprehensive medical coverage.
Coverage for recovery treatments and medical related equipment."
"Health Protection","MEDICAL PROTECTION","A-Plus Health 2","Comprehensive health protection coverage.
Coverage for recovery treatments and medical related equipment."
"Health Protection","LIFE PROTECTION","A-Life Idaman","A comprehensive takaful solution all in one product.
Attach our variety of riders to enhance your coverage."
"Health Protection","MEDICAL PROTECTION","A-Plus Health Flex-i","A-Plus Health Flex-i is designed to provide comprehensive medical coverage that safeguards you against escalating medical costs.
No lifetime limit and rewards you for making healthy choices."
"Health Protection","MEDICAL PROTECTION","A-Life MediFlex","Flexible medical protection to start your health journey."
"Health Protection","MEDICAL PROTECTION","A-Life Mediflex-i","Flexible medical protection to start your health journey."
"Health Protection","LIFE PROTECTION","A-Life Joy Xtra","Offers coverage and savings opportunities for your child from RM150 per month.
Flexible to be adjusted to your preferred protection and savings level."
"Health Protection","LIFE PROTECTION","A-Life Kasih Famili","A family takaful plan that caters to all the protection needs of your family."
"Health Protection","CRITICAL ILLNESS PROTECTION","A-Life Essential Critical Care","Offers a simple and affordable plan that protects you against advanced stage critical illnesses.
Join AIA Vitality to enjoy Health Screening Benefit and Yearly Cash Bonus as a reward for your healthy choices."
"Health Protection","CRITICAL ILLNESS PROTECTION","A-Life Kritikal Protector","Provides a lump sum payment if you are diagnosed with a critical illness, so you can focus on your recovery.
Get additional coverage through Vitality Booster as an AIA Vitality member."
"Health Protection","CRITICAL ILLNESS PROTECTION","A-Life Beyond Critical Care","Comprehensive critical illness coverage until the age of 80.
Covers from early detection to prevention, and from treatment to recovery."
"Health Protection","LADY PROTECTION","A-Life Lady","Comprehensive protection plan for women.
Provides life insurance benefits specially designed for women."
"Health Protection","LADY PROTECTION","A-Life Lady-i","A comprehensive takaful protection plan tailored for women's health needs."
"Health Protection","CRITICAL ILLNESS PROTECTION","A-Life Cancer360","A-Life Cancer360 provides coverage for early to advanced stages of cancer."
"Health Protection","CRITICAL ILLNESS PROTECTION","A-Life Cancer360-i","Provides coverage for early to advanced stages of cancer.
Make healthy choices with AIA Vitality and enjoy Yearly Cash Bonuses."
"Health Protection","CRITICAL ILLNESS PROTECTION","AIA Critical Illness Cover","Covers you for 39 critical illnesses at an affordable price."
"Health Protection","CRITICAL ILLNESS PROTECTION","AIA i-Critical Illness Cover","An affordable takaful Critical Illness plan that covers you for 39 critical illnesses.
Coverage from as low as RM0.08 per day."
"Health Protection","MEDICAL PROTECTION","AIA Med Basic","An affordable medical plan that covers the cost of your medical treatment and hospitalisation."
"Health Protection","MEDICAL PROTECTION","AIA i-Med Basic","An affordable takaful medical plan that covers the cost of your medical treatment and hospitalisation."
"Health Protection","LIFE PROTECTION","AIA One Plan","An affordable life insurance that covers death as well as total and permanent disability (TPD)."
"Health Protection","LIFE PROTECTION","AIA i-One Plan","An affordable takaful life plan that covers death as well as total and permanent disability (TPD)."
"Health Protection","LIFE PROTECTION","AIA Starter Plan","An affordable insurance plan with death coverage, from RM0.09/day (*Depending on your gender, smoker status and health condition.)
Suitable if you are new to life insurance or looking for a basic insurance coverage.
This plan is only open to Malaysian citizens residing in Malaysia."
"Health Protection","LIFE PROTECTION","AIA i-Starter Plan","Most affordable takaful plan.
An affordable takaful plan with death coverage, from RM0.11/day* (*Depending on your gender, smoker status and health condition.).
Suitable if you are new to takaful plans or looking for basic coverage."
"Health Protection","CRITICAL ILLNESS PROTECTION","CI Insure","Covers 5 critical illnesses in advanced stage.
Provides monthly cash allowance for home nursing care, hospice care, palliative care and home cleaning services upon diagnosis."
"Health Protection","CRITICAL ILLNESS PROTECTION","Insure360 (Critical Illness)","Covers 5 critical illnesses in advanced stage.
Provides monthly cash allowance for home nursing care, hospice care, palliative care and home cleaning services upon diagnosis."
"Health Protection","MEDICAL PROTECTION","Insure360 (Medical)","Covers medical treatment and hospitalisation costs as an in-patient. No medical examinations required.
A selection of flexible deductible amounts to meet your personal needs and budget."
"Health Protection","CRITICAL ILLNESS PROTECTION","A-Plus Beyond Critical Shield & A-Plus Beyond Early Critical Shield","Covers up to 180 critical illness conditions."
"Health Protection","CRITICAL ILLNESS PROTECTION","A-Plus Beyond Critical Shield-i & A-Plus Beyond Early Critical Shield-i","Covers up to 180 conditions from early to advanced stages of critical illnesses."
"Health Protection","CRITICAL ILLNESS PROTECTION","A-Plus CriticalCare","Provides financial support during your recovery from a critical illness."
"Health Protection","CRITICAL ILLNESS PROTECTION","A-Plus CriticalCare-i","Provides a lump sum payment in the event the Person Covered is diagnosed to be suffering from any one of the specified critical illnesses."
"Health Protection","CRITICAL ILLNESS PROTECTION","A-Plus Multi CriticalCare","Covers up to 3 critical illnesses."
"Health Protection","MEDICAL PROTECTION","A-Plus Recover","Pays out coverage amount in the event of prolonged hospitalisations."
"Health Protection","MEDICAL PROTECTION","A-Plus Recover-i","A plan that provides coverage for severe illnesses that results in prolonged hospitalization."
"Health Protection","LIFE PROTECTION","A-Plus ParentCare Xtra","Covers death and total and permanent disability on parent."
"Health Protection","LIFE PROTECTION","A-Plus ParentCare Xtra-i","Provides coverage for death and total and permanent disability of the parent."
"Health Protection","MEDICAL PROTECTION","A-Plus BabyCare Xtra","Covers pregnancy and child care benefits."
"Health Protection","MEDICAL PROTECTION","A-Plus BabyCare Xtra-i","Offers enhanced coverage during your initial months of pregnancy.
Provides best-in-class protection for your child during those crucial years of infancy."
"Health Protection","CRITICAL ILLNESS PROTECTION","A-Plus Critical Shield-i","Provides a lump sump payment if you are diagnosed with a critical illness."
"Health Protection","MEDICAL PROTECTION","A-Plus MedCare","Provides you with a Personal Medical Case Management (PMCM) benefit."
"Health Protection","CRITICAL ILLNESS PROTECTION","A-Plus Beyond Advance Care","Provides coverage for 75 advance stage critical illness."
