"product_type","product_name","product_description"
"Life Protection","Allianz UltimateLink","Protection and investment in one plan
Insurance protection up to age 100
Comprehensive range of optional benefits"
"Life Protection","Allianz EverLink Signature","High coverage with short commitment period & flexible coverage terms
Boost your investment with a Loyalty Bonus
Personalise your coverage with additional riders"
"Life Protection","Allianz EverLink Plus","A plan with high coverage
Death or Total and Permanent Disability (TPD)* benefits
Ensure financial stability with flexible coverage terms"
"Life Protection","Power Shield","Affordable term life insurance coverage
Flexible coverage term
Option to purchase a permanent plan"
"Life Protection","Allianz Ability Life","Premium from as low as RM50
Guaranteed renewal
Lump sum payment upon death"
"Life Protection","Allianz Kasih4All","Coverage for Death Due to Accidental or Non-Accidental Causes, up to RM30,000
Affordable premiums to suit your financial situation
Coverage term up to the Life Assured attaining 71 years old nearest birthday"
"Life Protection","Allianz Legacy Plus","Increasing Insured Amount to protect your legacy against inflation
Guaranteed Maturity Benefit to preserve your wealth for your future generation
High Non-Medical Limit of up to RM 4,000,000"
"Life Protection","Allianz i-EssentialCover","Coverage up to RM500,000
Guaranteed yearly premium
Fast, hassle free enrolment"
"Medical & Hospitalisation","Allianz Diabetic Essential","A choice of 4 medical plans
Annual health screening benefits
Enjoy annual premium discount"
"Medical & Hospitalisation","HealthInsured","No Overall Lifetime Limit
High Overall Annual Limit
Flexible deductible option"
"Medical & Hospitalisation","MediAdvantage","Overseas Medical Treatment Benefit
Second medical opinion
Seamless experience"
"Medical & Hospitalisation","Allianz i-HospitalCash","Daily cash benefit upon hospitalisation
Double cash benefit for overseas hospitalisation
No Claims Bonus at maturity"
"Medical & Hospitalisation","Allianz MediCure","A choice of 5 medical plans
5 optional deductible plans
Coverage available to both individual and multiple insured persons"
"Critical Illness","HealthCover","Coverage on 36 critical illnesses
Coverage up to age 100
 


"
"Critical Illness","HealthCover Plus","Coverage on 70 critical illnesses
Protection against 7 additional critical illnesses for those below the age of 19
Coverage up to age 100
 "
"Critical Illness","HealthCover Enhancer","Provides additional medical insurance coverage upon the first diagnosis of Carcinoma-in-Situ / pre-cancerous lesions
Provides financial protection upon the first diagnosis of Carcinoma-in-Situ / pre-cancerous lesions"
"Critical Illness","Allianz i-Cancer Care","Early or advanced stage cancer coverage
3 plans to suit different levels of cancer protection needs
Lump sum health care allowance"
"Critical Illness","Prime Care+
","Coverage on more than 150 critical illnesses
Diabetes and Cancer Recovery Benefit
 "
"Critical Illness","PreciousCover and BabyCover","Mental Health Coverage for mothers
Child Development Disorder Benefit
Prenatal and Postnatal Benefit
 "
"Critical Illness","Lady Guard","Coverage for female-related cancers
Coverage for female-related illnesses"
