"product_type","product_name","product_description"
"Family, Protection","ProtectEase","Introducing the easiest plan for you to live in total ease."
"Family, Protection","ProtectElite II","Enjoy better coverage for a secure future."
"Family, Protection","ProtectSecure","Secure your future with a plan designed to bring together the best of protection and investment benefits."
"Family, Protection","ProtectLink","A plan that safeguards you and your future."
"Family, Protection","ProtectPlus","A simple protection plan that fits seamlessly to give you even more security."
"Family, Protection","Protect20","Protect the best years of your life with a traditional non-participating Regular Premium Term Plan."
"Family, Protection","ProtectSecure Prime","Protect your family financially during your prime years should the unfortunate happen."
"Family, Credit-related","Level Term Assurance","Pays your outstanding business loan based on level sum insured in the event of death or disability."
"Family, Credit-related","Reducing Term Assurance","Pays your outstanding business loan based on reducing sum insured in the event of death or disability."
"Family, Credit-related","Reducing Term Assurance Plus","Get a financial protection plan to offset against the outstanding balances that you may have on you business loan in the event of death or TPD."
"Family, Credit-related","Mortgage Level Term Assurance","Give your family a peace of mind with a home complete with protection."
"Family, Credit-related","AmMetLife AutoLife","Ensure your car always remains yours in the event of Death or Total and Permanent Disability."
"Family, Credit-related","Mortgage Reducing Term Assurance","Protect your home in the event of death or Total and Permanent Disability."
"Health, Hospitalisation (Agency)","HCC BoostUp + HealthCare Choice (Stand-Alone Medical Plan)","Comprehensive medical protection plan. 

 "
"Health, Hospitalisation (Agency)","ProtectIncome","Ease your financial burden with our hospital income plan. "
"Health, Hospitalisation (Agency)","HCC BoostUp Rider + HealthCare Choice Rider","Two power-packed riders in one ultimate protection plan."
"Health, Hospitalisation (Banca)","HealthCare Choice + HCC BoostUp","Let HealthCare Choice + HCC BoostUp help you live assured against unforeseen medical expenses"
"Health, Hospitalisation (Banca)","HealthCare Choice II Rider + HCC BoostUp II Rider","Let HealthCare Choice II Rider + HCC BoostUp II Rider protect you from unanticipated medical costs"
"Health, Hospitalisation (Banca)","HealthCare Daily Cash","*No description found"
"Health, Critical Illness","CriticalEase","Total protection for critical times."
"Health, Critical Illness","ProtectPrime39","Get a financial support during treatments with this critical illness plan."
"Health, Critical Illness","HealthCare Secure","Providing up to double payout & multiple claims for added protection."
"Future, Wealth","i.Am Wealth Achiever","A 5-year short premium payment term savings plan that empowers you to fulfill your life aspirations while securing exceptional 20 years of protection and reaping fantastic rewards."
"Future, Wealth","i.Am Wealth Builder","i.Am Wealth Builder can assist you to build wealth, leaving a financial legacy for your loved one and protect what matters most."
"Future, Wealth","WealthInspire","Save easily towards your goals and enjoy Guaranteed Cash Payment of up to 12% p.a. of Initial Sum Assured --- available limited time only."
"Future, Wealth","WealthEnrich","WealthEnrich is designed to give you a head start in crafting your personalised legacy plan."
"Future, Wealth","AmCapital","Building nest egg for a brighter future."
"Future, Wealth","WealthSecure Smart","Build your wealth while protecting yourself from financial hardship in unforeseen events with this limited premium payment endowment plan."
"Future, Wealth","WealthSecure Max","Secure your future and be protected with an endowment plan designed with guaranteed cash payment."
"Future, Others","Flexi TermLife","Flexible protection for your lifestyle."
