"product_type","product_name","product_description"
"Life Protection","HLA CompleteCover","Investment-Linked | Available via Life Advisor
An investment-linked plan that offers a wide array of riders to tailor to your protection needs at every stage of your life. Options to increase basic sum assured without underwriting at key milestones of your life.
Life ProtectionAccident ProtectionCritical Illness ProtectionPregnancyMedical ProtectionDisability ProtectionIncome Replacement"
"Life Protection","HLA Asset Elite","Investment-Linked | Available via Life Advisor
All-rounded protection from your prime age to your golden years, protection for yourself as well as leaving a legacy for your loved ones.
Legacy PlanningCritical Illness ProtectionLife Protection"
"Life Protection","HLA Asset Master","Investment-Linked | Available via Life Advisor
All-rounded protection from your prime age to your golden years, protection and legacy planning up to RM8 mil without going through medical check-up.
Legacy PlanningCritical Illness ProtectionLife Protection"
"Savings & Wealth Planning","HLA Wealth Booster Plus","Investment-Linked | Available via Life Advisor
An investment-linked plan with flexible payment terms starting from RM1,200 per year. Allows you to invest in a wide range of funds with unique benefits & risks, with rewards for larger premiums and longer premium-paying terms.
Savings & Wealth PlanningEducation SavingsRetirement PlanningLife Protection"
"Savings & Wealth Planning","HLA Wealth Invest","Participating | Available via Life Advisor
A participating plan that allows you to grow your savings as you receive a guaranteed income stream. Limited 6-year premium-paying term to secure a 30-year coverage.
Savings & Wealth PlanningRetirement Planning"
"Savings & Wealth Planning","HLA Wealth Gain Plus","Investment-Linked | Available via Life Advisor
An investment-linked plan with flexible payment terms starting from RM1,200 per year. Allows you to invest in a wide range of funds with unique benefits & risks, with rewards for larger premiums and longer premium-paying terms.
Education SavingsSavings & Wealth PlanningLife ProtectionRetirement Planning"
"Health & Medical Protection","HLA Premier HB","Non-Participating | Available via Life Advisor
A hospital income plan with added accidental coverages on death, disability lump sum and allowance, medical expenses and compassionate allowance.
Income ReplacementAffordable Starter Plan"
"Health & Medical Protection","HLA FiT CI","Non-Participating | Available via Life Advisor
An affordable plan against 10 major critical illnesses while also rewarding you for staying active and fit.
Critical Illness ProtectionAffordable Starter Plan"
"Health & Medical Protection","CI Shield 5","Non-Participating | Available via Online
10-year 5 major critical illness protection plan up to RM500,000 with the option to renew without underwriting. Available online.
Critical Illness ProtectionAffordable Starter Plan"
"Life Protection","HLA Life Essential","Non-Participating | Available via Life Advisor
Covers the basic needs at an affordable price, suitable for individuals as well as business owners as a starter package.
Life ProtectionAccident ProtectionCritical Illness ProtectionMedical ProtectionDisability ProtectionAffordable Starter Plan"
"Life Protection","HLA Prime Asset","Investment-Linked | Available via Life Advisor
An easy sign-on investment-linked plan with guaranteed death protection up to RM500,000 without medical check-up and no health questionnaires.
Life ProtectionLegacy Planning"
"Life Protection","HLA Prime Protect","Non-Participating | Available via Life Advisor
An easy sign-on insurance plan that offers life protection up to age 80. Enjoy 160% return of premium paid upon policy maturity if there are no early claims.
Life ProtectionAccident Protection"
"Life Protection","HLA Prime Protect Gold","Non-Participating | Available via Life Advisor
An easy sign-on insurance plan for those who are above age 40 that offers life protection up to age 80. Enjoy 110% return of premium paid upon policy maturity if there are no early claims.
Life ProtectionAccident Protection"
"Life Protection","HLA Prime Protect Plus","Non-Participating | Available via Life Advisor
An easy sign-on insurance plan that offers life protection and Total and Permanent Disability (TPD) coverage. Enjoy at least 110% return of premium paid upon policy maturity if there are no early claims.
Life ProtectionAccident ProtectionDisability Protection"
"Life Protection","HLA Vital Secure","Non-Participating | Available via Life Advisor
Specifically designed for those facing difficulty in obtaining coverage due to health issues, gain protection against major critical illnesses and others.
Life ProtectionCritical Illness ProtectionDisability Protection"
"Life Protection","Secure100","Non-Participating | Available via Life Advisor
Keep yourself secure with guaranteed lifetime financial protection up to age 100 with multiple payment choices that cater to your own preferences.
Life ProtectionLegacy PlanningDisability Protection"
"Life Protection","HLA Stackable","Non-Participating | Available via Online
A Perlindungan Tenang plan that starts from RM5 per year and allows you to stack up your coverage when you need it. Available online.
Life ProtectionAccident ProtectionDisability ProtectionIncome ReplacementAffordable Starter Plan"
"Life Protection","HLA Stackable (Package Plans)","Non-Participating | Available via Online
A Perlindungan Tenang plan that starts from RM50 per year and allows you to stack up your coverage when you need it. Available online.
Life ProtectionAccident ProtectionDisability ProtectionIncome ReplacementAffordable Starter Plan"
"Life Protection","Term Cover 10","Non-Participating | Available via Online
10-year life protection plan up to RM300,000 with the option to convert or renew without underwriting. Available online.
Life ProtectionDisability ProtectionAffordable Starter Plan"
"Life Protection","Total Cover Package","Non-Participating | Available via Online
10-year insurance combo that covers life, critical illness and hospitalisation income, with the option to renew without underwriting. Available online.
Life ProtectionDisability ProtectionIncome ReplacementAffordable Starter Plan"
"Life Protection","HLA Beyond Cancer Plan","Investment-Linked | Available via Life Advisor
Specially designed for the warriors who have survived cancer. Get the life and 10 major critical illness protection that you deserve.
Critical Illness ProtectionLife Protection"
"Health & Medical Protection","HLA FiT 3 Medi‑Income","Non-Participating | Available via Life Advisor
A hospital income plan that offers you daily cash up to RM2,000 when you’re hospitalised, while also rewarding you for staying active and fit.
Medical ProtectionDisability ProtectionIncome ReplacementAffordable Starter Plan"
"Health & Medical Protection","HLA MediShield III Rider","Non-Participating | Available via Life Advisor
A medical plan that covers hospitalisation expenses with no-claim incentive, and auto-increase on Room & Board limit with a refund feature for unutilised Room & Board benefits.
Medical Protection"
"Health & Medical Protection","180 CI Care Rider","Investment-Linked | Available via Life Advisor
A critical illness plan that protects against 180 conditions in multi-stages, as well as Ancillary Benefits for conditions such as Angioplasty, Diabetes and Mental Illness. Multiple payments of up to 850% of your sum assured.
Critical Illness Protection"
"Health & Medical Protection","Junior CI Care","Rider | Available via Life Advisor
Protect your child against 16 juvenile critical illnesses and auto-extend to 48 critical illnesses once your child reaches age 16. Also comes with hospitalisation benefits.
Critical Illness ProtectionIncome Replacement"
"Health & Medical Protection","Cancer Shield Care","Non-Participating | Available via Online
A 3-in-1 plan that covers you against death, Total and Permanent Disabilty (TPD) and cancer. Also covers multiple stages of cancer up to 300% sum assured. Available online.
Critical Illness ProtectionMedical ProtectionAffordable Starter Plan"
"Health & Medical Protection","Hospital Shield Plus","Non-Participating | Available via Online
10-year hospitalisation income plan up to RM300 per day and double up for hospitalisation due to cancer, with the option to renew without underwriting. Available online.
Critical Illness ProtectionMedical ProtectionIncome ReplacementAffordable Starter Plan"
"Health & Medical Protection","Hospitalisation Income Shield","Non Participating | Available via Online
A hospitalisation income plan up to RM300 per day with 5% increase per year, added with monthly income allowance and compassionate benefit. Get back 70% of total premiums paid at maturity. Available online.
Life ProtectionAccident ProtectionMedical ProtectionIncome Replacement"
"Health & Medical Protection","Congenital Care Rider","Rider | Available via Life Advisor
Protect your unborn child as early as 13 weeks of gestation against 15 congenital conditions, and allowance for neonatal jaundice or in neonatal ICU/HDU.
PregnancyLady Protection"
"Health & Medical Protection","Lady Shield Rider","Rider | Available via Life Advisor
Specially designed for ladies to protect against cancer, female-specific illnesses and many more. Options to enhance the plan with pregnancy care and maternity benefits.
Lady ProtectionCritical Illness ProtectionIncome Replacement"
"Savings & Wealth Planning","HLA Venture Invest II","Investment-Linked | Available via Life Advisor
A single premium investment-cum-protection plan that allows you to invest in a wide range of funds with unique benefits & risks.
Savings & Wealth PlanningRetirement Planning"
"Savings & Wealth Planning","HLA Wealth Grow Plus","Investment-Linked | Available via Life Advisor
An investment-linked plan that gives your child a head start in education savings as early as 13th week of gestation. Access to a comprehensive range of riders to enhance protection.
Savings & Wealth PlanningEducation SavingsLife Protection"
"Accident Protection","HLA Festive Protect","Non-Participating | Available via Life Advisor
A 20-year non-participating insurance plan that covers coma, accidental death or Total and Permanent Disability (TPD), with 20x coverage during major festive seasons.
Accident ProtectionAffordable Starter Plan"
"Accident Protection","Active Lifestyle Protector","Non-Participating | Available via Online
A 5-year plan that protects against death, daily hospitalisation income, loss of travel documents and emergency medical evacuation and repatriation benefits. Available online.
Accident ProtectionLife ProtectionIncome ReplacementAffordable Starter Plan"
"Disability Income","HLA FiT 2 Protect","Non-Participating | Available via Life Advisor
A disability protection plan that offers you lump sum payment and income, while also rewarding you for staying active and fit.
Disability ProtectionAffordable Starter Plan"
"Disability Income","Disability Lump Sum Rider","Rider | Available via Life Advisor
A disability plan that pays a lump sum in case of a disability during your prime years or golden years, covers up to age 100.
Old Age Protection"
