"product_type","product_name","product_description"
"Investment-Linked Plan","<p><strong>Manulife Asset Shield</strong></p>
","Ensuring your assets are taken care of during life’s uncertainties"
"Legacy","<p>EliteLife Signature Legacy</p>
","Build A Lifelong Legacy For Generations To Come"
"Wealth Building, Education, Retirement","<p>EliteLife Signature Saver</p>
","Managing Your Wealth Today For A More Secure Future"
"Critical Illness","Advance Beyond Critical Cover","Comprehensive critical illness plan that provides H.O.P.E. and financial confidence"
"Critical Illness","Beyond Critical Cover (BCC) Series + BCC Booster","Elevate your protection with the perfect combination of coverage that goes above and beyond"
"Wealth Building, Education, Retirement","Elite Income 88","Make Your Vision a Reality"
"Elite Series","Elite Life Guard 2","Protection at every stage of your life."
"Wealth Building, Education, Retirement","Elite Max 88","More Than Just a Savings Plan"
"Wealth Building","Elite Smart Invest","Make your financial goals come true with the right plan"
"Critical Illness","ManuEZ-CI","A plan that provides you coverage for 5 common critical illnesses."
"Medical & Hospitalisation","ManuEZ-Med","Get yourself a medical card from as low as RM2 a day with no medical checkup required!"
"Investment-Linked Plan","ManuLink Essential/ManuLink Essential Plus","Protection in every step of life’s journey"
"Investment-Linked Plan","ManuLink Premier","Enjoy dual benefits of wealth and protection"
"Investment-Linked Plan","ManuLink Wealth","Keeping you on course for your future"
"Life Insurance for Protection, Term Life","ManuProtect","An affordable life insurance plan to protect your family’s future."
"Savings, Retirement","ManuSecure Series","Build your wealth for a financially secure future."
"Life Insurance for Protection, Term Life","ManuTerm","Life insurance coverage for a stipulated number of years at the lowest outlay."
"Life Insurance for Protection, Whole life","ManuWhole Life","Provides life-time insurance protection at affordable premiums."
"Critical Illness","Manulife Easy 5","A simple critical illness plan to get you started"
"Medical & Hospitalisation","Manulife Health Saver Benefit + MHSB Booster","A medical plan that provides you with enhanced coverage on top of 30% discount from the very start"
"Critical Illness","Manulife Precious Gift","Cherish your precious moment with an early protection plan"
"Savings, Retirement","Manulife Universal Saver","Celebrate life milestones with confidence"
"Investment-Linked Plan","Manulife Value Enhancer","A unique plan that gives you the opportunity to enhance your life protection at all times"
"Heirloom","Signature Heirloom (VII)","Securing your legacy for generations to come"
