"product_type","product_name","product_description"
"Life Protection","EzyProtect","Who can apply for EzyProtect?
Easy enrolment & no medical underwriting
Affordable premiums
Death benefit coverage
Additional coverage for accidental death
Funeral Expenses Benefit
What is EzyProtect?"
"Life Protection","SuperSeries","Key Features
Protection against Death, Total and Permanent Disability (TPD) & Critical Illnesses
Up tp 3x coverage for Accidental Death
Guaranteed Cash Payments up to 4.75% of Basic Sum AssuredCoverage increases by 10% of the basic Sum Assured every 5 years
Maturity Benefit of 100% of the In-Force Sum Assured
2 different plans with optional Survival Benefit
What is SuperSeries?
What critical illnesses are covered under SuperSeries?
What are my options with SuperSeries?
1. Super
2. SuperTreasure
How much protection will me and my loved ones get?
Increasing Sum Assured To Cope With Increasing Cost Of Living
Critical Illness Benefit
Maturity Benefit
Total and Permanent Disability (TPD) Benefit
Death Benefit
Accidental Death Benefit"
"Health and Medical Protection","LadyCare","Because women deserve better
Female Illness Benefit including female cancer, carcinoma in-situ, Systemic Lupus Erythematosus (SLE) with Lupus Nephritis, facial reconstructive surgery due to accident, skin grafting due to skin cancer or accidental burning, and reconstructive surgery for breast(s) due to accident or breast(s) cancer
Golden Year Benefit upon age 50 including hip or femur fractures due to osteoporosis, and joint replacement surgery for arthritis
Periodic Health Assessment Benefit every 3 years
Coverage for pregnancy complications including congenital anomalies and neonatal death
Death due to child birth
For more info please call:
+603-7652 3388"
"Health and Medical Protection","MaxHealth Plan","How Comprehensive is the MaxHealth Plan?
No Overall Lifetime Limit
High Annual Limit
Outpatient Dengue Fever Treatment
Alternative Medicine
Extensive Network of Panel Hospitals
Flexible & Tailored To Your Needs
Hassle-free Hospital Admissions
Get Rewarded With Room & Board Benefit Increase
Lifelong Coverage Up To Age 100
Covered for Life
What are the benefits of this medical insurance?
Flexible & Tailored To Your Needs
Get Rewarded With Room & Board Benefit Increase
Hassle-free Hospital Admissions
Lifelong Coverage Up To Age 100
No Overall Lifetime Limit
High Annual Limit
Outpatient Dengue Fever Treatment
Alternative Medicine
Extensive Network of Panel Hospitals"
"Health and Medical Protection","MYEarly CriticalAid","Protect yourself at different stages of illnesses
Comprehensive coverage for critical illnesses at different stages
Covers a total of 108 critical illnesses
Additional benefit for angioplasty and other invasive treatments for coronary artery disease and diabetic complications
Optional cancer recovery benefit
No waiting period between claims
Pays benefit for multiple critical illness categories
Staged Critical Illness Benefit*
Multiple Claims
Special benefits**
optional benefit**
For more info please call:
+603-7652 3388"
"Savings","EduSecure","Secure your child’s educational future today.
WHAT DOES EDUSECURE OFFER?
Coverage for Death & Total and Permanent Disability (TPD)
EduRewards
EduRewards Plus
Potential Returns from Investment-linked Funds
Coverage for Payer
Conversion Privilege at Maturity
List of Funds
MCIS Life Balanced Fund
MCIS Life Equity Fund
MCIS Life Income Fund
MCIS Life Jati Fund
MCIS Life Dividend Fund
MCIS Life AsiaPac Fund
MCIS Life Global Yakin Fund
For more info please call:
+603-7652 3388"
"Savings","Growth Saver","Key Features
Regular premium endowment plan with options to mature at the end of 15, 20 or 25 years
Additional 100% of your Basic Sum Assured payable if death occurs through accident during premium paying term, prior to age 65
Guaranteed Cash Payments up to 4.75% of Basic Sum Assured
Protection and annual Cash Dividends until policy matures
Guaranteed 120% of your Basic Sum Assured is payable upon maturity
What is Growth Saver?
What are my financial benefits?
Non-Guaranteed Cash Dividends
Non-Guaranteed Maturity Dividend
Guaranteed Cash Payments
What benefits does Growth Saver offer?
Total and Permanent Disability Benefit 1
Death Benefit1&3
Accidental Death Benefit1
Maturity Benefit1"
"Savings","MaxSaver","One plan for protection and savings
Key Benefits
Protection against Death or Total and Permanent Disability (TPD)
Guaranteed Yearly Cash Payments (GCP)
Potential Gains from Investment Funds
Special Features
High investment allocation - 80% of premiums invested fully from year 7 onwards
Total Guaranteed Cash Payments - up to 85.5% of Sum Assured
Single Investment Top-Ups (STUP) can be done anytime - 95% allocation rate
Full or partial withdrawals from investment account allowed
Premium payment flexibility for MaxSaver Booster
8 riders attachable – including MaxHealth which covers medical and surgical expenses
List of Funds
MCIS Life Balanced Fund
MCIS Life Equity Fund
MCIS Life Income Fund
MCIS Life Jati Fund
MCIS Life Dividend Fund
MCIS Life AsiaPac Fund
MCIS Life Global Yakin Fund
MCIS Life Titan Fund
For more info please call:
+603-7652 3388"
"Savings","Wealth Multiplier","Why Do You Need Wealth Multiplier?
What Do You Get from Wealth Multiplier?
Guaranteed survival benefit options of once every year OR once every 3 years
Multiple choice of policy terms
100% of the Basic Sum Assured upon maturity... and more
Savings for Your Future
What Are the Benefits of Wealth Multiplier?
Guaranteed Survival Benefit
Maturity Benefit
Death Benefit
Total and Permanent Disability Benefit"
"Savings","EzySaver"," Types Of Funds Available
What benefits does EzySaver offer?
Death Benefit
Policy Year	Death Benefit	
Accidental Death Benefit
Maturity Benefit
No Medical Underwriting
Guaranteed Cash Payments
End of Policy Year	Guaranteed Cash Payments	
Flexible Premium Paying Term
Potential Gains from Investment-Linked Funds"
"Investment-Linked","M-Fortune Link","The M-Fortune Link Benefits
Death Benefit
Maturity Benefit
Compassionate Benefit
Three (3) Years Guaranteed Coverage
Total and Permanent Disability (TPD) Benefit
Auto-Extended Policy Term
The M-MedPro Benefits
Second Medical Opinion
Post-hospitalisation Treatment
Unlimited Overall Lifetime Limit
Outpatient Cancer Treatment & Kidney Dialysis Treatment
The M-MedEssential Benefits
Daily Cash Allowance at Government Hospitals
Unlimited Overall Lifetime Limit
Outpatient Cancer Treatment & Kidney Dialysis Treatment
Home Nursing Care
 Types Of Funds Available"
"Investment-Linked","PeopleLink","Ensuring a better future for the people you care about the most.
Protection against Death or Total and Permanent Disability
Additional payout for Accidental Death
Compassionate Benefit of RM3000
5 years guaranteed coverage
Maturity Benefit
Flexible premium paying terms of either 5, 10 or 20 years or to match the full coverage term
Flexible policy term options of 10 or 20 years, or ending at age 60, 70, 80 or 90 years old
Potential gains from investment-linked funds
Flexibility to switch between 8 investment funds
List of Funds
MCIS Life Balanced Fund
MCIS Life Equity Fund
MCIS Life Income Fund
MCIS Life Jati Fund
MCIS Life Dividend Fund
MCIS Life AsiaPac Fund
MCIS Life Global Yakin Fund
MCIS Life Titan Fund
For more info please call:
+603-7652 3388"
"Investment-Linked","PrimeLink","Gift your loved ones a lasting legacy and everlasting memories.
Protection against Death or Total and Permanent Disability (TPD)
Coverage up to RM8 million for Total and Permanent Disability (TPD) benefit
Additional payout for Accidental Death
Compassionate Benefit of RM3000
Optional benefit - 5% increase in sum assured every 5 policy years
5 years guaranteed coverage
Maturity Benefit
Flexible premium paying terms of either 5, 10 or 20 years or to match the full coverage term
Flexible policy term options of 10 or 20 years, or ending at age 60, 70, 80 or 90 years old
Potential gains from investment-linked funds
Flexibility to switch between 8 investment funds
List of Funds
MCIS Life Balanced Fund
MCIS Life Equity Fund
MCIS Life Income Fund
MCIS Life Jati Fund
MCIS Life Dividend Fund
MCIS Life AsiaPac Fund
MCIS Life Global Yakin Fund
MCIS Life Titan Fund
For more info please call:
+603-7652 3388"
