"product_type","product_name","product_description"
"Health Insurance","PRUMy Medical Plus","A customisable solution to protect you against medical emergencies and rising healthcare costs."
"Health Insurance","PRUMy Critical Care","Coverage that pays you a lump sum to spend as you want if you have critical illness."
"Health Insurance","PRUMan & PRULady","Gender-specific critical illness plans uniquely designed for every man and woman.​"
"Life Insurance","PRUWith You","Life insurance and investment in a single, flexible plan that protects you and your family."
"Infant & Child","PRUMy Child Plus","A solution that protects mummy and baby from 13 weeks of pregnancy.

 

中文点击这里"
"My First Plan","PRUFirst","Your comprehensive first plan. A coverage plan that covers Medical, Accident, Life, Payor and more!



中文点击这里


"
"Wealth Insurance","Legacy Plans","Prepare yourself and your family for a fulfilling future."
"Wealth Insurance","Savings & Investment Plans","Grow your wealth with our savings and investment plans."
"Wealth Insurance","Investment-linked Funds Information","Make the most of your investment link plan through our selection of funds."
"EPF i-Lindung","PRUCare Life","Exclusively for EPF members

From as low as RM8.40/year*, you can focus on your recovery without worrying about your finances. Use your EPF funds to get protection from 43 critical illnesses and dengue through i-Lindung. Sign up via your EPF i-Akaun without the need for a medical check-up!

*Terms and conditions apply"
"EPF i-Lindung","PRUGuard Life","Exclusively for EPF members

From as low as RM10.40/year*, secure your loved ones’ future with life insurance that covers Death and Total & Permanent Disability (TPD) using your EPF funds.

*Terms and conditions apply"
"EPF i-Lindung","PRUCare Family","Exclusively for EPF members

Get coverage against 43 critical illnesses and Death for you and your family from as low as RM16.30 a year* per covered member through i-Lindung using your EPF funds.

Download Flyer
*Terms and conditions apply."
"EPF i-Lindung","PRUGuard Family","Exclusively for EPF members

Get coverage for Death and Total & Permanent Disability (TPD) for you and your family from as low as RM13.80 a year* per covered member through i-Lindung using your EPF funds. On top of that, you can get up to 3 times the coverage upon accidental Death.

Download Flyer

*Terms and conditions apply."
