"product_type","product_name","product_description"
"Motor","Motor Insurance","Ensures worry-free journeys with essential coverage"
"Motor","Tokio Marine BikePro","Experience the unparalleled peace of mind as you enjoy the freedom of the open road ahead"
"Motor","Tokio Marine AutoPro","The right choice for better protection whilst you are on road. Get protected by selecting Tokio Marine AutoPro to cover your vehicle."
"Motor","Auto Partner","Covers you for roadside emergencies and house repairs"
"Motor","DriveSafe PA Partner","A comprehensive yet affordable plan to protect you and your passengers against accidents.."
"Motor","Commercial Partner","Protection for drivers and attendants of commercial vehicles against accidents"
"Motor","Motorcyclist Partner","Protect yourself and/or your rider against accidental death and permanent disablement as a result of accident on a specified motorcycle."
"Personal Accident","Tokio Marine PremierUltra PA","Protects your family with a range of reliable plans."
"Personal Accident","Flexi PA Partner","Protection tailored to your needs and budget for anytime, anywhere."
"Personal Accident","UniqCare PA","UniqCare PA offers protection catering exclusively to the needs of OKU."
"Personal Accident","AEONCare Insurance","Comprehensive protection for personal finance and& credit card customers."
"Travel and Sports","Tokio Marine Explorer","Extensive and customisable coverage for wherever you go."
"Travel and Sports","Tokio Marine Annual Explorer","Protection for business and personal trips throughout the year."
"Travel and Sports","Domestic Travel Partner Plus","Explore Malaysia worry-free with comprehensive coverage."
"Travel and Sports","Travel Personal Accident","Provides peace of mind for short trips."
"Travel and Sports","Golfer Insurance","Safeguards you against the unexpected, so you can focus on your game."
"Health","Premier Medic Partner","Lifelong coverage for your health."
"Health","Medic Plus","Boosts your medical plan for ultimate assurance."
"Health","Mosbite","Protection against Dengue and Zika."
"Home and Property","Home Partner Insurance","Comprehensive cover for your prized possessions and protection for your family"
"Home and Property","Houseowners/ Householders","Houseowners/Householders protects your home and its contents against loss or damage"
"Home and Property","Tokio Marine SecureHome","Comprehensively safeguard your home and belongings."
"Promotions","FlexiPay","Enjoy interest free instalment of up to 12 months"
"Promotions","New Motorcycle Premium","Discover new motorcycle premium with up to 20% discount from tariff."
"Life","TokioMarine-LifeTreasure","Live without regrets during your best years"
"Life","Convertible Term Assurance","Largest sum assured protection at the lowest cost."
"Life","Perlindungan Tenang TokioMarine E-ssential Tenang","Affordable Internet Life Insurance Plan for everyone."
"Life","TokioMarine-TermDefender","Instant & affordable coverage up to RM 500,000!"
"Life","TokioMarine-iLady","Love yourself the way you love the world"
"Life","TokioMarine-iBig 2","Embrace the future without fear"
"Life","TokioMarine-iFlexSecure 2","Protection with Short-Term Commitment"
"Life","TokioMarine-iLifeSecure 2","Protect what’s important today for a secure tomorrow"
"Life","TokioMarine 360","An All-in-One Plan insurance solution specially designed for you"
"Life","TokioMarine-iMillion","Staying protected is one of the best gifts for your loved ones"
"Health","iCareGuard and iCareGuard Plus","Get Rewarded for Guarding Your Health"
"Health","iMediCare","Embracing freedom with a healthy life. We now cover COVID-19."
"Health","iComprehensive CI","Early Protection, Early Recovery"
"Health","TokioMarine-CriticalDefender","Affordable coverage for critical illness"
"Health","TokioMarine-MedicDefender","Affordable hospitalisation income plan"
"Health","Cancer Shield Plus","Feel secured with double protection. Be free from financial constraints."
"Health","iHealth Advance","Boosting your medical insurance coverage to ensure you always stay protected"
"Health","MedShield","Protection should you fall ill. Rewards should you stay healthy"
"General Savings","TokioMarine-Optimizer","Save now for a better tomorrow"
"General Savings","TokioMarine-iRich Premier / TokioMarine-iRich","Wealth Gain for a Rewarding Future"
"For Your Retirement","Asia Income Master Plus","Hassle-free retirement planning today. Worry-free comfort tomorrow."
"For Your Retirement","Asia Premier Endowment Plus","Make a golden investment. Enjoy a stream of income in your golden years."
"For Your Retirement","TokioMarine-XtraCash","Extra income for the present. Endless assurance for the future."
"For Education","TokioMarine-BrightFuture","Shine bright like a diamond"
"Employee Benefits","Group Term Life","Take better care of your employees. Protect them from harm arising from natural and accidental causes."
"Employee Benefits","Group Dread Disease","Medical coverage for 39 dread diseases. Essential protection for your employees."
